"-80 contents Mol para. Tower order from left to right, resetting to left at the end of row.",,,
1.0.0,Blue_80,0.1.0,Top_left_tower
2.0.0,White_80,0.0.1,Top_tower_slot
3.0.0,,NA,Not ours
4.0.0,,,
5.0.0,,,
,,,
,,,
,,,
1.1.1,NA,2.1.1,HZ19 SICE
1.1.2,NA,2.1.2,HZ19 ILWE
1.1.3,NA,2.1.3,HZ19 COCE1
1.1.4,NA,2.1.4,HZ17 SICE 1/3
1.1.5,NA,2.1.5,HZ17 SICE 2/3
1.1.6,NA,2.1.6,HZ17 SICE 3/3
1.1.7,NA,2.1.7,HZ17 MES 1/3
1.1.8,NA,2.1.8,HZ17 MES 2/3
1.1.9,NA,2.1.9,HZ17 MES 3/3
1.1.10,NA,2.1.10,HZ17 COWE 1/3
1.1.11,NA,2.1.11,HZ17 COWE 2/3
1.1.12,NA,2.1.12,HZ17 COWE 3/3
1.2.1,E7b dpi 2.3.4 falciformis,2.2.1,COCE AA_0001-0081
1.2.2,E7b dpi 2.3.4 ferrisi,2.2.2,COCE AA_0082-0162
1.2.3,E7b dpi 0.1 falciformis,2.2.3,COCE AA_0163-0211
1.2.4,E7b dpi 0.1 ferrisi,2.2.4,HZ16 MES 47-146
1.2.5,E7 dissections CEWE,2.2.5,HZ16 MES 147-226
1.2.6,E7 dissections SPL,2.2.6,HZ16 SPL 147-226
1.2.7,E7a dpi 6.7.8 ferrisi,2.2.7,Stolen Embryos 2016
1.2.8,E7a dpi 6.7.8 falciformis + dpi8 ferrisi,2.2.8,HZ16 SPL 47-146
1.2.9,"E7a dpi 3,4,5,6 falciformis",2.2.9,"Francisca 05/2017 SPL, MES, DIG"
1.2.10,"E7a dpi 2,3,4,5 ferrisi",2.2.10,HZ19 CECE
1.2.11,"E7a dpi 0,1 ferrisi",2.2.11,HZ19 MES
1.2.12,"E7a dpi 0,1 falciformis",2.2.12,HZ19 SPL2
1.3.1,NA,2.3.1,HZ19 RNA + Protein CEWE 1/3
1.3.2,NA,2.3.2,HZ19 RNA + Protein CEWE 2/3
1.3.3,NA,2.3.3,HZ19 RNA + Protein CEWE 3/3
1.3.4,NA,2.3.4,NA
1.3.5,SK2816-2825 Joelle,2.3.5,NA
1.3.6,SK2806-2813 CZ,2.3.6,NA
1.3.7,"SK2846-2850, 2905-2909 Joelle",2.3.7,NA
1.3.8,SK2830-2935 Joelle,2.3.8,NA
1.3.9,"SK2920-2925, 2910-2919 Joelle",2.3.9,NA
1.3.10,HZ19 COWE,2.3.10,NA
1.3.11,HZ19 CECE,2.3.11,NA
1.3.12,HZ19 Unknowns,2.3.12,NA
1.4.1,NA,2.4.1,Microbiome fecal samples
1.4.2,NA,2.4.2,"Microbiome fecal samples E88, E6_2a"
1.4.3,NA,2.4.3,"Microbiome fecal samples 2a+2b ferrisi, falciformis"
1.4.4,NA,2.4.4,Microbiome fecal samples dpi 0
