EH_ID,cDNA_conc,260/280,260/230,Date and Time,dilution_1000ng/µl,h2o_to_standard,cDNA_to_25µl_standard,h2o_to_25µl_standard
22,1501.2,1.74,1.76,18/4/2019 09:25:34,0.6661337597,0.3338662403,16.65334399,8.346656009
23,1649.8,1.72,1.85,19/4/2019 09:26:12,0.6061340769,0.3938659231,15.15335192,34.84664808
24,1225,1.72,1.76,20/4/2019 09:27:46,0.8163265306,0.1836734694,20.40816327,29.59183673
25,1411.8,1.73,1.79,21/4/2019 09:29:03,0.7083156254,0.2916843746,17.70789064,32.29210936
22,1300.5,1.76,1.8,3/11/2019 23:56:39,0.768935025,0.231064975,19.22337562,30.77662438
23,1334.8,1.74,1.83,3/11/2019 23:57:51,0.7491759065,0.2508240935,18.72939766,31.27060234
24,1255.7,1.71,1.54,3/11/2019 23:58:23,0.7963685594,0.2036314406,19.90921398,30.09078602
26,1419.7,1.74,1.67,3/11/2019 23:59:03,0.7043741636,0.2956258364,17.60935409,32.39064591
41,1484.3,1.74,1.73,3/11/2019 23:59:39,0.673718251,0.326281749,16.84295628,33.15704372
76,2452.8,1.77,1.82,3/12/2019 00:00:19,0.4076973255,0.5923026745,10.19243314,39.80756686
39,1504.3,1.74,1.71,3/12/2019 00:00:50,0.6647610184,0.3352389816,16.61902546,33.38097454
44,1105.2,1.71,1.53,3/12/2019 00:01:22,0.9048136084,0.0951863916,22.62034021,27.37965979
69,1498.1,1.74,1.76,3/12/2019 00:02:01,0.6675121821,0.3324878179,16.68780455,33.31219545
86,2270.9,1.78,1.95,3/12/2019 00:02:43,0.4403540447,0.5596459553,11.00885112,38.99114888
67,1680.3,1.73,1.76,3/12/2019 00:03:12,0.5951318217,0.4048681783,14.87829554,35.12170446
81,1614.7,1.73,1.82,3/12/2019 00:03:47,0.6193100886,0.3806899114,15.48275221,34.51724779
40,1532.2,1.74,1.74,3/12/2019 00:04:17,0.6526563112,0.3473436888,16.31640778,33.68359222
63,2449.7,1.78,1.92,3/12/2019 00:04:41,0.4082132506,0.5917867494,10.20533127,39.79466873
57,1590,1.74,1.74,3/12/2019 00:05:09,0.6289308176,0.3710691824,15.72327044,34.27672956
51,1314.8,1.74,1.7,3/12/2019 00:05:40,0.7605719501,0.2394280499,19.01429875,30.98570125
58,1321.8,1.69,1.55,3/12/2019 00:06:15,0.7565441065,0.2434558935,18.91360266,31.08639734
42,1277.2,1.73,1.71,3/12/2019 00:06:39,0.782962731,0.217037269,19.57406827,30.42593173
37,2538.2,1.77,1.98,3/12/2019 00:07:16,0.3939799858,0.6060200142,9.849499645,40.15050035
29,1110.6,1.72,1.52,3/12/2019 00:07:39,0.9004141905,0.09958580947,22.51035476,27.48964524
88,1228.8,1.74,1.67,3/12/2019 00:08:05,0.8138020833,0.1861979167,20.34505208,29.65494792
83,1207.7,1.68,1.1,3/12/2019 00:08:29,0.8280202037,0.1719797963,20.70050509,29.29949491
62,1368.9,1.74,1.69,3/12/2019 00:08:51,0.730513551,0.269486449,18.26283878,31.73716122
82,1254.5,1.72,1.77,3/12/2019 00:09:24,0.7971303308,0.2028696692,19.92825827,30.07174173
54,1053.7,1.71,1.59,3/12/2019 00:11:25,0.9490367277,0.05096327228,23.72591819,26.27408181
59,1210.8,1.7,1.47,3/12/2019 00:11:50,0.8259002313,0.1740997687,20.64750578,29.35249422
43,1666.4,1.72,1.82,3/12/2019 00:12:15,0.6000960154,0.3999039846,15.00240038,34.99759962
93,1570.9,1.69,1.3,3/12/2019 00:13:41,0.636577758,0.363422242,15.91444395,34.08555605
77,1451.2,1.72,1.76,3/12/2019 00:14:07,0.6890848953,0.3109151047,17.22712238,32.77287762
61,1513.4,1.73,1.75,3/12/2019 00:14:32,0.660763843,0.339236157,16.51909608,33.48090392
64,985,1.72,1.68,3/12/2019 00:14:58,1.015228426,-0.0152284264,25.38071066,24.61928934
90,996.8,1.71,1.53,3/12/2019 00:15:37,1.003210273,-0.003210272873,25.08025682,24.91974318
68,1166.1,1.73,1.69,3/12/2019 00:16:22,0.857559386,0.142440614,21.43898465,28.56101535
76,1110.4,1.72,1.74,3/12/2019 00:17:07,0.9005763689,0.09942363112,22.51440922,27.48559078
50,1422.3,1.74,1.79,3/12/2019 00:17:32,0.70308655,0.29691345,17.57716375,32.42283625
95,2043.8,1.77,1.95,3/12/2019 00:18:04,0.4892846658,0.5107153342,12.23211665,37.76788335
75,1308.5,1.72,1.71,3/12/2019 00:18:31,0.7642338556,0.2357661444,19.10584639,30.89415361
47,1231.9,1.67,1.17,3/12/2019 00:18:56,0.8117542008,0.1882457992,20.29385502,29.70614498
57,1081.5,1.73,1.66,3/12/2019 00:19:27,0.9246417013,0.07535829866,23.11604253,26.88395747
55,1270.3,1.73,1.76,3/12/2019 00:19:56,0.7872156184,0.2127843816,19.68039046,30.31960954
C,1746.1,1.7,1.68,3/12/2019 00:20:25,0.5727048852,0.4272951148,14.31762213,35.68237787
38,2193,1.71,1.75,3/12/2019 00:20:59,0.455996352,0.544003648,11.3999088,38.6000912
36,2383.2,1.72,1.81,3/12/2019 00:21:25,0.4196038939,0.5803961061,10.49009735,39.50990265
27,2236.5,1.75,1.85,3/12/2019 00:21:52,0.4471272077,0.5528727923,11.17818019,38.82181981
35,1744,1.69,1.7,3/12/2019 00:22:15,0.5733944954,0.4266055046,14.33486239,35.66513761
25,2249.8,1.74,1.81,3/12/2019 00:23:35,0.4444839541,0.5555160459,11.11209885,38.88790115
91,1752.5,1.69,1.67,3/12/2019 00:23:58,0.5706134094,0.4293865906,14.26533524,35.73466476
33,2020.4,1.73,1.79,3/12/2019 00:24:28,0.4949514948,0.5050485052,12.37378737,37.62621263
89,1717,1.7,1.72,3/12/2019 00:24:46,0.5824111823,0.4175888177,14.56027956,35.43972044
28,1680.1,1.7,1.71,3/12/2019 00:25:09,0.5952026665,0.4047973335,14.88006666,35.11993334
30,2117.3,1.73,1.75,3/12/2019 00:25:35,0.4722996269,0.5277003731,11.80749067,38.19250933
80,1686.8,1.7,1.69,3/12/2019 00:25:55,0.5928385108,0.4071614892,14.82096277,35.17903723
