"Locality","Genome","Strain","IDD","Dam","Gen","Sir","IDS","Sir.1","Gen.1","Born","Fpar","LS","MM","FF","ID","PIN","Sex","Gen.2","Wean","BW10","BW20","Clip","Departure","NOTE","Parent1","Parent2","HybridStatus","ageAtdpi0expe1a","Batch","InfectionStrain","EH_id"
"Buskovice","mus","BUSNA_BUSNA","SY",5146,59,"BUSNA","SY",5144,59,2018-05-16,8,5,"1","4","EX",1039,"M","60","1M","5.67",9.21,"P2",NA,"","BUSNA","BUSNA","parental strains",7.71428571428571,2,"E64","LM0262"
"Buskovice","mus","BUSNA_BUSNA","SY",5146,59,"BUSNA","SY",5144,59,2018-05-16,8,5,"1","4","EX",1042,"F","60","1F","5.40",8.49,"L5",NA,"REZERVA","BUSNA","BUSNA","parental strains",7.71428571428571,2,"E64","LM0281"
"Buskovice","mus","BUSNA_BUSNA","SY",8209,62,"BUSNA","SY",8208,62,2018-05-17,2,5,"4","1","EX",1059,"M","63","1M","5.62",8.29,"L3",NA,"","BUSNA","BUSNA","parental strains",7.57142857142857,2,"E64","LM0279"
"Buskovice","mus","BUSNA_BUSNA","SY",8209,62,"BUSNA","SY",8208,62,2018-05-17,2,5,"4","1","EX",1060,"M","63","1M","5.27",8.06,"L4",NA,"","BUSNA","BUSNA","parental strains",7.57142857142857,2,"E64","LM0293"
"BUSNA x PWD","mus x mus","BUSNA_PWD","SY",6115,60,"PWD","SY",7040,43,2018-04-01,3,4,"2","2","EX",755,"F","F1","1F","6.67",11.55,"L3",NA,"","BUSNA","PWD","outbred hybrids",14.1428571428571,2,"E64","LM0287"
"BUSNA x PWD","mus x mus","BUSNA_PWD","SY",6115,60,"PWD","SY",7040,43,2018-04-28,4,4,"2+?","1+?","EX",914,"M","F1","1M","715.00",12,"P3",NA,"REZERVA","BUSNA","PWD","outbred hybrids",10.2857142857143,2,"E64","LM0292"
"","mus x mus","BUSNA_PWD","SY",6115,60,"PWD","SY",7040,43,2018-05-25,5,3,"0","3","EX",1099,"F","F1","1F","7.73",11.07,"P2",NA,"REZERVA","BUSNA","PWD","outbred hybrids",6.42857142857143,2,"E64","LM0258"
"BUSNA x STRA","mus x dom","BUSNA_STRA","SY",6114,60,"STRA","SY",6345,55,2018-04-04,3,1,"1","0","EX",786,"M","F1","1M","7.00",11.22,"L2",NA,"","BUSNA","STRA","inter subsp. hybrids",13.7142857142857,2,"E64","LM0265"
"","mus x dom","BUSNA_STRA","SY",8279,62,"STRA","SY",6456,55,2018-05-31,2,5,"4","1","EX",1134,"M","F1","1M","7.00",11.2,"P2",NA,"REZERVA","BUSNA","STRA","inter subsp. hybrids",5.57142857142857,2,"E64","LM0277"
"","mus x dom","BUSNA_STRA","SY",8279,62,"STRA","SY",6456,55,2018-05-31,2,5,"4","1","EX",1135,"F","F1","1F","7.03",11.61,"L2",NA,"REZERVA","BUSNA","STRA","inter subsp. hybrids",5.57142857142857,2,"E64","LM0272"
"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,2018-05-02,7,6,"5","?","EX",940,"M","F1","1M","5.21",8.67,"L3",NA,"","PWD","BUSNA","outbred hybrids",9.71428571428571,2,"E64","LM0291"
"","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,2018-05-30,8,3,"1","2","EX",1131,"F","F1","1F","6.82",10.46,"P2",NA,"","PWD","BUSNA","outbred hybrids",5.71428571428571,2,"E64","LM0286"
"","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,2018-05-30,8,3,"1","2","EX",1132,"F","F1","1F","6.97",10.52,"P3",NA,"REZERVA","PWD","BUSNA","outbred hybrids",5.71428571428571,2,"E64","LM0288"
"Prague","mus","PWD_PWD","SY",7076,42,"PWD","SY",7073,42,2018-04-03,2,9,"3","6","EX",780,"M","43","1M","3.17",5.14,"L3",NA,"","PWD","PWD","parental strains",13.8571428571429,2,"E64","LM0294"
"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,2018-04-24,5,6,"3","2","EX",895,"M","43","1M","5.07",7.15,"L2",NA,"","PWD","PWD","parental strains",10.8571428571429,2,"E64","LM0283"
"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,2018-04-24,5,6,"3","2","EX",896,"M","43","1M","4.55",5.35,"L3",NA,"","PWD","PWD","parental strains",10.8571428571429,2,"E64","LM0285"
"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,2018-04-24,5,6,"3","2","EX",897,"M","43","1M","4.85",7.46,"L4",NA,"","PWD","PWD","parental strains",10.8571428571429,2,"E64","LM0264"
"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,2018-05-07,5,8,"4","4","EX",980,"F","F1","1F","5.84",9.88,"P2",NA,"","PWD","SCHUNT","inter subsp. hybrids",9,2,"E64","LM0263"
"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,2018-05-07,5,8,"4","4","EX",981,"F","F1","1F","4.72",8.14,"P3",NA,"","PWD","SCHUNT","inter subsp. hybrids",9,2,"E64","LM0261"
"SCHUNT x PWD","dom x mus","SCHUNT_PWD","SY",6904,37,"PWD","SY",5342,42,2018-03-23,1,7,"5","2","EX",724,"F","F1","1F","5.48",9.95,"L2",NA,"","SCHUNT","PWD","inter subsp. hybrids",15.4285714285714,2,"E64","LM0295"
"SCHUNT x PWD","dom x mus","SCHUNT_PWD","SY",6904,37,"PWD","SY",5342,42,2018-03-23,1,7,"5","2","EX",725,"F","F1","1F","5.49",9.81,"L3",NA,"","SCHUNT","PWD","inter subsp. hybrids",15.4285714285714,2,"E64","LM0278"
"SCHUNT x PWD","dom x mus","SCHUNT_PWD","SY",6904,37,"PWD","SY",5342,42,2018-05-08,3,7,"4","3","EX",990,"F","F1","1F","6.27",11.2,"P2",NA,"REZERVA","SCHUNT","PWD","inter subsp. hybrids",8.85714285714286,2,"E64","LM0275"
