original_mouse_id,original_mouse_id_mother,original_mouse_id_father,sex,born,isolation,Mouse_strain,comment
SY fem 7518 G37 P4,SY fem 5901 G36,NA,F,31/12/17,10/01/18,SCHUNT,
SY fem 9618 G60 L4,SY fem 5146 G59,NA,F,06/03/18,26/03/18,BUSNA,
EX male 524 G55 L2,SY fem 3007 G54,NA,M,29/01/18,18/02/18,STRA,
EX male 525 G55 L3,SY fem 3007 G54,NA,M,29/91/18,28/02/18,STRA,
SY male 8247 G56 P3,SY fem 5825 G55,NA,M,15/01/18,04/02/18,STRA,
SY male 9339 G56 L2,SY fem 6347 G55,NA,M,23/02/18,15/03/18,STRA,
SY male 8280 G62 P2,SY fem 6612 G61,NA,M,16/01/18,05/02/18,BUSNA,G62 L3
SY male 8246 G56 P2,SY fem 5825 G55,NA,M,15/01/18,04/02/18,STRA,
SY fem 8210 G62 L4 ,SY fem 6613 G61,NA,F,15/01/18,04/02/18,BUSNA,iz. 7.3
SY fem 8481 G37 L3,SY fem 5901 G36,NA,F,08/02/18,28/02/18,SCHUNT,
SY fem 8211 G62 P2,SY fem 6613 G61,NA,F,15/01/18,04/02/18,BUSNA,
SY fem 8480 G37 L2,SY fem 5901 G36,NA,F,08/02/18,28/02/18,SCHUNT,
SY fem 8512 G43 L4,SY fem 7076 G42,NA,F,10/02/18,12/03/18,PWD,
EX fem 527 G55 P3,SY fem 3007 G54,NA,F,29/01/18,18/02/18,STRA,Iz 7.3
EX fem 529 G55 P5,SY fem 3007 G54,NA,F,29/01/18,18/02/18,STRA,Iz 7.3
EX fem 528 G55 P4,SY fem 3007 G54,NA,F,29/01/18,28/02/18,STRA,
SY male 8249 G56 L2,SY fem 5825 G55,NA,M,15/01/18,04/02/18,STRA,
SY male 8477 G37 P3,SY fem 5901 G36,NA,M,08/02/18,28/02/18,SCHUNT,
SY male 8248 G56 P4,SY fem 5825 G55,NA,M,15/01/18,04/02/18,STRA,
SY male 8430 G44 L4,SY fem 7043 G43,SY male 7039 G43,M,06/02/18,26/02/18,PWD,
SY fem 8943 G43 P2,SY fem 5343 G42,NA,F,19/01/18,08/02/18,PWD,Iz 7.3
SY male 8482 G38 L2,SY fem 6901 G37,SY male 6900 G37,M,08/02/18,28/02/18,SCHUNT,
SY fem 8115 G56 P3,SY fem 4494 G55,NA,F,12/01/18,22/01/18,STRA,Iz 7.3.18
SY male 8613 G61 P3,SY fem 7196 G60,NA,M,14/02/18,06/03/18,BUSNA,
SY fem 143 G63 L4,SY fem 8218 G62,NA,F,26/03/18,15/04/18,BUSNA,Ds K. 139
SY male 8612 G61 P2,SY 7196 G60,NA,M,14/02/18,06/03/18,BUSNA,
SY male 8171 G37 P3,SY fem 5901 G36,NA,M,14/01/18,03/02/18,SCHUNT,55/10.3.18 izol 28.1
SY fem 8515 G43 P3,SY fem 7076 G42,NA,F,10/02/18,12/03/18,PWD,
SY male 8170 G37 P2 ,SY fem 5901 G36,NA,M,14/01/18,03/02/18,SCHUNT,izol. Od SY male 8171 G37 28.02.18
SY male 9617 G60 L3,SY fem 5146 G59,NA,M,06/03/18,26/03/18,BUSNA,
EX fem 526 G55 P2,SY fem 3007 G54,NA,F,29/01/18,18/02/18,STRA,iz. 7.3
SY fem 8479 G37 P5,SY fem 5901 G36,NA,F,08/02/18,28/02/18,SCHUNT,
SY male 8510 G43 L2,SY fem 7076 G42,NA,M,10/02/18,12/03/18,PWD,
SY male 8483 G38 L3,SY fem 6901 G37,NA,M,08/02/18,28/02/18,SCHUNT,
SY male 8478 G37 P4,SY fem 5901 G36,SY male 5900 G36,M,08/02/18,28/02/18,SCHUNT,
SY male 8487 G42 P5,SY fem 4994 G41,SY male 4990 G41,M,08/02/18,28/02/18,PWD,iz. 1.3
SY fem 8114 G56 P2,SY fem 4494 G55,NA,F,12/01/18,22/01/18,STRA,iz. 7.3.18
SY male 8595 G43 P2,SY fem 5675 G42,NA,M,10/02/18,07/03/18,PWD,
SY fem 8513 G43 L5,SY fem 7076 G42,NA,F,10/02/18,12/03/18,PWD,
SY fem 7075 G42 P2,SY fem 2996 G40,NA,F,04/12/17,27/12/17,PWD,
SY male 8429 G44 L3,SY fem 7043 G43,SY male 7039 G43,M,06/02/18,26/02/18,PWD,
SY male 8431 G44 L5,SY fem 7043 G43,SY male 7039 G43,M,06/02/18,26/02/18,PWD,
SY male 8511 G43 L3,SY fem 7076 G42,NA,M,19/02/18,12/03/18,PWD,
SY male 9616 G60 L2,SY fem 5146 G59 ,NA,M,06/03/18,26/03/18,BUSNA,
SY fem 8174 G37 L3,SY fem 5901 G36,NA,F,14/01/18,06/02/18,SCHUNT,
SY fem 8486 G35 P5,SY fem 6901 G37,NA,F,08/02/18,28/02/18,SCHUNT,
SY fem 8944 G43 P3,SY fem 5343 G42,NA,F,19/01/18,08/02/18,PWD,iz. 7.3
SY fem 8514 G43 P2,SY fem 7076 G42,NA,F,10/02/18,12/03/18,PWD,
SY fem 8112 G56 L3,SY fem 4494 G55,NA,F,12/01/18,01/02/18,STRA,iz. 7.3
SY fem 9620 G60 P3,SY fem 5146 G59,NA,F,06/03/18,26/03/18,BUSNA,
SY male 8476 G57 P2,SY fem 5901 G36,NA,M,08/02/18,28/02/18,SCHUNT,
SY fem 144 G63 L3,SY fem 8218 G62,NA,F,26/03/18,15/04/18,BUSNA,Do k. 139
SY male 8281 G62 L3,SY fem 6612 G61,NA,M,16/01/18,05/02/18,BUSNA,Izol. 28.2 od SY male 8280 G62
SY fem 8175 G37 L4,SY fem 5901 G36,NA,F,14/01/18,03/02/18,SCHUNT,iz. 7.3
SY fem 9619 G60 P2,SY fem 5146 G59,NA,F,06/03/18,26/03/18,BUSNA,
