day,date,task,dpi
Monday,21/10/19,visual inspection / food / water,0
Tuesday,22/10/19,visual inspection / food / water ,0
Wednesday,23/10/19,visual inspection / food / water,0
Thursday,24/10/19,visual inspection / food / water ,0
Friday,25/10/19,visual inspection / food / water ,0
Saturday,26/10/19,visual inspection / food / water,0
Sunday,27/10/19,visual inspection / food / water ,0
Monday,28/10/19,INFECT,0
Tuesday,29/10/19,weight control,1
Wednesday,30/10/19,weight control,2
Thursday,31/10/19,'weight control + collect E64, E139',3
Friday,01/11/19,'weight control + collect E64, E139',4
Saturday,02/11/19,'weight control + collect E64, E139 + clean the Eflab, E88 cages + collect UNI',5
Sunday,03/11/19,'weight control + collect E64, E139 + collect UNI',6
Monday,04/11/19,'weight control + collect Eflab, E88+ collect E64, E139 + collect UNI',7
Tuesday,05/11/19,'weight control + collect Eflab, E88 + collect UNI',8
Wednesday,06/11/19,'weight control + collect Eflab, E88 + collect UNI',9
Thursday,07/11/19,'weight control + collect Eflab, E88',10
Friday,08/11/19,'weight control + collect Eflab, E88 + put mice on beddings',11
Saturday,09/11/19,visual inspection / food / water,0
Sunday,10/11/19,visual inspection / food / water,0
Monday,11/11/19,visual inspection / food / water,0
Tuesday,12/11/19,visual inspection / food / water,0
Wednesday,13/11/19,visual inspection / food / water,0
Thursday,14/11/19,visual inspection / food / water,0
Friday,15/11/19,visual inspection / food / water + change beddings,0
Saturday,16/11/19,visual inspection / food / water,0
Sunday,17/11/19,visual inspection / food / water,0
Monday,18/11/19,visual inspection / food / water,0
Tuesday,19/11/19,visual inspection / food / water,0
Wednesday,20/11/19,visual inspection / food / water,0
Thursday,21/11/19,visual inspection / food / water,0
Friday,22/11/19,visual inspection / food / water,0
Saturday,23/11/19,visual inspection / food / water,0
Sunday,24/11/19,visual inspection / food / water,0
Monday,25/11/19,INFECT,0
Tuesday,26/11/19,weight control,1
Wednesday,27/11/19,'weight control + collect E64, E139',2
Thursday,28/11/19,'weight control + collect E64, E139',3
Friday,29/11/19,'weight control + collect E64, E139',4
Saturday,30/11/19,'weight control + collect E64, E139 + clean the Eflab, E88 cages + collect UNI',5
Sunday,01/12/19,'weight control + collect E64, E139 + collect UNI',6
Monday,02/12/19,'weight control +collect Eflab, E88+ collect E64, E139 + collect UNI',7
Tuesday,03/12/19,'SACRIFICE + collect E88, Eflab + collect UNI',8
