"EH_ID","infection_isolate","original_mouse_id","original_mouse_id_mother","original_mouse_id_father","sex","born","isolation","Mouse_strain","comment","ageAtInfection"
"LM0123","E64","8249","SY fem 5825 G55",NA,"M","15/01/18","04/02/18","STRA","",15.2797619047619
"LM0124","E64","8431","SY fem 7043 G43","SY male 7039 G43","M","06/02/18","26/02/18","PWD","",12.1369047619048
"LM0125","E64","7518","SY fem 5901 G36",NA,"F","31/12/17","10/01/18","SCHUNT","",17.422619047619
"LM0126","E139","8248","SY fem 5825 G55",NA,"M","15/01/18","04/02/18","STRA","",15.2797619047619
"LM0127","E139","8175","SY fem 5901 G36",NA,"F","14/01/18","03/02/18","SCHUNT","iz. 7.3",15.422619047619
"LM0128","E139","8171","SY fem 5901 G36",NA,"M","14/01/18","03/02/18","SCHUNT","55/10.3.18 izol 28.1",15.422619047619
"LM0129","E139","8943","SY fem 5343 G42",NA,"F","19/01/18","08/02/18","PWD","Iz 7.3",14.7083333333333
"LM0130","E139","8278","SY fem 6612 G61",NA,"M","16/01/18","05/02/18","BUSNA","Izol. 28.2 od SY male 8280 G62",15.1369047619048
"LM0131","E64","8115","SY fem 4494 G55",NA,"F","12/01/18","22/01/18","STRA","Iz 7.3.18",15.7083333333333
"LM0132","E139","8430","SY fem 7043 G43","SY male 7039 G43","M","06/02/18","26/02/18","PWD","",12.1369047619048
"LM0133","E64","8211","SY fem 6613 G61",NA,"F","15/01/18","04/02/18","BUSNA","",15.2797619047619
"LM0134","E64","8246","SY fem 5825 G55",NA,"M","15/01/18","04/02/18","STRA","",15.2797619047619
"LM0135","E64","8277","SY fem 6612 G61",NA,"M","16/01/18","05/02/18","BUSNA","G62 L3",15.1369047619048
"LM0136","E64","8247","SY fem 5825 G55",NA,"M","15/01/18","04/02/18","STRA","",15.2797619047619
"LM0137","E139","8112","SY fem 4494 G55",NA,"F","12/01/18","01/02/18","STRA","iz. 7.3",15.7083333333333
"LM0138","E139","8210","SY fem 6613 G61",NA,"F","15/01/18","04/02/18","BUSNA","iz. 7.3",15.2797619047619
"LM0139","E139","8429","SY fem 7043 G43","SY male 7039 G43","M","06/02/18","26/02/18","PWD","",12.1369047619048
"LM0140","E64","8944","SY fem 5343 G42",NA,"F","19/01/18","08/02/18","PWD","iz. 7.3",14.7083333333333
"LM0141","E139","8114","SY fem 4494 G55",NA,"F","12/01/18","22/01/18","STRA","iz. 7.3.18",15.7083333333333
"LM0142","E64","8174","SY fem 5901 G36",NA,"F","14/01/18","06/02/18","SCHUNT","",15.422619047619
"LM0143","E64","7075","SY fem 2996 G40",NA,"F","04/12/17","27/12/17","PWD","",21.2797619047619
"LM0144","E64","8170","SY fem 5901 G36",NA,"M","14/01/18","03/02/18","SCHUNT","izol. Od SY male 8171 G37 28.02.18",15.422619047619
