EH_id,HybridStatus,Strain,Sex,Exp006,Exp007
LM0295,Hybrid,SCHUNT_PWD,F,E64,E64
LM0294,Inbred,PWD_PWD,M,E64,E64
LM0293,Inbred,BUSNA_BUSNA,M,E64,E88
LM0292,Outbred,BUSNA_PWD,M,E64,E88
LM0291,Outbred,PWD_BUSNA,M,E64,E64
LM0289,Inbred,SCHUNT_SCHUNT,M,E64,E88
LM0288,Outbred,PWD_BUSNA,F,E64,E88
LM0287,Outbred,BUSNA_PWD,F,E64,E64
LM0286,Outbred,PWD_BUSNA,F,E64,E88
LM0285,Inbred,PWD_PWD,M,E64,E64
LM0284,Hybrid,STRA_BUSNA,F,E64,E64
LM0283,Inbred,PWD_PWD,M,E64,E88
LM0282,Inbred,STRA_STRA,F,E64,E88
LM0281,Inbred,BUSNA_BUSNA,F,E64,E88
LM0280,Inbred,SCHUNT_SCHUNT,F,E64,E64
LM0279,Inbred,BUSNA_BUSNA,M,E64,E64
LM0278,Hybrid,SCHUNT_PWD,F,E64,E88
LM0277,Hybrid,BUSNA_STRA,M,E64,E88
LM0276,Inbred,STRA_STRA,F,E64,E88
LM0275,Hybrid,SCHUNT_PWD,F,E64,E88
LM0273,Outbred,STRA_SCHUNT,F,E64,E88
LM0272,Hybrid,BUSNA_STRA,F,E64,E88
LM0271,Hybrid,STRA_BUSNA,M,E64,E88
LM0270,Outbred,SCHUNT_STRA,F,E64,E64
LM0269,Outbred,STRA_SCHUNT,F,E64,E64
LM0268,Inbred,SCHUNT_SCHUNT,F,E64,E88
LM0267,Inbred,STRA_STRA,F,E64,E64
LM0266,Outbred,SCHUNT_STRA,F,E64,E88
LM0265,Hybrid,BUSNA_STRA,M,E64,E64
LM0264,Inbred,PWD_PWD,M,E64,E88
LM0263,Hybrid,PWD_SCHUNT,F,E64,E64
LM0262,Inbred,BUSNA_BUSNA,M,E64,E64
LM0261,Hybrid,PWD_SCHUNT,F,E64,E88
LM0260,Inbred,SCHUNT_SCHUNT,M,E64,E64
LM0259,Hybrid,STRA_BUSNA,M,E64,E64
LM0258,Outbred,BUSNA_PWD,F,E64,E64
LM0257,Inbred,SCHUNT_SCHUNT,M,E88,E64
LM0256,Inbred,STRA_STRA,M,E88,E88
LM0255,Inbred,BUSNA_BUSNA,M,E88,E64
LM0254,Hybrid,SCHUNT_PWD,M,E88,E88
LM0251,Hybrid,STRA_BUSNA,F,E88,E88
LM0249,Outbred,SCHUNT_STRA,M,E88,E64
LM0248,Outbred,STRA_SCHUNT,F,E88,E64
LM0247,Outbred,STRA_SCHUNT,M,E88,E88
LM0240,Hybrid,SCHUNT_PWD,F,E88,E64
LM0239,Inbred,SCHUNT_SCHUNT,F,E88,E88
LM0238,Outbred,PWD_BUSNA,M,E88,E64
LM0236,Inbred,STRA_STRA,M,E88,E64
LM0235,Outbred,STRA_SCHUNT,F,E88,E64
LM0234,Inbred,STRA_STRA,M,E88,E64
LM0233,Inbred,STRA_STRA,F,E88,E88
LM0232,Hybrid,BUSNA_STRA,M,E88,E88
LM0231,Hybrid,PWD_SCHUNT,F,E88,E64
LM0229,Inbred,SCHUNT_SCHUNT,F,E88,E88
LM0228,Hybrid,STRA_BUSNA,F,E88,E64
LM0227,Hybrid,BUSNA_STRA,M,E88,E64
