labels,EH_ID,dpi,comment,weight,weightloss,weightRelativeToInfection,fecweight
NA,LM0123,-7,anthelminthic,25.9,NA,NA,
NA,LM0124,-7,anthelminthic,14.8,NA,NA,
NA,LM0125,-7,anthelminthic,21.4,NA,NA,
NA,LM0126,-7,anthelminthic,25.3,NA,NA,
NA,LM0127,-7,anthelminthic,19.1,NA,NA,
NA,LM0128,-7,anthelminthic,24.5,NA,NA,
NA,LM0129,-7,anthelminthic,14.2,NA,NA,
NA,LM0130,-7,anthelminthic,16.4,NA,NA,
NA,LM0131,-7,anthelminthic,25,NA,NA,
NA,LM0132,-7,anthelminthic,15.1,NA,NA,
NA,LM0133,-7,anthelminthic,14.8,NA,NA,
NA,LM0134,-7,anthelminthic,28,NA,NA,
NA,LM0135,-7,anthelminthic,17.7,NA,NA,
NA,LM0136,-7,anthelminthic,28.7,NA,NA,
NA,LM0137,-7,anthelminthic,23,NA,NA,
NA,LM0138,-7,anthelminthic,16.8,NA,NA,
NA,LM0139,-7,anthelminthic,15.5,NA,NA,
NA,LM0140,-7,anthelminthic,16.8,NA,NA,
NA,LM0141,-7,anthelminthic,23.8,NA,NA,
NA,LM0142,-7,anthelminthic,19.6,NA,NA,
NA,LM0143,-7,anthelminthic,16.3,NA,NA,
NA,LM0144,-7,anthelminthic,24,NA,NA,
GY,LM0123,0,,,,,
GK,LM0124,0,,,,,
LU,LM0125,0,,,,,
AS,LM0126,0,,,,,
TV,LM0127,0,,,,,
LO,LM0128,0,,,,,
HY,LM0129,0,,,,,
RW,LM0130,0,,,,,
EI,LM0131,0,,,,,
SX,LM0132,0,,,,,
VX,LM0133,0,,,,,
OT,LM0134,0,,,,,
UZ,LM0135,0,,,,,
IU,LM0136,0,,,,,
SZ,LM0137,0,,,,,
EL,LM0138,0,,,,,
HW,LM0139,0,,,,,
NW,LM0140,0,,,,,
JW,LM0141,0,,,,,
IX,LM0142,0,,,,,
JK,LM0143,0,,,,,
AM,LM0144,0,,,,,
CH,LM0123,1,,,,,
IL,LM0124,1,,,,,
BW,LM0125,1,,,,,
DK,LM0126,1,,,,,
FP,LM0127,1,,,,,
JP,LM0128,1,,,,,
DJ,LM0129,1,,,,,
QT,LM0130,1,,,,,
RZ,LM0131,1,,,,,
BC,LM0132,1,,,,,
DH,LM0133,1,,,,,
KR,LM0134,1,,,,,
EZ,LM0135,1,,,,,
UX,LM0136,1,,,,,
BD,LM0137,1,,,,,
HT,LM0138,1,,,,,
LT,LM0139,1,,,,,
GQ,LM0140,1,,,,,
FJ,LM0141,1,,,,,
JR,LM0142,1,,,,,
IO,LM0143,1,,,,,
KZ,LM0144,1,,,,,
PV,LM0123,2,,,,,
ST,LM0124,2,,,,,
JV,LM0125,2,,,,,
ER,LM0126,2,,,,,
CE,LM0127,2,,,,,
SW,LM0128,2,,,,,
BF,LM0129,2,,,,,
QZ,LM0130,2,,,,,
HK,LM0131,2,,,,,
OU,LM0132,2,,,,,
AY,LM0133,2,,,,,
TZ,LM0134,2,,,,,
NT,LM0135,2,,,,,
DZ,LM0136,2,,,,,
TW,LM0137,2,,,,,
LX,LM0138,2,,,,,
TU,LM0139,2,,,,,
BJ,LM0140,2,,,,,
AK,LM0141,2,,,,,
AR,LM0142,2,,,,,
TY,LM0143,2,,,,,
PY,LM0144,2,,,,,
QR,LM0123,3,,,,,
BO,LM0124,3,,,,,
GL,LM0125,3,,,,,
BI,LM0126,3,,,,,
HI,LM0127,3,,,,,
QY,LM0128,3,,,,,
WZ,LM0129,3,,,,,
FZ,LM0130,3,,,,,
DS,LM0131,3,,,,,
LR,LM0132,3,,,,,
HO,LM0133,3,,,,,
AF,LM0134,3,,,,,
LS,LM0135,3,,,,,
BM,LM0136,3,,,,,
VW,LM0137,3,,,,,
DQ,LM0138,3,,,,,
DX,LM0139,3,,,,,
GM,LM0140,3,,,,,
MX,LM0141,3,,,,,
GT,LM0142,3,,,,,
