;Well;Fluor;Target;Content;Sample;Melt Temp
;A01;SYBR;CXCL9;Unkn;MouseCaecum1;78,5
;A02;SYBR;IL-10;Unkn;MouseCaecum1;80
;A03;SYBR;IL-12;Unkn;MouseCaecum1;80,5
;A04;SYBR;IL-6;Unkn;MouseCaecum1;76,5
;A05;SYBR;IFN-g;Unkn;MouseCaecum1;80
;A06;SYBR;STAT6;Unkn;MouseCaecum1;82,5
;A07;SYBR;TGF-b;Unkn;MouseCaecum1;82,5
;A08;SYBR;Ppia;Unkn;MouseCaecum1;82,5
;A09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;82,5
;A10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;None
;A11;SYBR;;Neg Ctrl;;None
;B01;SYBR;CXCL9;Unkn;MouseCaecum1;78
;B02;SYBR;IL-10;Unkn;MouseCaecum1;79
;B03;SYBR;IL-12;Unkn;MouseCaecum1;80
;B04;SYBR;IL-6;Unkn;MouseCaecum1;76
;B05;SYBR;IFN-g;Unkn;MouseCaecum1;79,5
;B06;SYBR;STAT6;Unkn;MouseCaecum1;82,5
;B07;SYBR;TGF-b;Unkn;MouseCaecum1;82,5
;B08;SYBR;Ppia;Unkn;MouseCaecum1;82,5
;B09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;82
;B10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;79,5
;B11;SYBR;;Neg Ctrl;;None
;C01;SYBR;CXCL9;Unkn;MouseCaecum2;78
;C02;SYBR;IL-10;Unkn;MouseCaecum2;None
;C03;SYBR;IL-12;Unkn;MouseCaecum2;None
;C04;SYBR;IL-6;Unkn;MouseCaecum2;75,5
;C05;SYBR;IFN-g;Unkn;MouseCaecum2;None
;C06;SYBR;STAT6;Unkn;MouseCaecum2;82,5
;C07;SYBR;TGF-b;Unkn;MouseCaecum2;82,5
;C08;SYBR;Ppia;Unkn;MouseCaecum2;82,5
;C09;SYBR;Ppib;Pos Ctrl;MouseCaecum2;82,5
;C10;SYBR;CDC42;Pos Ctrl;MouseCaecum2;79,5
;C11;SYBR;;Neg Ctrl;;None
;D01;SYBR;CXCL9;Unkn;MouseCaecum2;78
;D02;SYBR;IL-10;Unkn;MouseCaecum2;79
;D03;SYBR;IL-12;Unkn;MouseCaecum2;None
;D04;SYBR;IL-6;Unkn;MouseCaecum2;75,5
;D05;SYBR;IFN-g;Unkn;MouseCaecum2;79
;D06;SYBR;STAT6;Unkn;MouseCaecum2;82
;D07;SYBR;TGF-b;Unkn;MouseCaecum2;82,5
;D08;SYBR;Ppia;Unkn;MouseCaecum2;82,5
;D09;SYBR;Ppib;Pos Ctrl;MouseCaecum2;82,5
;D10;SYBR;CDC42;Pos Ctrl;MouseCaecum2;79,5
;D11;SYBR;;Neg Ctrl;;None
;E01;SYBR;CXCL9;Unkn;MouseCaecum3;78,5
;E02;SYBR;IL-10;Unkn;MouseCaecum3;79
;E03;SYBR;IL-12;Unkn;MouseCaecum3;79,5
;E03;SYBR;IL-12;Unkn;MouseCaecum3;84
;E04;SYBR;IL-6;Unkn;MouseCaecum3;75,5
;E05;SYBR;IFN-g;Unkn;MouseCaecum3;79
;E06;SYBR;STAT6;Unkn;MouseCaecum3;82
;E07;SYBR;TGF-b;Unkn;MouseCaecum3;82,5
;E08;SYBR;Ppia;Unkn;MouseCaecum3;82,5
;E09;SYBR;Ppib;Pos Ctrl;MouseCaecum3;82,5
;E10;SYBR;CDC42;Pos Ctrl;MouseCaecum3;79,5
;E11;SYBR;;Neg Ctrl;;None
;F01;SYBR;CXCL9;Unkn;MouseCaecum3;78,5
;F02;SYBR;IL-10;Unkn;MouseCaecum3;79
;F03;SYBR;IL-12;Unkn;MouseCaecum3;84
;F03;SYBR;IL-12;Unkn;MouseCaecum3;79,5
;F04;SYBR;IL-6;Unkn;MouseCaecum3;75,5
;F05;SYBR;IFN-g;Unkn;MouseCaecum3;79,5
;F06;SYBR;STAT6;Unkn;MouseCaecum3;82
;F07;SYBR;TGF-b;Unkn;MouseCaecum3;82,5
;F08;SYBR;Ppia;Unkn;MouseCaecum3;82,5
;F09;SYBR;Ppib;Pos Ctrl;MouseCaecum3;82,5
;F10;SYBR;CDC42;Pos Ctrl;MouseCaecum3;79,5
;F11;SYBR;;Neg Ctrl;;None
;G01;SYBR;CXCL9;Unkn;MouseCaecum4;78,5
;G02;SYBR;IL-10;Unkn;MouseCaecum4;79
;G03;SYBR;IL-12;Unkn;MouseCaecum4;79,5
;G04;SYBR;IL-6;Unkn;MouseCaecum4;75,5
;G05;SYBR;IFN-g;Unkn;MouseCaecum4;79,5
;G06;SYBR;STAT6;Unkn;MouseCaecum4;82
;G07;SYBR;TGF-b;Unkn;MouseCaecum4;82,5
;G08;SYBR;Ppia;Unkn;MouseCaecum4;82,5
;G09;SYBR;Ppib;Pos Ctrl;MouseCaecum4;82,5
;G10;SYBR;CDC42;Pos Ctrl;MouseCaecum4;79,5
;G11;SYBR;;Neg Ctrl;;None
;H01;SYBR;CXCL9;Unkn;MouseCaecum4;None
;H02;SYBR;IL-10;Unkn;MouseCaecum4;79
;H03;SYBR;IL-12;Unkn;MouseCaecum4;80
;H04;SYBR;IL-6;Unkn;MouseCaecum4;76
;H05;SYBR;IFN-g;Unkn;MouseCaecum4;79,5
;H06;SYBR;STAT6;Unkn;MouseCaecum4;82,5
;H07;SYBR;TGF-b;Unkn;MouseCaecum4;82,5
;H08;SYBR;Ppia;Unkn;MouseCaecum4;82,5
;H09;SYBR;Ppib;Pos Ctrl;MouseCaecum4;82,5
;H10;SYBR;CDC42;Pos Ctrl;MouseCaecum4;79,5
;H11;SYBR;;Neg Ctrl;;None
