;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A01;SYBR;CXCL9;Unkn;LM45;;21,8245376484792;21,8245376484792;0;n. def.;n. def.;n. def.;0;60;
;A02;SYBR;IL-10;Unkn;LM45;;27,1289930007305;27,1289930007305;0;n. def.;n. def.;n. def.;0;60;
;A03;SYBR;IL-12;Unkn;LM45;;27,3082825944466;27,3082825944466;0;n. def.;n. def.;n. def.;0;60;
;A04;SYBR;IL-6;Unkn;LM45;;25,524666493714;25,524666493714;0;n. def.;n. def.;n. def.;0;60;
;A05;SYBR;IFN-g;Unkn;LM45;;25,1702322611754;25,1702322611754;0;n. def.;n. def.;n. def.;0;60;
;A06;SYBR;STAT6;Unkn;LM45;;24,5933658230434;24,5933658230434;0;n. def.;n. def.;n. def.;0;60;
;A07;SYBR;TGF-b;Unkn;LM45;;23,385720003381;23,385720003381;0;n. def.;n. def.;n. def.;0;60;
;A08;SYBR;Ppia;Unkn;LM45;;16,6553734186645;16,6553734186645;0;n. def.;n. def.;n. def.;0;60;
;A09;SYBR;Ppib;Pos Ctrl;LM45;;18,2140738348322;18,2140738348322;0;n. def.;n. def.;n. def.;0;60;
;A10;SYBR;CDC42;Pos Ctrl;LM45;;26,0382054140054;26,0382054140054;0;n. def.;n. def.;n. def.;0;60;
;A11;SYBR;;Neg Ctrl;LM45;;n. def.;0;0;n. def.;n. def.;0;0;60;
;B01;SYBR;CXCL9;Unkn;LM45;;23,3246412512388;23,3246412512388;0;n. def.;n. def.;n. def.;0;60;
;B02;SYBR;IL-10;Unkn;LM45;;28,0132392543046;28,0132392543046;0;n. def.;n. def.;n. def.;0;60;
;B03;SYBR;IL-12;Unkn;LM45;;27,4521913883681;27,4521913883681;0;n. def.;n. def.;n. def.;0;60;
;B04;SYBR;IL-6;Unkn;LM45;;25,4310749120052;25,4310749120052;0;n. def.;n. def.;n. def.;0;60;
;B05;SYBR;IFN-g;Unkn;LM45;;25,0981678288685;25,0981678288685;0;n. def.;n. def.;n. def.;0;60;
;B06;SYBR;STAT6;Unkn;LM45;;24,1991077707572;24,1991077707572;0;n. def.;n. def.;n. def.;0;60;
;B07;SYBR;TGF-b;Unkn;LM45;;22,7173984521714;22,7173984521714;0;n. def.;n. def.;n. def.;0;60;
;B08;SYBR;Ppia;Unkn;LM45;;16,324402739266;16,324402739266;0;n. def.;n. def.;n. def.;0;60;
;B09;SYBR;Ppib;Pos Ctrl;LM45;;18,0245503642634;18,0245503642634;0;n. def.;n. def.;n. def.;0;60;
;B10;SYBR;CDC42;Pos Ctrl;LM45;;25,3889784325669;25,3889784325669;0;n. def.;n. def.;n. def.;0;60;
;B11;SYBR;;Neg Ctrl;LM45;;n. def.;0;0;n. def.;n. def.;0;0;60;
;C01;SYBR;CXCL9;Unkn;LM71;;30,0757096095373;30,0757096095373;0;n. def.;n. def.;n. def.;0;60;
;C02;SYBR;IL-10;Unkn;LM71;;34,5071455255784;34,5071455255784;0;n. def.;n. def.;n. def.;0;60;
;C03;SYBR;IL-12;Unkn;LM71;;33,3975206959683;33,3975206959683;0;n. def.;n. def.;n. def.;0;60;
;C04;SYBR;IL-6;Unkn;LM71;;28,0209386341859;28,0209386341859;0;n. def.;n. def.;n. def.;0;60;
;C05;SYBR;IFN-g;Unkn;LM71;;31,1143247094579;31,1143247094579;0;n. def.;n. def.;n. def.;0;60;
;C06;SYBR;STAT6;Unkn;LM71;;26,9516713500608;26,9516713500608;0;n. def.;n. def.;n. def.;0;60;
;C07;SYBR;TGF-b;Unkn;LM71;;28,3531888180867;28,3531888180867;0;n. def.;n. def.;n. def.;0;60;
;C08;SYBR;Ppia;Unkn;LM71;;20,9930264668068;20,9930264668068;0;n. def.;n. def.;n. def.;0;60;
;C09;SYBR;Ppib;Pos Ctrl;LM71;;21,3393711151683;21,3393711151683;0;n. def.;n. def.;n. def.;0;60;
;C10;SYBR;CDC42;Pos Ctrl;LM71;;25,8259164024569;25,8259164024569;0;n. def.;n. def.;n. def.;0;60;
;C11;SYBR;;Neg Ctrl;LM71;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D01;SYBR;CXCL9;Unkn;LM71;;30,2635820519625;30,2635820519625;0;n. def.;n. def.;n. def.;0;60;
;D02;SYBR;IL-10;Unkn;LM71;;36,0776174659608;36,0776174659608;0;n. def.;n. def.;n. def.;0;60;
;D03;SYBR;IL-12;Unkn;LM71;;33,0948062182951;33,0948062182951;0;n. def.;n. def.;n. def.;0;60;
;D04;SYBR;IL-6;Unkn;LM71;;28,2132111187472;28,2132111187472;0;n. def.;n. def.;n. def.;0;60;
;D05;SYBR;IFN-g;Unkn;LM71;;32,6535559315684;32,6535559315684;0;n. def.;n. def.;n. def.;0;60;
;D06;SYBR;STAT6;Unkn;LM71;;27,3688952543528;27,3688952543528;0;n. def.;n. def.;n. def.;0;60;
;D07;SYBR;TGF-b;Unkn;LM71;;28,8479580426979;28,8479580426979;0;n. def.;n. def.;n. def.;0;60;
;D08;SYBR;Ppia;Unkn;LM71;;20,9856392513386;20,9856392513386;0;n. def.;n. def.;n. def.;0;60;
;D09;SYBR;Ppib;Pos Ctrl;LM71;;21,348904919613;21,348904919613;0;n. def.;n. def.;n. def.;0;60;
;D10;SYBR;CDC42;Pos Ctrl;LM71;;25,496564655039;25,496564655039;0;n. def.;n. def.;n. def.;0;60;
;D11;SYBR;;Neg Ctrl;LM71;;n. def.;0;0;n. def.;n. def.;0;0;60;
;E01;SYBR;CXCL9;Unkn;LM72;;32,5972556949543;32,5972556949543;0;n. def.;n. def.;n. def.;0;60;
;E02;SYBR;IL-10;Unkn;LM72;;35,1971513647406;35,1971513647406;0;n. def.;n. def.;n. def.;0;60;
;E03;SYBR;IL-12;Unkn;LM72;;33,2484071741369;33,2484071741369;0;n. def.;n. def.;n. def.;0;60;
;E04;SYBR;IL-6;Unkn;LM72;;27,7206420585647;27,7206420585647;0;n. def.;n. def.;n. def.;0;60;
;E05;SYBR;IFN-g;Unkn;LM72;;32,1434551035206;32,1434551035206;0;n. def.;n. def.;n. def.;0;60;
;E06;SYBR;STAT6;Unkn;LM72;;27,1738805111276;27,1738805111276;0;n. def.;n. def.;n. def.;0;60;
;E07;SYBR;TGF-b;Unkn;LM72;;30,5339131276802;30,5339131276802;0;n. def.;n. def.;n. def.;0;60;
;E08;SYBR;Ppia;Unkn;LM72;;21,4182151799508;21,4182151799508;0;n. def.;n. def.;n. def.;0;60;
;E09;SYBR;Ppib;Pos Ctrl;LM72;;23,4519123944712;23,4519123944712;0;n. def.;n. def.;n. def.;0;60;
;E10;SYBR;CDC42;Pos Ctrl;LM72;;25,3507288007821;25,3507288007821;0;n. def.;n. def.;n. def.;0;60;
;E11;SYBR;;Neg Ctrl;LM72;;n. def.;0;0;n. def.;n. def.;0;0;60;
;F01;SYBR;CXCL9;Unkn;LM72;;32,0942135187301;32,0942135187301;0;n. def.;n. def.;n. def.;0;60;
;F02;SYBR;IL-10;Unkn;LM72;;35,8634562395319;35,8634562395319;0;n. def.;n. def.;n. def.;0;60;
;F03;SYBR;IL-12;Unkn;LM72;;32,5508048502098;32,5508048502098;0;n. def.;n. def.;n. def.;0;60;
;F04;SYBR;IL-6;Unkn;LM72;;27,9888695515916;27,9888695515916;0;n. def.;n. def.;n. def.;0;60;
;F05;SYBR;IFN-g;Unkn;LM72;;31,8469278166471;31,8469278166471;0;n. def.;n. def.;n. def.;0;60;
;F06;SYBR;STAT6;Unkn;LM72;;27,5912650470556;27,5912650470556;0;n. def.;n. def.;n. def.;0;60;
;F07;SYBR;TGF-b;Unkn;LM72;;30,719355955312;30,719355955312;0;n. def.;n. def.;n. def.;0;60;
