"","EH_ID","Strain","HybridStatus","Batch","InfectionStrain","labels","EXP","oocyst_mean","OPG","dpi","weight_dpi0","weightloss","primary","fecweight","challenge"
"1","LM_0179"," PWD_BUSNA "," outbred hybrids ",1," E88 ","5.1aHUY","5.1a",NA,NA,2,18.93,"-2.69413629160064","E88",NA,NA
"2","LM_0179"," PWD_BUSNA "," outbred hybrids ",1," E88 ","5.1aRVX","5.1a",0,0,6,18.93,"-2.16587427363973","E88",0.85,NA
"3","LM_0179"," PWD_BUSNA "," outbred hybrids ",1," E88 ","5.1aVXY","5.1a",0,0,5,18.93,"-1.53195985208663","E88",1.9,NA
"4","LM_0179"," PWD_BUSNA "," outbred hybrids ",1," E88 ","5.1aHKT","5.1a",NA,NA,3,18.93,"-0.528262017960916","E88",NA,NA
"5","LM_0179"," PWD_BUSNA "," outbred hybrids ",1," E88 ","5.1aBLZ","5.1a",62500,82236.8421052632,10,18.93,"3.59218172213418","E88",0.76,NA
"6","LM_0179"," PWD_BUSNA "," outbred hybrids ",1," E88 ","5.1aELN","5.1a",0,0,4,18.93,"-2.74696249339672","E88",1.71,NA
"7","LM_0179"," PWD_BUSNA "," outbred hybrids ",1," E88 ","5.1aACD","5.1a",0,0,0,18.93,"0","E88",2.31,NA
"8","LM_0179"," PWD_BUSNA "," outbred hybrids ",1," E88 ","5.1aBEJ","5.1a",77500,104729.72972973,7,18.93,"2.74696249339672","E88",0.74,NA
"9","LM_0179"," PWD_BUSNA "," outbred hybrids ",1," E88 ","5.1aGTY","5.1a",462500,906862.745098039,9,18.93,"6.9202324352879","E88",0.51,NA
"10","LM_0179"," PWD_BUSNA "," outbred hybrids ",1," E88 ","5.1aOQZ","5.1a",257500,1119565.2173913,8,18.93,"5.59957739038562","E88",0.23,NA
"11","LM_0179"," PWD_BUSNA "," outbred hybrids ",1," E88 ","5.1aMQS","5.1a",NA,NA,1,18.93,"-4.54305335446381","E88",NA,NA
"12","LM_0179"," PWD_BUSNA "," outbred hybrids ",1," E88 ","5.1aCXY","5.1a",5000,5747.12643678161,11,18.93,"0.264131008980458","E88",0.87,NA
"13","LM_0180"," STRA_BUSNA "," inter subsp. hybrids ",1," E88 ","5.1aIJY","5.1a",5000,4000,11,24.1,"2.11618257261411","E88",1.25,NA
"14","LM_0180"," STRA_BUSNA "," inter subsp. hybrids ",1," E88 ","5.1aLMW","5.1a",0,0,5,24.1,"0.746887966804978","E88",1.07,NA
"15","LM_0180"," STRA_BUSNA "," inter subsp. hybrids ",1," E88 ","5.1aKWY","5.1a",0,0,6,24.1,"1.82572614107884","E88",0.88,NA
"16","LM_0180"," STRA_BUSNA "," inter subsp. hybrids ",1," E88 ","5.1aGLV","5.1a",0,0,4,24.1,"0.373443983402489","E88",0.96,NA
"17","LM_0180"," STRA_BUSNA "," inter subsp. hybrids ",1," E88 ","5.1aBLX","5.1a",0,0,0,24.1,"0","E88",1.51,NA
"18","LM_0180"," STRA_BUSNA "," inter subsp. hybrids ",1," E88 ","5.1aQVZ","5.1a",237500,365384.615384615,9,24.1,"10","E88",0.65,NA
"19","LM_0180"," STRA_BUSNA "," inter subsp. hybrids ",1," E88 ","5.1aCGI","5.1a",450000,6e+05,8,24.1,"7.67634854771785","E88",0.75,NA
