,EH_ID,Strain,HybridStatus,InfectionStrain,labels,dpi,weight,weight_dpi0,Wchange,fecweight,batch
1,LM0227,BUSNA_STRA,inter subsp. hybrids,E88,INO,0,23.86,23.86,0,2.11,october2018
2,LM0227,BUSNA_STRA,inter subsp. hybrids,E88,LNW,6,22.94,23.86,96.14,0.88,october2018
3,LM0227,BUSNA_STRA,inter subsp. hybrids,E88,MNW,8,23.81,23.86,99.79,2.73,october2018
4,LM0227,BUSNA_STRA,inter subsp. hybrids,E88,ELZ,4,22.88,23.86,95.89,2.23,october2018
5,LM0227,BUSNA_STRA,inter subsp. hybrids,E88,IPS,3,23.8,23.86,99.75,1.5,october2018
6,LM0227,BUSNA_STRA,inter subsp. hybrids,E88,ALV,2,23.75,23.86,99.54,1.09,october2018
7,LM0227,BUSNA_STRA,inter subsp. hybrids,E88,RTY,5,23.12,23.86,96.9,2.01,october2018
8,LM0227,BUSNA_STRA,inter subsp. hybrids,E88,AUZ,7,23.24,23.86,97.4,1.68,october2018
9,LM0227,BUSNA_STRA,inter subsp. hybrids,E88,FJW,1,23.8,23.86,99.75,0.76,october2018
10,LM0228,STRA_BUSNA,inter subsp. hybrids,E88,BJR,4,24.01,21.23,113.09,1.96,october2018
11,LM0228,STRA_BUSNA,inter subsp. hybrids,E88,CRZ,2,24.14,21.23,113.71,1.2,october2018
12,LM0228,STRA_BUSNA,inter subsp. hybrids,E88,FHT,1,23.4,21.23,110.22,1.28,october2018
13,LM0228,STRA_BUSNA,inter subsp. hybrids,E88,BGY,8,23.5,21.23,110.69,1.13,october2018
14,LM0228,STRA_BUSNA,inter subsp. hybrids,E88,NSX,7,22.92,21.23,107.96,1.18,october2018
15,LM0228,STRA_BUSNA,inter subsp. hybrids,E88,CWZ,3,24.85,21.23,117.05,1.69,october2018
16,LM0228,STRA_BUSNA,inter subsp. hybrids,E88,ESW,5,23.47,21.23,110.55,1.32,october2018
17,LM0228,STRA_BUSNA,inter subsp. hybrids,E88,EJN,0,21.23,21.23,0,1.24,october2018
18,LM0228,STRA_BUSNA,inter subsp. hybrids,E88,LMZ,6,22.29,21.23,104.99,1.05,october2018
19,LM0229,SCHUNT_SCHUNT,parental strains,E88,LUV,4,18.78,19.06,98.53,2.35,october2018
20,LM0229,SCHUNT_SCHUNT,parental strains,E88,ABG,1,18.38,19.06,96.43,1.63,october2018
21,LM0229,SCHUNT_SCHUNT,parental strains,E88,NTU,7,18.67,19.06,97.95,1.98,october2018
22,LM0229,SCHUNT_SCHUNT,parental strains,E88,AIO,3,18.85,19.06,98.9,2.07,october2018
23,LM0229,SCHUNT_SCHUNT,parental strains,E88,BIO,2,18.88,19.06,99.06,1.23,october2018
24,LM0229,SCHUNT_SCHUNT,parental strains,E88,EMW,8,19.01,19.06,99.74,2.36,october2018
25,LM0229,SCHUNT_SCHUNT,parental strains,E88,FHK,6,19.55,19.06,102.57,1.48,october2018
26,LM0229,SCHUNT_SCHUNT,parental strains,E88,CNT,5,19.88,19.06,104.3,3.34,october2018
27,LM0229,SCHUNT_SCHUNT,parental strains,E88,DKR,0,19.06,19.06,0,1.4,october2018
28,LM0231,PWD_SCHUNT,inter subsp. hybrids,E88,CIK,1,21.41,20.69,103.48,1.13,october2018
29,LM0231,PWD_SCHUNT,inter subsp. hybrids,E88,CEK,8,20.43,20.69,98.74,2.81,october2018
30,LM0231,PWD_SCHUNT,inter subsp. hybrids,E88,JRZ,7,20.66,20.69,99.86,1.53,october2018
31,LM0231,PWD_SCHUNT,inter subsp. hybrids,E88,BCE,4,21.45,20.69,103.67,2.39,october2018
32,LM0231,PWD_SCHUNT,inter subsp. hybrids,E88,ANS,2,22.57,20.69,109.09,1.4,october2018
33,LM0231,PWD_SCHUNT,inter subsp. hybrids,E88,BOY,0,20.69,20.69,0,2.11,october2018
34,LM0231,PWD_SCHUNT,inter subsp. hybrids,E88,BMW,3,22,20.69,106.33,2.09,october2018
35,LM0231,PWD_SCHUNT,inter subsp. hybrids,E88,COV,5,20.95,20.69,101.26,1.53,october2018
36,LM0231,PWD_SCHUNT,inter subsp. hybrids,E88,GJT,6,20.52,20.69,99.18,0.95,october2018
37,LM0232,BUSNA_STRA,inter subsp. hybrids,E88,HNS,1,27.09,26.37,102.73,2.18,october2018
38,LM0232,BUSNA_STRA,inter subsp. hybrids,E88,CUY,8,26.98,26.37,102.31,2.15,october2018
39,LM0232,BUSNA_STRA,inter subsp. hybrids,E88,FGH,7,27.02,26.37,102.46,1.67,october2018
40,LM0232,BUSNA_STRA,inter subsp. hybrids,E88,BFJ,4,26.65,26.37,101.06,1.92,october2018
41,LM0232,BUSNA_STRA,inter subsp. hybrids,E88,AGP,2,27.32,26.37,103.6,1.21,october2018
42,LM0232,BUSNA_STRA,inter subsp. hybrids,E88,DIW,0,26.37,26.37,0,1.1,october2018
43,LM0232,BUSNA_STRA,inter subsp. hybrids,E88,GIU,3,27,26.37,102.39,1.35,october2018
44,LM0232,BUSNA_STRA,inter subsp. hybrids,E88,GHN,5,27.26,26.37,103.38,2.07,october2018
45,LM0232,BUSNA_STRA,inter subsp. hybrids,E88,NPW,6,26.56,26.37,100.72,1.11,october2018
46,LM0233,STRA_STRA,parental strains,E88,FKW,1,29.75,29.77,99.93,1.92,october2018
47,LM0233,STRA_STRA,parental strains,E88,STU,8,29.96,29.77,100.64,1.75,october2018
48,LM0233,STRA_STRA,parental strains,E88,IMQ,7,31.24,29.77,104.94,1.51,october2018
49,LM0233,STRA_STRA,parental strains,E88,IMR,4,31.02,29.77,104.2,3.05,october2018
50,LM0233,STRA_STRA,parental strains,E88,DQW,2,30.76,29.77,103.33,1.21,october2018
51,LM0233,STRA_STRA,parental strains,E88,DUZ,0,29.77,29.77,0,2.85,october2018
52,LM0233,STRA_STRA,parental strains,E88,ERY,3,30.71,29.77,103.16,1.66,october2018
53,LM0233,STRA_STRA,parental strains,E88,FPQ,5,31.52,29.77,105.88,2.16,october2018
54,LM0233,STRA_STRA,parental strains,E88,GSV,6,30.61,29.77,102.82,1.19,october2018
55,LM0234,STRA_STRA,parental strains,E88,GHS,1,32.07,32.76,97.89,1.93,october2018
56,LM0234,STRA_STRA,parental strains,E88,BLW,8,32.64,32.76,99.63,1.63,october2018
57,LM0234,STRA_STRA,parental strains,E88,AHU,7,33.04,32.76,100.85,1.71,october2018
58,LM0234,STRA_STRA,parental strains,E88,CET,4,33.03,32.76,100.82,2.3,october2018
59,LM0234,STRA_STRA,parental strains,E88,JMZ,2,32.68,32.76,99.76,1.26,october2018
60,LM0234,STRA_STRA,parental strains,E88,JPX,0,32.76,32.76,0,1.36,october2018
61,LM0234,STRA_STRA,parental strains,E88,EKV,3,33,32.76,100.73,1.46,october2018
62,LM0234,STRA_STRA,parental strains,E88,AEJ,5,32.15,32.76,98.14,2.29,october2018
63,LM0234,STRA_STRA,parental strains,E88,AGX,6,32.61,32.76,99.54,1.35,october2018
64,LM0235,STRA_SCHUNT,outbred hybrids,E88,HKM,1,19.41,19.58,99.13,0.86,october2018
65,LM0235,STRA_SCHUNT,outbred hybrids,E88,DTU,8,19.51,19.58,99.64,0.95,october2018
66,LM0235,STRA_SCHUNT,outbred hybrids,E88,AQY,7,19.43,19.58,99.23,1.16,october2018
67,LM0235,STRA_SCHUNT,outbred hybrids,E88,DHL,4,19.17,19.58,97.91,1.9,october2018
68,LM0235,STRA_SCHUNT,outbred hybrids,E88,EHM,2,19.35,19.58,98.83,1.11,october2018
69,LM0235,STRA_SCHUNT,outbred hybrids,E88,FJS,0,19.58,19.58,0,0.99,october2018
70,LM0235,STRA_SCHUNT,outbred hybrids,E88,QUZ,3,19.13,19.58,97.7,1.12,october2018
71,LM0235,STRA_SCHUNT,outbred hybrids,E88,EFL,5,19.81,19.58,101.17,1.49,october2018
72,LM0235,STRA_SCHUNT,outbred hybrids,E88,CEO,6,19.5,19.58,99.59,0.95,october2018
