EH_ID,primary,challenge
LM0227,E88,E64
LM0228,E88,E64
LM0231,E88,E64
LM0234,E88,E64
LM0235,E88,E64
LM0236,E88,E64
LM0238,E88,E64
LM0240,E88,E64
LM0248,E88,E64
LM0249,E88,E64
LM0255,E88,E64
LM0257,E88,E64
LM0258,E64,E64
LM0259,E64,E64
LM0229,E88,E88
LM0232,E88,E88
LM0233,E88,E88
LM0239,E88,E88
LM0247,E88,E88
LM0251,E88,E88
LM0254,E88,E88
LM0256,E88,E88
LM0261,E64,E88
LM0264,E64,E88
LM0266,E64,E88
LM0268,E64,E88
LM0271,E64,E88
LM0260,E64,E64
LM0262,E64,E64
LM0263,E64,E64
LM0265,E64,E64
LM0269,E64,E64
LM0270,E64,E64
LM0272,E64,E88
LM0273,E64,E88
LM0275,E64,E88
LM0276,E64,E88
LM0277,E64,E88
LM0278,E64,E88
LM0279,E64,E64
LM0280,E64,E64
LM0282,E64,E88
LM0283,E64,E88
LM0284,E64,E64
LM0285,E64,E64
LM0286,E64,E88
LM0287,E64,E64
LM0288,E64,E88
LM0289,E64,E88
LM0291,E64,E64
LM0292,E64,E88
LM0293,E64,E88
LM0294,E64,E64
LM0295,E64,E64
