Sample,% CD4+,% CD8+,% IFN-g+ in CD4+,% IL-17A+ in CD4+,% IFN-g+ in CD8+,Foxp3+ in CD4+,Ki-67+ in Foxp3+,RORgt+ in Foxp3+,% T-bet+ in CD4+Foxp3-,Ki-67+ in T-bet+,RORgt+ in CD4+Foxp3-,Ki-67+ in RORgt+
1: Anterior LN_27_028.fcs,50.46,15.18,3.37,0.35,20.89,6.69,13.74,9.3,4.76,64.9,0.79,44.33
2: Anterior LN_28_029.fcs,48.12,13.39,5.13,0.28,22.26,8.14,17.97,7.04,8.44,71.46,1.16,39.96
3: Anterior LN_29_042.fcs,47.69,15.97,2.7,0.59,38.9,9.12,11.25,5.62,3.07,25.24,0.88,26.34
4: Anterior LN_31_030.fcs,41.87,23.71,7.54,0.81,35.28,6.01,19.88,7.79,8,81.56,1.38,78.73
5: Anterior LN_32_043.fcs,50.39,16.49,2.19,0.3,16.82,10.09,9.81,6.04,3.57,21.74,1.04,27.03
6: Anterior LN_33_044.fcs,48.96,7.51,2.75,0.22,20.1,7.82,9.9,3.68,2.76,25.6,0.53,32.76
7: Anterior LN_34_031.fcs,51.56,9.4,7.41,0.18,26.46,6.66,21.73,10.01,7.07,75.83,0.97,69.17
8: Anterior LN_35_032.fcs,45.84,12.71,8.22,0.34,27.15,7.79,12.84,7.35,8.67,49.02,1.22,33.04
9: Anterior LN_36_033.fcs,51.48,9.76,11.39,0.51,51.56,7.2,15.57,6.92,6.18,61.95,1.15,65.82
10: Anterior LN_38_034.fcs,44.21,26.35,3.76,0.15,27.62,9.79,13.27,5.67,7.33,78.42,1.27,49.29
11: Anterior LN_39_045.fcs,69.09,13.48,1.22,0.27,13.46,3.4,11.19,7.68,1.54,13.86,0.8,34.59
12: Anterior LN_40_035.fcs,39.79,29.95,6.79,0.2,22.77,10.01,10.48,4.37,6.9,64.36,0.64,40.17
13: Anterior LN_47_046.fcs,52.27,15.85,1.43,0.12,12.29,7.37,7.09,4.63,2.28,20.21,0.95,29.09
14: Anterior LN_48_036.fcs,46.8,16.34,6.7,0.77,25.08,6.2,15.93,15.36,5.83,57.12,1.22,40.43
15: Anterior LN_49_037.fcs,51.05,19.4,4.06,0.48,21.27,5.92,14.95,8.92,4.06,54.22,0.75,35.37
16: Anterior LN_51_047.fcs,59.68,16.94,1.67,0.36,5.94,5.95,10.63,5.3,1.84,30.09,0.46,16.97
17: Anterior LN_54_048.fcs,50.27,26.11,1.16,0.28,12.72,6.74,8.6,4.96,1.41,23.03,0.48,21.27
18: Anterior LN_55_038.fcs,37.16,24.91,3.76,1.11,21.56,9.58,26.85,11.12,14.73,90.05,4.35,65.6
19: Anterior LN_56_049.fcs,54.68,11.8,2.56,0.54,24.28,6.03,11.33,4.65,2.14,23.74,1.09,31.11
20: Anterior LN_57_039.fcs,58.89,15.36,4.19,0.27,23.75,5.76,8.08,6.1,3.15,36.84,0.68,17.56
21: Anterior LN_58_040.fcs,51.43,32.29,0.82,0.43,10.89,9.69,14.8,3.45,3.86,74.91,0.96,39.34
22: Anterior LN_59_041.fcs,48.13,11.52,2,0.34,22.61,7.27,11.06,6.2,3.86,53.18,1.06,22.7
23: Anterior LN_61_050.fcs,42.14,23.03,2.31,0.3,17.56,10.7,8.83,4.33,2.08,26.73,0.66,16.83
24: Anterior LN_64_051.fcs,50.57,26.83,0.97,0.57,19.62,11.21,10.14,3.36,1.83,25,1.36,32.29
25: Anterior LN_66_052.fcs,57.89,18.33,1.09,0.17,6.2,5.47,10.54,7.07,1.48,11.56,0.76,39
26: Anterior LN_68_053.fcs,65.84,13.12,1.24,0.46,11.23,4.33,9.92,8.61,2.11,13.33,1.23,18.23
27: Anterior LN_71_054.fcs,42.07,19.5,1.21,0.33,9.98,9.02,6.94,2.99,2.15,28.64,0.98,61.74
1: Anterior LN_60_026.fcs,58.47,11.86,1.18,0.34,10.43,3.82,34.86,8.04,5.06,52.25,1.15,31.7
2: Anterior LN_62_027.fcs,29.24,37.37,2.09,0.66,18.09,8.39,34.95,9.02,5.48,67.53,2.27,35.18
3: Anterior LN_63_028.fcs,53.14,17.45,1.63,0.61,20.74,8.28,13.65,4.53,2.52,39.48,0.68,21.64
4: Anterior LN_65_029.fcs,51.02,28.02,0.86,1.04,5.27,4.21,29.25,9.91,2.4,63.69,0.43,33.06
5: Anterior LN_69_036.fcs,56,7.27,1.66,0.53,16.36,3.71,22.21,12.01,3.41,38.66,0.86,22.16
6: Anterior LN_70_030.fcs,55.73,14.84,2.65,0.65,17.11,4.09,25.55,7.75,3.81,51.34,0.76,31.78
7: Anterior LN_72_040.fcs,56.2,11.84,0.84,0.7,8.22,7.15,21.09,4.09,2.22,35.52,0.48,11.86
8: Anterior LN_73_049.fcs,56.76,16.84,1.72,0.2,10.02,4.62,18.18,8.45,2.83,19.32,0.59,20.11
9: Anterior LN_75_041.fcs,46.13,24.2,1.69,0.85,31.03,11.94,20.38,4.95,3.26,37.45,1.08,57.32
10: Anterior LN_76_039.fcs,50.34,10.24,3.09,1.61,17.87,4.78,18.78,4.62,3.43,25.85,0.67,24.09
11: Anterior LN_77_046.fcs,54.71,21.06,0.41,0.51,0.45,4.31,17.2,6.83,2.19,22.67,0.57,6.34
12: Anterior LN_78_050.fcs,54.16,26.02,0.53,0.42,4.35,4.46,14.17,2.64,1.17,26.29,0.39,19.23
13: Anterior LN_79_031.fcs,51.48,22.09,1.93,2.93,11.49,13.08,49.93,12.21,7.18,71.89,1.29,66.28
14: Anterior LN_80_037.fcs,62.61,17.2,0.86,0.36,10.32,2.29,21.6,13.6,2.57,44.53,1.07,21.05
15: Anterior LN_82_042.fcs,48.06,8.85,1.95,0.99,16.54,4.79,23.42,4.67,2.52,26.81,0.47,30.73
16: Anterior LN_83_043.fcs,50.68,27.74,0.75,0.96,9.43,10.26,20.36,5.58,1.86,29.61,1.07,26.05
17: Anterior LN_84_032.fcs,53.27,25.66,0.72,1.07,3.68,5.36,25.43,6.24,2.86,52.51,0.61,19.33
18: Anterior LN_85_033.fcs,46.89,28.72,1.73,2.17,4.33,9.64,33.44,5.4,3.19,73.74,0.73,39.39
19: Anterior LN_86_045.fcs,56.3,35.15,0.44,0.63,4.15,8.25,9.79,4.3,1.89,15.6,0.67,24
20: Anterior LN_87_034.fcs,49.96,34.84,1.02,0.83,7.85,8.7,23.7,5.62,4.38,67.68,1.24,50.27
21: Anterior LN_88_047.fcs,55.69,32.41,0.48,0.49,4.85,6.73,14.48,5.56,1.67,30.28,0.56,22.93
22: Anterior LN_89_048.fcs,69.68,14.66,0.61,0.2,10.71,2.68,19.81,13.05,1.93,16.85,0.82,11.11
23: Anterior LN_91_035.fcs,38.87,34.45,3.46,1.19,6.11,8.89,28.8,8.8,9,67.83,1.17,46.67
24: Anterior LN_92_044.fcs,56.09,27,0.59,0.54,5.49,6.42,17.16,8.35,1.66,27.81,0.86,29.38
25: Anterior LN_93_051.fcs,54.62,17.48,0.33,1.16,6.75,7.13,18.74,8.88,1.24,34.13,1.03,15.37
26: Anterior LN_94_038.fcs,48.15,29.76,2.31,3.46,14.33,10.95,29.45,4.72,3.94,49.24,0.56,34.26
