Sample,% CD4+,% CD8+,% IFN-g+ in CD4+,% IL-17A+ in CD4+,% IFN-g+ in CD8+,Foxp3+ in CD4+,Ki-67+ in Foxp3+,RORgt+ in Foxp3+,% T-bet+ in CD4+Foxp3-,Ki-67+ in T-bet+,RORgt+ in CD4+Foxp3-,Ki-67+ in RORgt+
1: Posterior LN_27_001.fcs,39.34,13.6,6.46,0.48,22.59,6.08,18.67,17.74,8.8,77.5,0.99,49.42
2: Posterior LN_28_002.fcs,44.17,14.29,13.04,0.49,32.81,5.87,24.76,16.09,13.4,78.77,0.99,44.82
3: Posterior LN_29_015.fcs,64.75,4.07,3.39,0.56,43.82,5.18,13.66,13.39,2.86,14.44,2.38,33.77
4: Posterior LN_31_003.fcs,39.31,26.9,10.63,0.89,41.05,6.89,27.64,17.77,10.5,80.86,2.03,77.88
5: Posterior LN_32_016.fcs,54.1,18.61,1.82,0.2,21.96,7.3,17.12,22.76,1.52,33.96,1.08,27.86
6: Posterior LN_33_017.fcs,44.83,7.47,2.84,0.32,18.36,5.96,16.81,10.39,3.04,25.44,0.86,31.63
7: Posterior LN_34_004.fcs,47.38,8.73,9.5,0.41,42.16,5.47,27.86,17.89,6.67,77.2,1.25,62.3
8: Posterior LN_35_005.fcs,45.64,15.28,9.29,0.22,30.23,5.25,21.39,9.94,10.5,54.72,0.96,48.16
9: Posterior LN_36_006.fcs,41.18,7.92,14.43,0.71,40.97,5.73,26.43,22.16,7.86,72.77,2.08,64.29
10: Posterior LN_38_007.fcs,42.44,26.66,5.42,0.52,27.98,8.04,12.91,7.98,8.09,79.62,1.1,62.38
11: Posterior LN_39_018.fcs,66.93,14.32,2.16,0.5,14.05,3.86,17.03,21.02,1.92,14.76,1.05,31.56
12: Posterior LN_40_008.fcs,35.08,32.28,12.41,1.08,38.24,8.08,30.55,14.15,11.3,64.38,0.97,59.65
13: Posterior LN_47_019.fcs,54.23,20.31,2.47,0.21,14.69,6.42,8.61,13.4,2.73,18.17,0.94,28.54
14: Posterior LN_48_009.fcs,39.38,15.77,10.06,1.28,34.01,6.04,27.84,35.6,9.41,64.44,1.61,50.22
15: Posterior LN_49_010.fcs,43.63,19.07,4.65,0.98,26.18,7.01,18.6,17.71,5.62,55.05,1.19,35.18
16: Posterior LN_51_020.fcs,63.37,17.22,1.95,0.4,17.71,5.35,14.79,14.02,1.91,29.06,0.61,25.34
17: Posterior LN_54_021.fcs,52.68,30.61,2.14,0.26,19.48,6.64,15.62,10.11,1.5,19.84,0.62,24.57
18: Posterior LN_55_011.fcs,35.15,23.44,2.72,1.04,32.66,8.17,21.37,6.82,8.35,91.51,3.75,69.96
19: Posterior LN_56_022.fcs,54.47,11.02,2.6,0.42,20.84,4.19,14.68,13.61,1.53,20.86,1.06,30.67
20: Posterior LN_57_012.fcs,58.95,20.25,5.5,0.57,29.91,4.39,25.07,24.46,5.74,59.57,0.91,39.15
21: Posterior LN_58_013.fcs,48.42,34.95,2.66,0.6,21.86,6.14,16.79,5.11,3.56,76.53,0.57,54.1
22: Posterior LN_59_014.fcs,38.41,9.61,4.83,0.66,30.92,7.04,21.67,14.7,7.11,77.67,1.28,35.84
23: Posterior LN_61_023.fcs,56.56,30.3,1.21,0.2,11.69,7.33,7.69,4.41,0.99,18.6,0.5,21.63
24: Posterior LN_64_024.fcs,57.96,28.93,1.25,0.22,21.51,7.74,10.96,5.08,1.02,19.15,0.78,31.04
