"","IFNy"
"P3aGHI",4.45462750423705
"P3aPSV",1.62435853284342
"P3aLYZ",3.47981538584847
"P3aBLW",5.98219397452135
"P3aJQU",6.97024477625777
"P3aHVW",2.83376840404902
"P3aMOR",7.06194578453407
"P3aAPS",4.4365196863091
"P3aCIW",5.61738807105184
"P3aFRU",0.939915390768783
"P3aDTU",2.12034089606387
"P3aAJN",2.97703724989762
"P3aCEK",0.887669070767343
"P3aBGY",4.99875306486362
"P3aMNW",7.02526117254475
"P3aNUX",3.62382335240267
"P3aNPY",8.88444562461654
"P3aAVW",7.77838821240019
"P3aNOY",9.79093082357318
"P3aHKX",1.57141709055885
"P3aNSX",8.22027140016854
"P3aPVX",8.60751395896957
"P3aCLV",3.93032929785734
"P3aKOX",5.45343908105981
"P3aNRU",18.4540538104841
"P3aAQY",8.68133585050762
"P3aAHU",6.31105921743733
"P3aJRZ",6.18310779663324
"P3aAUZ",8.75517711686736
"P3aCEO",29.1595598433847
"P3aKMS",4.94426504817477
"P3aGHL",8.62596760939535
"P3aGOW",5.52628859354444
"P3aUVY",9.42060284508373
"P3aLMZ",52.2741183945681
"P3aJKX",18.4540538104841
"P3aLNW",5.28962689027981
"P3aHKN",26.5545715028502
"P3aGJT",7.94400785152422
"P3aAGX",76.3038260328852
