"","EH_ID","CXCR3","IRG6","IL.12","labels","Strain","HybridStatus","primary","challenge","dpi","weight","weight_dpi0","Wchange","fecweight","oocyst_1","oocyst_2","oocyst_3","oocyst_4","average","OPG","comment","volume_PBS_mL","totalOocysts","infHistory","IFNy_FEC","IFNy_CEWE","Caecum","delta","Eim_MC"
"1","LM_0227",-10.535,-4.425,-9.13,"E7aMNW","BUSNA_STRA","inter subsp. hybrids","E88","E64",8,23.81,23.86,99.79,2.73,3,5,8,1,4.25,15567.7655677656,NA,1,42500,"E88:E64",7.02526117343341,537.333333333333,"pos",-5.79,"pos"
"2","LM_0227",NA,NA,NA,"E7aALV","BUSNA_STRA","inter subsp. hybrids","E88","E64",2,23.75,23.86,99.54,1.09,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"3","LM_0227",NA,NA,NA,"E7aAUZ","BUSNA_STRA","inter subsp. hybrids","E88","E64",7,23.24,23.86,97.4,1.68,21,32,19,26,24.5,145833.333333333,NA,1,245000,"E88:E64",8.75517711765294,NA,NA,NA,NA
"4","LM_0227",NA,NA,NA,"E7aELZ","BUSNA_STRA","inter subsp. hybrids","E88","E64",4,22.88,23.86,95.89,2.23,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"5","LM_0227",NA,NA,NA,"E7aFJW","BUSNA_STRA","inter subsp. hybrids","E88","E64",1,23.8,23.86,99.75,0.76,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"6","LM_0227",NA,NA,NA,"E7aINO","BUSNA_STRA","inter subsp. hybrids","E88","E64",0,23.86,23.86,100,2.11,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"7","LM_0227",NA,NA,NA,"E7aIPS","BUSNA_STRA","inter subsp. hybrids","E88","E64",3,23.8,23.86,99.75,1.5,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"8","LM_0227",NA,NA,NA,"E7aLNW","BUSNA_STRA","inter subsp. hybrids","E88","E64",6,22.94,23.86,96.14,0.88,6,7,10,7,7.5,85227.2727272727,NA,1,75000,"E88:E64",5.28962689128332,NA,NA,NA,NA
"9","LM_0227",NA,NA,NA,"E7aRTY","BUSNA_STRA","inter subsp. hybrids","E88","E64",5,23.12,23.86,96.9,2.01,26,17,23,28,23.5,116915.422885572,NA,1,235000,"E88:E64",NA,NA,NA,NA,NA
"10","LM_0228",-8.9125,-4.3925,-6.9325,"E7aBGY","STRA_BUSNA","inter subsp. hybrids","E88","E64",8,23.5,21.23,110.69,1.13,13,6,11,6,9,79646.0176991151,NA,1,90000,"E88:E64",4.99875306588759,841.333333333333,"pos",-5.91,"pos"
"11","LM_0228",NA,NA,NA,"E7aBJR","STRA_BUSNA","inter subsp. hybrids","E88","E64",4,24.01,21.23,113.09,1.96,0,0,0,2,0.5,2551.02040816327,NA,1,5000,"E88:E64",NA,NA,NA,NA,NA
"12","LM_0228",NA,NA,NA,"E7aCRZ","STRA_BUSNA","inter subsp. hybrids","E88","E64",2,24.14,21.23,113.71,1.2,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"13","LM_0228",NA,NA,NA,"E7aCWZ","STRA_BUSNA","inter subsp. hybrids","E88","E64",3,24.85,21.23,117.05,1.69,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"14","LM_0228",NA,NA,NA,"E7aEJN","STRA_BUSNA","inter subsp. hybrids","E88","E64",0,21.23,21.23,100,1.24,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"15","LM_0228",NA,NA,NA,"E7aESW","STRA_BUSNA","inter subsp. hybrids","E88","E64",5,23.47,21.23,110.55,1.32,55,51,48,44,49.5,375000,NA,1,495000,"E88:E64",NA,NA,NA,NA,NA
"16","LM_0228",NA,NA,NA,"E7aFHT","STRA_BUSNA","inter subsp. hybrids","E88","E64",1,23.4,21.23,110.22,1.28,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"17","LM_0228",NA,NA,NA,"E7aLMZ","STRA_BUSNA","inter subsp. hybrids","E88","E64",6,22.29,21.23,104.99,1.05,74,92,97,87,87.5,833333.333333333,NA,1,875000,"E88:E64",3.90463796942712,NA,NA,NA,NA
"18","LM_0228",NA,NA,NA,"E7aLMZ","STRA_BUSNA","inter subsp. hybrids","E88","E64",6,22.29,21.23,104.99,1.05,74,92,97,87,87.5,833333.333333333,NA,1,875000,"E88:E64",52.2741183942562,NA,NA,NA,NA
"19","LM_0228",NA,NA,NA,"E7aNSX","STRA_BUSNA","inter subsp. hybrids","E88","E64",7,22.92,21.23,107.96,1.18,66,63,62,70,65.25,552966.101694915,NA,1,652500,"E88:E64",8.22027140098512,NA,NA,NA,NA
"20","LM_0229",-7.4325,-3.1225,-4.6475,"E7aEMW","SCHUNT_SCHUNT","parental strains","E88","E88",8,19.01,19.06,99.74,2.36,0,0,0,0,0,0,NA,1,0,"E88:E88",1.65664455658793,113.833333333333,"neg",-7.12,"neg"
"21","LM_0229",NA,NA,NA,"E7aABG","SCHUNT_SCHUNT","parental strains","E88","E88",1,18.38,19.06,96.43,1.63,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"22","LM_0229",NA,NA,NA,"E7aAIO","SCHUNT_SCHUNT","parental strains","E88","E88",3,18.85,19.06,98.9,2.07,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"23","LM_0229",NA,NA,NA,"E7aBIO","SCHUNT_SCHUNT","parental strains","E88","E88",2,18.88,19.06,99.06,1.23,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"24","LM_0229",NA,NA,NA,"E7aCNT","SCHUNT_SCHUNT","parental strains","E88","E88",5,19.88,19.06,104.3,3.34,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"25","LM_0229",NA,NA,NA,"E7aDKR","SCHUNT_SCHUNT","parental strains","E88","E88",0,19.06,19.06,100,1.4,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"26","LM_0229",NA,NA,NA,"E7aFHK","SCHUNT_SCHUNT","parental strains","E88","E88",6,19.55,19.06,102.57,1.48,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"27","LM_0229",NA,NA,NA,"E7aLUV","SCHUNT_SCHUNT","parental strains","E88","E88",4,18.78,19.06,98.53,2.35,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"28","LM_0229",NA,NA,NA,"E7aNTU","SCHUNT_SCHUNT","parental strains","E88","E88",7,18.67,19.06,97.95,1.98,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"29","LM_0231",-9.3825,-4.3125,-6.8575,"E7aCEK","PWD_SCHUNT","inter subsp. hybrids","E88","E64",8,20.43,20.69,98.74,2.81,13,15,16,16,15,53380.7829181495,NA,1,150000,"E88:E64",0.887669072138454,363.666666666667,"pos",-5.16,"pos"
"30","LM_0231",NA,NA,NA,"E7aANS","PWD_SCHUNT","inter subsp. hybrids","E88","E64",2,22.57,20.69,109.09,1.4,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"31","LM_0231",NA,NA,NA,"E7aBCE","PWD_SCHUNT","inter subsp. hybrids","E88","E64",4,21.45,20.69,103.67,2.39,2,3,3,6,3.5,14644.3514644351,NA,1,35000,"E88:E64",NA,NA,NA,NA,NA
"32","LM_0231",NA,NA,NA,"E7aBMW","PWD_SCHUNT","inter subsp. hybrids","E88","E64",3,22,20.69,106.33,2.09,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"33","LM_0231",NA,NA,NA,"E7aBOY","PWD_SCHUNT","inter subsp. hybrids","E88","E64",0,20.69,20.69,100,2.11,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"34","LM_0231",NA,NA,NA,"E7aCIK","PWD_SCHUNT","inter subsp. hybrids","E88","E64",1,21.41,20.69,103.48,1.13,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"35","LM_0231",NA,NA,NA,"E7aCOV","PWD_SCHUNT","inter subsp. hybrids","E88","E64",5,20.95,20.69,101.26,1.53,144,134,117,108,125.75,821895.424836601,NA,1,1257500,"E88:E64",NA,NA,NA,NA,NA
"36","LM_0231",NA,NA,NA,"E7aGJT","PWD_SCHUNT","inter subsp. hybrids","E88","E64",6,20.52,20.69,99.18,0.95,21,21,20,17,19.75,207894.736842105,NA,1,197500,"E88:E64",7.9440078523568,NA,NA,NA,NA
"37","LM_0231",NA,NA,NA,"E7aJRZ","PWD_SCHUNT","inter subsp. hybrids","E88","E64",7,20.66,20.69,99.86,1.53,93,74,106,129,100.5,656862.745098039,NA,1,1005000,"E88:E64",6.18310779757597,NA,NA,NA,NA
"38","LM_0232",-10.55,-3.01,-5.435,"E7aCUY","BUSNA_STRA","inter subsp. hybrids","E88","E88",8,26.98,26.37,102.31,2.15,0,0,0,0,0,0,NA,1,0,"E88:E88",1.77673412685823,206.666666666667,"pos",-6.22,"pos"
"39","LM_0232",NA,NA,NA,"E7aAGP","BUSNA_STRA","inter subsp. hybrids","E88","E88",2,27.32,26.37,103.6,1.21,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"40","LM_0232",NA,NA,NA,"E7aBFJ","BUSNA_STRA","inter subsp. hybrids","E88","E88",4,26.65,26.37,101.06,1.92,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"41","LM_0232",NA,NA,NA,"E7aHNS","BUSNA_STRA","inter subsp. hybrids","E88","E88",1,27.09,26.37,102.73,2.18,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"42","LM_0232",NA,NA,NA,"E7aDIW","BUSNA_STRA","inter subsp. hybrids","E88","E88",0,26.37,26.37,100,1.1,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"43","LM_0232",NA,NA,NA,"E7aFGH","BUSNA_STRA","inter subsp. hybrids","E88","E88",7,27.02,26.37,102.46,1.67,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"44","LM_0232",NA,NA,NA,"E7aGHN","BUSNA_STRA","inter subsp. hybrids","E88","E88",5,27.26,26.37,103.38,2.07,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"45","LM_0232",NA,NA,NA,"E7aGIU","BUSNA_STRA","inter subsp. hybrids","E88","E88",3,27,26.37,102.39,1.35,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"46","LM_0232",NA,NA,NA,"E7aNPW","BUSNA_STRA","inter subsp. hybrids","E88","E88",6,26.56,26.37,100.72,1.11,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"47","LM_0233",-11.1725,NA,-6.1225,"E7aSTU","STRA_STRA","parental strains","E88","E88",8,29.96,29.77,100.64,1.75,0,0,0,0,0,0,NA,1,0,"E88:E88",4.86923097297706,809.333333333333,"neg",-5.97,"pos"
"48","LM_0233",NA,NA,NA,"E7aDQW","STRA_STRA","parental strains","E88","E88",2,30.76,29.77,103.33,1.21,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"49","LM_0233",NA,NA,NA,"E7aDUZ","STRA_STRA","parental strains","E88","E88",0,29.77,29.77,100,2.85,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
