,EH_ID,Strain,HybridStatus,primary,challenge,labels,dpi,weight,weight_dpi0,Wchange,fecweight,average,volume_PBS_mL,totalOocysts,OPG,infHistory
1,LM0227,BUSNA_STRA,inter subsp. hybrids,E88,E64,1IPS,3,23.8,23.86,99.75,1.5,0,1,0,0,E88:E64
2,LM0227,BUSNA_STRA,inter subsp. hybrids,E88,E64,1INO,0,23.86,23.86,100,2.11,0,1,0,0,E88:E64
3,LM0227,BUSNA_STRA,inter subsp. hybrids,E88,E64,1MNW,8,23.81,23.86,99.79,2.73,4.25,1,42500,15567.7655677656,E88:E64
4,LM0227,BUSNA_STRA,inter subsp. hybrids,E88,E64,1RTY,5,23.12,23.86,96.9,2.01,23.5,1,235000,116915.422885572,E88:E64
5,LM0227,BUSNA_STRA,inter subsp. hybrids,E88,E64,1LNW,6,22.94,23.86,96.14,0.88,7.5,1,75000,85227.2727272727,E88:E64
6,LM0227,BUSNA_STRA,inter subsp. hybrids,E88,E64,1ELZ,4,22.88,23.86,95.89,2.23,0,1,0,0,E88:E64
7,LM0227,BUSNA_STRA,inter subsp. hybrids,E88,E64,1AUZ,7,23.24,23.86,97.4,1.68,24.5,1,245000,145833.333333333,E88:E64
8,LM0227,BUSNA_STRA,inter subsp. hybrids,E88,E64,1FJW,1,23.8,23.86,99.75,0.76,0,1,0,0,E88:E64
9,LM0227,BUSNA_STRA,inter subsp. hybrids,E88,E64,1ALV,2,23.75,23.86,99.54,1.09,0,1,0,0,E88:E64
10,LM0228,STRA_BUSNA,inter subsp. hybrids,E88,E64,1BJR,4,24.01,21.23,113.09,1.96,0.5,1,5000,2551.02040816327,E88:E64
11,LM0228,STRA_BUSNA,inter subsp. hybrids,E88,E64,1CWZ,3,24.85,21.23,117.05,1.69,0,1,0,0,E88:E64
12,LM0228,STRA_BUSNA,inter subsp. hybrids,E88,E64,1FHT,1,23.4,21.23,110.22,1.28,0,1,0,0,E88:E64
13,LM0228,STRA_BUSNA,inter subsp. hybrids,E88,E64,1CRZ,2,24.14,21.23,113.71,1.2,0,1,0,0,E88:E64
14,LM0228,STRA_BUSNA,inter subsp. hybrids,E88,E64,1EJN,0,21.23,21.23,100,1.24,0,1,0,0,E88:E64
15,LM0228,STRA_BUSNA,inter subsp. hybrids,E88,E64,1LMZ,6,22.29,21.23,104.99,1.05,87.5,1,875000,833333.333333333,E88:E64
16,LM0228,STRA_BUSNA,inter subsp. hybrids,E88,E64,1NSX,7,22.92,21.23,107.96,1.18,65.25,1,652500,552966.101694915,E88:E64
17,LM0228,STRA_BUSNA,inter subsp. hybrids,E88,E64,1BGY,8,23.5,21.23,110.69,1.13,9,1,90000,79646.0176991151,E88:E64
18,LM0228,STRA_BUSNA,inter subsp. hybrids,E88,E64,1ESW,5,23.47,21.23,110.55,1.32,49.5,1,495000,375000,E88:E64
19,LM0229,SCHUNT_SCHUNT,parental strains,E88,E88,1FHK,6,19.55,19.06,102.57,1.48,0,1,0,0,E88:E88
