

Software Version;3.08.01



Experiment File Path:;C:\Users\User\Documents\Experiments\Lubomir\IFN-y_mouse_samples_Lubomir_Bednar_E7_fecal_ELISA.xpt
Protocol File Path:;C:\Users\User\Documents\Protocols\IFN-y_mouse_samples_Lubomir_Bednar.prt



Plate Number;Plate 1
Date;14.02.2020
Time;13:47:30
Reader Type:;Synergy HTX
Reader Serial Number:;1708301D
Reading Type;Reader

Procedure Details

Plate Type;96 WELL PLATE (Use plate lid)
Eject plate on completion;
Read;IFNy1
;Absorbance Endpoint
;Full Plate
;Wavelengths:  450
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Shake;Orbital: 0:10 (MM:SS)
;Frequency: 205 cpm (5 mm)
Read;IFNy2
;Absorbance Endpoint
;Full Plate
;Wavelengths:  450
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Shake;Orbital: 0:10 (MM:SS)
;Frequency: 205 cpm (5 mm)
Read;IFNy3
;Absorbance Endpoint
;Full Plate
;Wavelengths:  450
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8

Layout
;1;2;3;4;5;6;7;8;9;10;11;12
A;STD1;STD1;SPL1;SPL1;SPL9;SPL9;SPL17;SPL17;SPL25;SPL25;SPL33;SPL33;Well ID
;500;500;;;;;;;;;;;Conc/Dil
B;STD2;STD2;SPL2;SPL2;SPL10;SPL10;SPL18;SPL18;SPL26;SPL26;SPL34;SPL34;Well ID
;250;250;;;;;;;;;;;Conc/Dil
C;STD3;STD3;SPL3;SPL3;SPL11;SPL11;SPL19;SPL19;SPL27;SPL27;SPL35;SPL35;Well ID
;125;125;;;;;;;;;;;Conc/Dil
D;STD4;STD4;SPL4;SPL4;SPL12;SPL12;SPL20;SPL20;SPL28;SPL28;SPL36;SPL36;Well ID
;62,5;62,5;;;;;;;;;;;Conc/Dil
E;STD5;STD5;SPL5;SPL5;SPL13;SPL13;SPL21;SPL21;SPL29;SPL29;SPL37;SPL37;Well ID
;31,25;31,25;;;;;;;;;;;Conc/Dil
F;STD6;STD6;SPL6;SPL6;SPL14;SPL14;SPL22;SPL22;SPL30;SPL30;SPL38;SPL38;Well ID
;15,625;15,625;;;;;;;;;;;Conc/Dil
G;STD7;STD7;SPL7;SPL7;SPL15;SPL15;SPL23;SPL23;SPL31;SPL31;SPL39;SPL39;Well ID
;7,8125;7,8125;;;;;;;;;;;Conc/Dil
H;BLK;BLK;SPL8;SPL8;SPL16;SPL16;SPL24;SPL24;SPL32;SPL32;SPL40;SPL40;Well ID
;;;;;;;;;;;;;Conc/Dil



Actual Temperature:;36,2

IFNy1:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;3,545;3,539;0,113;0,114;0,128;0,116;0,154;0,149;0,243;0,228;0,121;0,121;IFNy1:450
B;1,948;2,043;0,083;0,089;0,084;0,075;0,141;0,143;0,147;0,154;0,164;0,152;IFNy1:450
C;1,115;1,080;0,100;0,105;0,090;0,091;0,158;0,166;0,124;0,135;0,534;0,512;IFNy1:450
D;0,573;0,642;0,135;0,117;0,098;0,100;0,084;0,088;0,140;0,118;0,259;0,221;IFNy1:450
E;0,325;0,384;0,103;0,166;0,076;0,083;0,150;0,144;0,150;0,151;0,126;0,115;IFNy1:450
F;0,204;0,212;0,089;0,107;0,110;0,125;0,151;0,153;0,334;0,327;0,310;0,306;IFNy1:450
G;0,137;0,140;0,123;0,148;0,141;0,131;0,096;0,119;0,112;0,123;0,148;0,140;IFNy1:450
