Sample ID	Date and Time	Conc.	Unit	260/280	260/230	Sample Type
LM_0227	10/14/2019 2:00:40 PM	503.5	ng/ul	1.94	1.96	RNA
LM_0234	10/14/2019 2:01:38 PM	563	ng/ul	1.91	1.77	RNA
LM_0236	10/14/2019 2:02:37 PM	597.2	ng/ul	2.04	1.59	RNA
LM_0228	10/14/2019 2:03:19 PM	1134.2	ng/ul	2.08	0.59	RNA
LM_0238	10/14/2019 2:04:27 PM	233.5	ng/ul	2.17	0.56	RNA
LM_0239	10/14/2019 2:05:25 PM	257.3	ng/ul	1.93	0.59	RNA
LM_0240	10/14/2019 2:06:07 PM	719.4	ng/ul	2	1.51	RNA
LM_0235	10/14/2019 2:07:10 PM	979.1	ng/ul	2.03	1.31	RNA
LM_0254	10/14/2019 2:09:22 PM	407.7	ng/ul	2	1	RNA
LM_0248	10/14/2019 2:10:05 PM	738.1	ng/ul	2.03	2.06	RNA
LM_0256	10/14/2019 2:10:44 PM	369.4	ng/ul	2	1.03	RNA
LM_0257	10/14/2019 2:11:25 PM	323.3	ng/ul	1.99	0.58	RNA
LM_0229	10/14/2019 2:12:03 PM	700.5	ng/ul	2.03	1.8	RNA
LM_0231	10/14/2019 2:12:49 PM	1011.6	ng/ul	2.04	1.36	RNA
LM_0249	10/14/2019 2:13:28 PM	451.8	ng/ul	1.99	1.21	RNA
LM_0251	10/14/2019 2:14:02 PM	323.4	ng/ul	1.98	1.15	RNA
LM_0247	10/14/2019 2:14:35 PM	230	ng/ul	1.99	0.96	RNA
LM_0232	10/14/2019 2:15:20 PM	680.4	ng/ul	2.05	1.47	RNA
LM_0266	10/14/2019 2:15:59 PM	322.4	ng/ul	2	0.79	RNA
LM_0268	10/14/2019 2:16:43 PM	251.1	ng/ul	2	1.64	RNA
LM_0233	10/14/2019 2:17:25 PM	919.9	ng/ul	2.02	1.9	RNA
LM_0255	10/14/2019 2:18:23 PM	960.6	ng/ul	2.04	1.47	RNA
LM_0258	10/14/2019 2:18:58 PM	942.5	ng/ul	2.01	1.25	RNA
LM_0286	10/14/2019 2:21:01 PM	388.8	ng/ul	2.01	0.68	RNA
LM_0277	10/14/2019 2:21:55 PM	823.6	ng/ul	2.05	1.68	RNA
LM_0259	10/14/2019 2:22:41 PM	986.4	ng/ul	2.01	1.64	RNA
LM_0261	10/14/2019 2:23:21 PM	387	ng/ul	2	0.62	RNA
LM_0264	10/14/2019 2:23:52 PM	300.7	ng/ul	1.99	0.97	RNA
LM_0271	10/14/2019 2:24:25 PM	360.4	ng/ul	1.98	1.41	RNA
LM_0273	10/14/2019 2:24:52 PM	479.4	ng/ul	1.95	1.24	RNA
LM_0288	10/14/2019 2:25:25 PM	841.7	ng/ul	1.96	1.28	RNA
LM_0289	10/14/2019 2:25:57 PM	496.4	ng/ul	1.96	1.65	RNA
LM_0252	10/14/2019 2:26:27 PM	731.2	ng/ul	2.01	1.67	RNA
LM_0282	10/14/2019 2:26:56 PM	893.1	ng/ul	2.07	1.39	RNA
LM_0278	10/14/2019 2:27:27 PM	399.7	ng/ul	2	1.94	RNA
LM_0283	10/14/2019 2:28:09 PM	214.1	ng/ul	1.99	1.45	RNA
LM_0276	10/14/2019 2:28:46 PM	803.1	ng/ul	2.04	1.94	RNA
LM_0275	10/14/2019 2:29:19 PM	625.8	ng/ul	2.02	1.88	RNA
LM_0272	10/14/2019 2:29:49 PM	463.7	ng/ul	1.99	1.23	RNA
LM_0294	10/14/2019 2:30:27 PM	1278.4	ng/ul	2	1.66	RNA
LM_0291	10/14/2019 2:31:06 PM	491.1	ng/ul	1.93	1.29	RNA
LM_0287	10/14/2019 2:31:39 PM	524	ng/ul	1.94	1.58	RNA
LM_0285	10/14/2019 2:32:37 PM	91.1	ng/ul	1.43	0.65	RNA
LM_0293	10/14/2019 2:34:38 PM	65.4	ng/ul	4.44	2.31	RNA
LM_0263	10/14/2019 2:35:26 PM	1340.9	ng/ul	1.98	2.02	RNA
LM_0265	10/14/2019 2:36:03 PM	41.8	ng/ul	0.96	1.5	RNA
LM_0269	10/14/2019 2:37:13 PM	836.7	ng/ul	2.03	1.12	RNA
LM_0262	10/14/2019 2:38:12 PM	928.1	ng/ul	2.02	1.57	RNA
LM_0260	10/14/2019 2:38:44 PM	552.5	ng/ul	1.93	1.11	RNA
LM_0280	10/14/2019 2:39:15 PM	1286.2	ng/ul	2.01	1.87	RNA
LM_0279	10/14/2019 2:39:48 PM	746.9	ng/ul	2.03	2	RNA
LM_0270	10/14/2019 2:40:38 PM	281.8	ng/ul	1.99	0.69	RNA
LM_0284	10/14/2019 2:41:13 PM	269.1	ng/ul	1.94	1.4	RNA
