"labels","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","dilution","OPG","Expe"
"ACD","","","","","","","","Expe005_1a"
"BLX","","","","","","","","Expe005_1a"
"AWY","","","","","","","","Expe005_1a"
"CLT","","","","","","","","Expe005_1a"
"CEK","","","","","","","","Expe005_1a"
"CUX","","","","","","","","Expe005_1a"
"CEG","","","","","","","","Expe005_1a"
"FPV","","","","","","","","Expe005_1a"
"FJS","","","","","","","","Expe005_1a"
"CIW","","","","","","","","Expe005_1a"
"IJW","","","","","","","","Expe005_1a"
"HOX","","","","","","","","Expe005_1a"
"HJX","","","","","","","","Expe005_1a"
"GUX","","","","","","","","Expe005_1a"
"GUW","","","","","","","","Expe005_1a"
"LNU","","","","","","","","Expe005_1a"
"OPY","","","","","","","","Expe005_1a"
"CPW","","","","","","","","Expe005_1a"
"LXZ","","","","","","","","Expe005_1a"
"CNS","","","","","","","","Expe005_1a"
"BHN","","","","","","","","Expe005_1a"
"AFT","","","","","","","","Expe005_1a"
"BUX","","","","","","","","Expe005_1a"
"GPW","","","","","","","","Expe005_1a"
"CMO","","","","","","","","Expe005_1a"
"MQS","","","","","","","","Expe005_1a"
"DTY","","","","","","","","Expe005_1a"
"MQR","","","","","","","","Expe005_1a"
"ESV","","","","","","","","Expe005_1a"
"PTZ","","","","","","","","Expe005_1a"
"EKO","","","","","","","","Expe005_1a"
"MOV","","","","","","","","Expe005_1a"
"SUW","","","","","","","","Expe005_1a"
"ENZ","","","","","","","","Expe005_1a"
"BCR","","","","","","","","Expe005_1a"
"CJS","","","","","","","","Expe005_1a"
"RSW","","","","","","","","Expe005_1a"
"INR","","","","","","","","Expe005_1a"
"BCJ","","","","","","","","Expe005_1a"
"NRX","","","","","","","","Expe005_1a"
"NWZ","","","","","","","","Expe005_1a"
"EQU","","","","","","","","Expe005_1a"
"MNP","","","","","","","","Expe005_1a"
"JOS","","","","","","","","Expe005_1a"
"CQT","","","","","","","","Expe005_1a"
"GHU","","","","","","","","Expe005_1a"
"GNQ","","","","","","","","Expe005_1a"
"TVX","","","","","","","","Expe005_1a"
"CJK","","","","","","","","Expe005_1a"
"GOP","","","","","","","","Expe005_1a"
"HUY","","","","","","","","Expe005_1a"
"MQT","","","","","","","","Expe005_1a"
"IRX","","","","","","","","Expe005_1a"
"BOR","","","","","","","","Expe005_1a"
"CLN","","","","","","","","Expe005_1a"
"ETU","","","","","","","","Expe005_1a"
"IPY","","","","","","","","Expe005_1a"
"CDE","","","","","","","","Expe005_1a"
"NQS","","","","","","","","Expe005_1a"
"FKW","","","","","","","","Expe005_1a"
"DOV","","","","","","","","Expe005_1a"
"EKR","","","","","","","","Expe005_1a"
"BNR","","","","","","","","Expe005_1a"
"IVX","","","","","","","","Expe005_1a"
"FKO","","","","","","","","Expe005_1a"
"EIP","","","","","","","","Expe005_1a"
"GVZ","","","","","","","","Expe005_1a"
"FOW","","","","","","","","Expe005_1a"
"FKM","","","","","","","","Expe005_1a"
"OTV","","","","","","","","Expe005_1a"
"CFG","","","","","","","","Expe005_1a"
"CGY","","","","","","","","Expe005_1a"
"AIO","","","","","","","","Expe005_1a"
"APX","","","","","","","","Expe005_1a"
"ILR","","","","","","","","Expe005_1a"
"HKT","","","","","","","","Expe005_1a"
"CLZ","","","","","","","","Expe005_1a"
"QTW","","","","","","","","Expe005_1a"
"HIS","","","","","","","","Expe005_1a"
"AVZ","","","","","","","","Expe005_1a"
"LPU","","","","","","","","Expe005_1a"
"IPT","","","","","","","","Expe005_1a"
"FJQ","","","","","","","","Expe005_1a"
"MNV","","","","","","","","Expe005_1a"
"DRY","","","","","","","","Expe005_1a"
"KSV","","","","","","","","Expe005_1a"
"GQX","","","","","","","","Expe005_1a"
"MRT","","","","","","","","Expe005_1a"
"KNU","","","","","","","","Expe005_1a"
"AEN","","","","","","","","Expe005_1a"
"NQY","","","","","","","","Expe005_1a"
"EGS","","","","","","","","Expe005_1a"
"GHX","","","","","","","","Expe005_1a"
"AFR","","","","","","","","Expe005_1a"
"OVY","","","","","","","","Expe005_1a"
"BPQ","","","","","","","","Expe005_1a"
"ILZ","","","","","","","","Expe005_1a"
"GUV","","","","","","","","Expe005_1a"
"GJT","","","","","","","","Expe005_1a"
"QRV","","","","","","","","Expe005_1a"
"ELN","","","","","","","","Expe005_1a"
"GLV","","","","","","","","Expe005_1a"
"PSY","","","","","","","","Expe005_1a"
"ABD","","","","","","","","Expe005_1a"
"DEO","","","","","","","","Expe005_1a"
"EHS","","","","","","","","Expe005_1a"
"BCE","","","","","","","","Expe005_1a"
"CEW","","","","","","","","Expe005_1a"
"EPU","","","","","","","","Expe005_1a"
"DNX","","","","","","","","Expe005_1a"
"AYZ","","","","","","","","Expe005_1a"
"VWX","","","","","","","","Expe005_1a"
"BHO","","","","","","","","Expe005_1a"
"EHN","","","","","","","","Expe005_1a"
"IVZ","","","","","","","","Expe005_1a"
"KNX","","","","","","","","Expe005_1a"
"JVY","","","","","","","","Expe005_1a"
"EMV","","","","","","","","Expe005_1a"
"BFO","","","","","","","","Expe005_1a"
"DEZ","","","","","","","","Expe005_1a"
"FOT","","","","","","","","Expe005_1a"
"CQV","","","","","","","","Expe005_1a"
"AUY","","","","","","","","Expe005_1a"
"DEN","","","","","","","","Expe005_1a"
"EGO","","","","","","","","Expe005_1a"
"VXY","","","","","","","","Expe005_1a"
"LMW","","","","","","","","Expe005_1a"
"KMS","","","","","","","","Expe005_1a"
"JMY","","","","","","","","Expe005_1a"
"EKQ","","","","","","","","Expe005_1a"
"OPZ","","","","","","","","Expe005_1a"
"CKR","","","","","","","","Expe005_1a"
"BQY","","","","","","","","Expe005_1a"
"MOU","","","","","","","","Expe005_1a"
"AOV","","","","","","","","Expe005_1a"
"CKY","","","","","","","","Expe005_1a"
"CEP","","","","","","","","Expe005_1a"
"HLZ","","","","","","","","Expe005_1a"
"EHX","","","","","","","","Expe005_1a"
"AGS","","","","","","","","Expe005_1a"
"JLQ","","","","","","","","Expe005_1a"
"PTV","","","","","","","","Expe005_1a"
"FGP","","","","","","","","Expe005_1a"
"HJL","","","","","","","","Expe005_1a"
"MTY","","","","","","","","Expe005_1a"
"FOQ","","","","","","","","Expe005_1a"
"ETW","","","","","","","","Expe005_1a"
"AOZ","","","","","","","","Expe005_1a"
"DFG","","","","","","","","Expe005_1a"
"HTU","","","","","","","","Expe005_1a"
"RVX","","","","","","","","Expe005_1a"
"KWY","","","","","","","","Expe005_1a"
"JLY","","","","","","","","Expe005_1a"
"JRS","","","","","","","","Expe005_1a"
"DSY","","","","","","","","Expe005_1a"
"SYZ","","","","","","","","Expe005_1a"
"EFU","","","","","","","","Expe005_1a"
"EJM","","","","","","","","Expe005_1a"
"FPR","","","","","","","","Expe005_1a"
"EOU","","","","","","","","Expe005_1a"
"ABV","","","","","","","","Expe005_1a"
"NSZ","","","","","","","","Expe005_1a"
"AJO","","","","","","","","Expe005_1a"
"DMO","","","","","","","","Expe005_1a"
"DJP","","","","","","","","Expe005_1a"
"AMY","","","","","","","","Expe005_1a"
"DGU","","","","","","","","Expe005_1a"
"INP","","","","","","","","Expe005_1a"
"ABU","","","","","","","","Expe005_1a"
"TXY","","","","","","","","Expe005_1a"
"IMQ","","","","","","","","Expe005_1a"
"LMV","","","","","","","","Expe005_1a"
"BES","","","","","","","","Expe005_1a"
"BIK","","","","","","","","Expe005_1a"
"CPT","","","","","","","","Expe005_1a"
"BEJ","","","","","","","","Expe005_1a"
"QRU","","","","","","","","Expe005_1a"
"INV","","","","","","","","Expe005_1a"
"FSW","","","","","","","","Expe005_1a"
"HJV","","","","","","","","Expe005_1a"
"NRW","","","","","","","","Expe005_1a"
"BIL","","","","","","","","Expe005_1a"
"BQZ","","","","","","","","Expe005_1a"
"AOP","","","","","","","","Expe005_1a"
"UVY","","","","","","","","Expe005_1a"
"CHW","","","","","","","","Expe005_1a"
"PWY","","","","","","","","Expe005_1a"
"DOZ","","","","","","","","Expe005_1a"
"EMT","","","","","","","","Expe005_1a"
"BDL","","","","","","","","Expe005_1a"
"AHU","","","","","","","","Expe005_1a"
"KVY","","","","","","","","Expe005_1a"
"ACH","","","","","","","","Expe005_1a"
"CNP","","","","","","","","Expe005_1a"
"JPV","","","","","","","","Expe005_1a"
"CJY","","","","","","","","Expe005_1a"
"CIV","","","","","","","","Expe005_1a"
"CTW","","","","","","","","Expe005_1a"
"CQU","","","","","","","","Expe005_1a"
"CHO","","","","","","","","Expe005_1a"
"OQZ","","","","","","","","Expe005_1a"
"CGI","","","","","","","","Expe005_1a"
"LPT","","","","","","","","Expe005_1a"
"ACW","","","","","","","","Expe005_1a"
"DIY","","","","","","","","Expe005_1a"
"LSU","","","","","","","","Expe005_1a"
"DMV","","","","","","","","Expe005_1a"
"JPY","","","","","","","","Expe005_1a"
"APW","","","","","","","","Expe005_1a"
"DET","","","","","","","","Expe005_1a"
"AOY","","","","","","","","Expe005_1a"
"AIZ","","","","","","","","Expe005_1a"
"HOP","","","","","","","","Expe005_1a"
"QSY","","","","","","","","Expe005_1a"
"HNZ","","","","","","","","Expe005_1a"
"DEY","","","","","","","","Expe005_1a"
"DPW","","","","","","","","Expe005_1a"
"DLZ","","","","","","","","Expe005_1a"
"JKZ","","","","","","","","Expe005_1a"
"AJQ","","","","","","","","Expe005_1a"
"FKS","","","","","","","","Expe005_1a"
"IKW","","","","","","","","Expe005_1a"
"DPR","","","","","","","","Expe005_1a"
"BEO","","","","","","","","Expe005_1a"
"BCO","","","","","","","","Expe005_1a"
"GTY","","","","","","","","Expe005_1a"
"QVZ","","","","","","","","Expe005_1a"
"HPU","","","","","","","","Expe005_1a"
"JSW","","","","","","","","Expe005_1a"
"CIX","","","","","","","","Expe005_1a"
"LSZ","","","","","","","","Expe005_1a"
"IKO","","","","","","","","Expe005_1a"
"KQZ","","","","","","","","Expe005_1a"
"KPZ","","","","","","","","Expe005_1a"
"TWY","","","","","","","","Expe005_1a"
"KWX","","","","","","","","Expe005_1a"
"JNS","","","","","","","","Expe005_1a"
"FUY","","","","","","","","Expe005_1a"
"KPV","","","","","","","","Expe005_1a"
"DTV","","","","","","","","Expe005_1a"
"RUV","","","","","","","","Expe005_1a"
"BGI","","","","","","","","Expe005_1a"
"KNY","","","","","","","","Expe005_1a"
"LTU","","","","","","","","Expe005_1a"
"IKS","","","","","","","","Expe005_1a"
"GIR","","","","","","","","Expe005_1a"
"DHM","","","","","","","","Expe005_1a"
"EPT","","","","","","","","Expe005_1a"
"CMU","","","","","","","","Expe005_1a"
"LQR","","","","","","","","Expe005_1a"
"BLZ","","","","","","","","Expe005_1a"
"DPT","","","","","","","","Expe005_1a"
"BCS","","","","","","","","Expe005_1a"
"DMZ","","","","","","","","Expe005_1a"
"ABT","","","","","","","","Expe005_1a"
"BGM","","","","","","","","Expe005_1a"
"CHR","","","","","","","","Expe005_1a"
"FJK","","","","","","","","Expe005_1a"
"AKP","","","","","","","","Expe005_1a"
"CIP","","","","","","","","Expe005_1a"
"AOW","","","","","","","","Expe005_1a"
"LUW","","","","","","","","Expe005_1a"
"BCY","","","","","","","","Expe005_1a"
"AGL","","","","","","","","Expe005_1a"
"RTY","","","","","","","","Expe005_1a"
"EMX","","","","","","","","Expe005_1a"
"FTX","","","","","","","","Expe005_1a"
"ABN","","","","","","","","Expe005_1a"
"LYZ","","","","","","","","Expe005_1a"
"RXZ","","","","","","","","Expe005_1a"
"ACJ","","","","","","","","Expe005_1a"
"BDN","","","","","","","","Expe005_1a"
"ESZ","","","","","","","","Expe005_1a"
"DMQ","","","","","","","","Expe005_1a"
"LTY","","","","","","","","Expe005_1a"
"CXY","","","","","","","","Expe005_1a"
"IJY","","","","","","","","Expe005_1a"
"CGH","","","","","","","","Expe005_1a"
"HNX","","","","","","","","Expe005_1a"
"PWX","","","","","","","","Expe005_1a"
"KNT","","","","","","","","Expe005_1a"
"CKW","","","","","","","","Expe005_1a"
"HQT","","","","","","","","Expe005_1a"
"CIZ","","","","","","","","Expe005_1a"
"IJT","","","","","","","","Expe005_1a"
"DGS","","","","","","","","Expe005_1a"
"FJO","","","","","","","","Expe005_1a"
"JLN","","","","","","","","Expe005_1a"
"TWZ","","","","","","","","Expe005_1a"
"DGX","","","","","","","","Expe005_1a"
"CTZ","","","","","","","","Expe005_1a"
"IJR","","","","","","","","Expe005_1a"
"BGT","","","","","","","","Expe005_1a"
"COV","","","","","","","","Expe005_1a"
"EHR","","","","","","","","Expe005_1a"
"HSZ","","","","","","","","Expe005_1a"
"CFH","","","","","","","","Expe005_1a"
"AGK","","","","","","","","Expe005_1a"
"HJY","","","","","","","","Expe005_1a"
"GJX","","","","","","","","Expe005_1a"
"CIO","","","","","","","","Expe005_1b"
"KOX","","","","","","","","Expe005_1b"
"CPY","","","","","","","","Expe005_1b"
"GQU","","","","","","","","Expe005_1b"
"HPQ","","","","","","","","Expe005_1b"
"BOU","","","","","","","","Expe005_1b"
"BKT","","","","","","","","Expe005_1b"
"HJQ","","","","","","","","Expe005_1b"
"FHV","","","","","","","","Expe005_1b"
"DES","","","","","","","","Expe005_1b"
"ELT","","","","","","","","Expe005_1b"
"NSU","","","","","","","","Expe005_1b"
"FKY","","","","","","","","Expe005_1b"
"JLZ","","","","","","","","Expe005_1b"
"CHN","","","","","","","","Expe005_1b"
"AGO","","","","","","","","Expe005_1b"
"FQS","","","","","","","","Expe005_1b"
"CRW","","","","","","","","Expe005_1b"
"RXY","","","","","","","","Expe005_1b"
"KVZ","","","","","","","","Expe005_1b"
"FGT","","","","","","","","Expe005_1b"
"KNO","","","","","","","","Expe005_1b"
"ILQ","","","","","","","","Expe005_1b"
"ERU","","","","","","","","Expe005_1b"
"FNU","","","","","","","","Expe005_1b"
"DIT","","","","","","","","Expe005_1b"
"FOZ","","","","","","","","Expe005_1b"
"BTY","","","","","","","","Expe005_1b"
"FPY","","","","","","","","Expe005_1b"
"GHT","","","","","","","","Expe005_1b"
"ORX","","","","","","","","Expe005_1b"
"FLM","","","","","","","","Expe005_1b"
"GMN","","","","","","","","Expe005_1b"
"SVY","","","","","","","","Expe005_1b"
"OTY","","","","","","","","Expe005_1b"
