labels,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,dilution,OPG,Expe,,,,
BEJ,5,5,8,13,7.75,1,,Expe005_1a,,,,
INV,0,1,0,2,0.75,1,,Expe005_1a,,,,
HJV,25,14,27,21,21.75,1,,Expe005_1a,,,,
NRW,1,2,0,1,1,1,,Expe005_1a,,,,
BIL,0,0,0,1,0.25,1,,Expe005_1a,,,,
BQZ,0,0,0,1,0.25,1,,Expe005_1a,,,,
AOP,1,0,0,0,0.25,1,,Expe005_1a,,,,
UVY,9,8,6,10,8.25,1,,Expe005_1a,,,,
CHW,1,3,6,5,3.75,1,,Expe005_1a,,,,
PWY,6,3,4,9,5.5,1,,Expe005_1a,,,,
DOZ,0,1,0,0,0.25,1,,Expe005_1a,,,,
EMT,0,1,1,3,1.25,1,,Expe005_1a,,,,
BDL,1,1,1,0,0.75,1,,Expe005_1a,,,,
KVY,0,1,0,0,0.25,1,,Expe005_1a,,,,
ACH,0,4,4,4,3,1,,Expe005_1a,,,,
CNP,0,1,0,0,0.25,1,,Expe005_1a,,,,
CIV,2,0,4,1,1.75,1,,Expe005_1a,,,,already once generated
CTW,7,7,8,7,7.25,1,,Expe005_1a,,,,sporulated for 8 days
CQU,0,2,0,1,0.75,1,,Expe005_1a,,,,
OQZ,25,21,34,23,25.75,1,,Expe005_1a,,,,
CGI,30,44,58,48,45,1,,Expe005_1a,,,,
LPT,22,20,25,19,21.5,1,,Expe005_1a,,,,
ACW,7,12,20,12,12.75,1,,Expe005_1a,,,,
DIY,28,24,30,32,28.5,1,,Expe005_1a,,,,
LSU,43,33,43,42,40.25,1,,Expe005_1a,,,,
DMV,54,56,73,57,60,1,,Expe005_1a,,,,
JPY,6,13,10,14,10.75,1,,Expe005_1a,,,,
DET,41,49,73,57,55,1,,Expe005_1a,,,,
AOY,1,4,1,1,1.75,1,,Expe005_1a,,,,
AIZ,15,25,45,29,28.5,1,,Expe005_1a,,,,
HOP,57,73,60,62,63,1,,Expe005_1a,,,,
QSY,35,39,62,43,44.75,1,,Expe005_1a,,,,
DEY,18,20,13,19,17.5,1,,Expe005_1a,,,,
DPW,22,21,30,41,28.5,1,,Expe005_1a,,,,
DLZ,172,168,191,193,181,1,,Expe005_1a,,,,
JKZ,69,48,67,61,61.25,1,,Expe005_1a,,,,
AJQ,38,30,27,30,31.25,1,,Expe005_1a,,,822,
FKS,174,113,104,95,121.5,1,,Expe005_1a,,,923.875,
IKW,110,102,81,104,49.625,1,,Expe005_1a,49.625,,,
DPR,98,106,111,100,51.875,1,,Expe005_1a,51.875,,,
BCO,74,75,59,77,71.25,1,,Expe005_1a,,,,
GTY,43,37,56,49,46.25,1,,Expe005_1a,,,,
QVZ,19,31,24,21,23.75,1,,Expe005_1a,,,,
HPU,25,21,32,26,26,1,,Expe005_1a,,,,
JSW,49,39,23,37,37,1,,Expe005_1a,,,,
CIX,19,25,28,36,27,1,,Expe005_1a,,,,
LSZ,13,22,12,24,17.75,1,,Expe005_1a,,,,
IKO,17,20,25,21,20.75,1,,Expe005_1a,,,,
KQZ,22,32,27,17,24.5,1,,Expe005_1a,,,,
TWY,23,19,22,17,20.25,1,,Expe005_1a,,,,
KWX,7,15,12,14,12,1,,Expe005_1a,,,,
JNS,1,2,5,2,2.5,1,,Expe005_1a,,,,
FUY,7,17,11,11,11.5,1,,Expe005_1a,,,,
KPV,13,4,17,12,11.5,1,,Expe005_1a,,,,
RUV,13,7,15,12,11.75,1,,Expe005_1a,,,,
BGI,10,6,7,8,7.75,1,,Expe005_1a,,,,
KNY,54,53,62,80,62.25,1,,Expe005_1a,,,,
LTU,30,30,37,33,32.5,1,,Expe005_1a,,,,
IKS,3,2,3,2,2.5,1,,Expe005_1a,,,,
GIR,7,8,9,12,9,1,,Expe005_1a,,,,
DHM,7,10,9,16,10.5,1,,Expe005_1a,,,,
EPT,2,5,3,3,3.25,1,,Expe005_1a,,,,
CMU,15,8,16,20,14.75,1,,Expe005_1a,,,,
LQR,20,8,14,26,17,1,,Expe005_1a,,,,
BLZ,10,4,4,7,6.25,1,,Expe005_1a,,,,
DPT,16,17,8,14,13.75,1,,Expe005_1a,,,,
