labels,EH_ID,dpi,weight,weight_dpi0,Wchange,fecweight,,,,,,,,,,
INO,LM0227,0,23.86,23.86,0.00,2.11,,,,,,,,,,
EJN,LM0228,0,21.23,21.23,0.00,1.24,,,,,,,,,,
BOY,LM0231,0,20.69,20.69,0.00,2.11,,,,,,,,,,
JPX,LM0234,0,32.76,32.76,0.00,1.36,,,,,,,,,,fecweight
FJS,LM0235,0,19.58,19.58,0.00,0.99,,,,,,,,,,
AGN,LM0236,0,26.25,26.25,0.00,1.21,,,,,,,,,,
ILM,LM0238,0,27.39,27.39,0.00,3.28,,,,,,,,,,
HKW,LM0240,0,20.45,20.45,0.00,1.03,,,,,,,,,,
AFY,LM0248,0,23.46,23.46,0.00,0.67,,,,,,,,,,
ASZ,LM0249,0,26.10,26.10,0.00,0.74,,,,,,,,,,
DPW,LM0255,0,18.26,18.26,0.00,1.07,,,,,,,,,,
CJP,LM0257,0,22.75,22.75,0.00,2.32,,,,,,,,,,
HJU,LM0258,0,19.74,19.74,0.00,1.25,,,,,,,,,,
ALR,LM0259,0,28.89,28.89,0.00,1.64,,,,,,,,,,
DKR,LM0229,0,19.06,19.06,0.00,1.40,,,,,,,,,,
DIW,LM0232,0,26.37,26.37,0.00,1.10,,,,,,,,,,
DUZ,LM0233,0,29.77,29.77,0.00,2.85,,,,,,,,,,
EIQ,LM0239,0,19.41,19.41,0.00,1.94,,,,,,,,,,
BVZ,LM0247,0,27.13,27.13,0.00,3.22,,,,,,,,,,
GSZ,LM0251,0,23.16,23.16,0.00,0.69,,,,,,,,,,
BCP,LM0254,0,22.32,22.32,0.00,3.26,,,,,,,,,,
IJY,LM0256,0,29.15,29.15,0.00,1.77,,,,,,,,,,
DLN,LM0261,0,20.09,20.09,0.00,0.77,,,,,,,,,,
ELV,LM0264,0,17.88,17.88,0.00,0.66,,,,,,,,,,
DJP,LM0266,0,23.94,23.94,0.00,1.67,,,,,,,,,,
KWX,LM0268,0,20.84,20.84,0.00,2.33,,,,,,,,,,
CKO,LM0271,0,24.25,24.25,0.00,1.39,,,,,,,,,,
FJW,LM0227,1,23.80,23.86,99.75,0.76,,,,,,,,,,
FHT,LM0228,1,23.40,21.23,110.22,1.28,,,,,,,,,,
CIK,LM0231,1,21.41,20.69,103.48,1.13,,,,,,,,,,
GHS,LM0234,1,32.07,32.76,97.89,1.93,,,,,,,,,,
HKM,LM0235,1,19.41,19.58,99.13,0.86,,,,,,,,,,
TXZ,LM0236,1,23.35,26.25,88.95,1.7,,,,,,,,,,
GIQ,LM0238,1,21.56,21.39,100.79,1.58,,,,,,,,,,
