labels,EH_ID,dpi,weight,weight_dpi0,weightloss,weightRelativeToInfection,fecweight,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,dilution,OPG
INO,LM0227,0,,,0,#DIV/0!,,,,,,,,
EJN,LM0228,0,,,0,#DIV/0!,,,,,,,,
BOY,LM0231,0,,,0,#DIV/0!,,,,,,,,
JPX,LM0234,0,,,0,#DIV/0!,,,,,,,,
FJS,LM0235,0,,,0,#DIV/0!,,,,,,,,
AGN,LM0236,0,,,0,#DIV/0!,,,,,,,,
ILM,LM0238,0,,,0,#DIV/0!,,,,,,,,
HKW,LM0240,0,,,0,#DIV/0!,,,,,,,,
AFY,LM0248,0,,,0,#DIV/0!,,,,,,,,
ASZ,LM0249,0,,,0,#DIV/0!,,,,,,,,
DPW,LM0255,0,,,0,#DIV/0!,,,,,,,,
CJP,LM0257,0,,,0,#DIV/0!,,,,,,,,
HJU,LM0258,0,,,0,#DIV/0!,,,,,,,,
ALR,LM0259,0,,,0,#DIV/0!,,,,,,,,
CKT,LM0260,0,,,0,#DIV/0!,,,,,,,,
HQZ,LM0262,0,,,0,#DIV/0!,,,,,,,,
LNO,LM0263,0,,,0,#DIV/0!,,,,,,,,
DKM,LM0265,0,,,0,#DIV/0!,,,,,,,,
AKW,LM0267,0,,,0,#DIV/0!,,,,,,,,
BIW,LM0269,0,,,0,#DIV/0!,,,,,,,,
GQU,LM0270,0,,,0,#DIV/0!,,,,,,,,
BNQ,LM0279,0,,,0,#DIV/0!,,,,,,,,
IMP,LM0280,0,,,0,#DIV/0!,,,,,,,,
LOR,LM0284,0,,,0,#DIV/0!,,,,,,,,
CRV,LM0285,0,,,0,#DIV/0!,,,,,,,,
HKV,LM0287,0,,,0,#DIV/0!,,,,,,,,
GIR,LM0291,0,,,0,#DIV/0!,,,,,,,,
CHL,LM0294,0,,,0,#DIV/0!,,,,,,,,
DEK,LM0295,0,,,0,#DIV/0!,,,,,,,,
DKR,LM0229,0,,,0,#DIV/0!,,,,,,,,
DIW,LM0232,0,,,0,#DIV/0!,,,,,,,,
DUZ,LM0233,0,,,0,#DIV/0!,,,,,,,,
EIQ,LM0239,0,,,0,#DIV/0!,,,,,,,,
GQT,LM0246,0,,,0,#DIV/0!,,,,,,,,
