labels,EH_ID,dpi,weight,weight_dpi0,weightloss,weightRelativeToInfection,fecweight,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,dilution,OPG
BN,LM0304,0,,,,,,,,,,,,
JW,LM0305,0,,,,,,,,,,,,
JR,LM0306,0,,,,,,,,,,,,
JV,LM0307,0,,,,,,,,,,,,
PW,LM0308,0,,,,,,,,,,,,
JZ,LM0309,0,,,,,,,,,,,,
AE,LM0310,0,,,,,,,,,,,,
DF,LM0311,0,,,,,,,,,,,,
KR,LM0312,0,,,,,,,,,,,,
HQ,LM0313,0,,,,,,,,,,,,
KY,LM0314,0,,,,,,,,,,,,
HZ,LM0315,0,,,,,,,,,,,,
DU,LM0316,0,,,,,,,,,,,,
QZ,LM0317,0,,,,,,,,,,,,
DW,LM0318,0,,,,,,,,,,,,
OP,LM0319,0,,,,,,,,,,,,
UX,LM0304,2,,,,,,,,,,,,
DO,LM0305,2,,,,,,,,,,,,
CL,LM0306,2,,,,,,,,,,,,
CZ,LM0307,2,,,,,,,,,,,,
EH,LM0308,2,,,,,,,,,,,,
DY,LM0309,2,,,,,,,,,,,,
BZ,LM0310,2,,,,,,,,,,,,
AN,LM0311,2,,,,,,,,,,,,
CT,LM0312,2,,,,,,,,,,,,
MW,LM0313,2,,,,,,,,,,,,
HL,LM0314,2,,,,,,,,,,,,
PS,LM0315,2,,,,,,,,,,,,
MZ,LM0316,2,,,,,,,,,,,,
AO,LM0317,2,,,,,,,,,,,,
FZ,LM0318,2,,,,,,,,,,,,
DJ,LM0319,2,,,,,,,,,,,,
DV,LM0304,4,,,,,,,,,,,,
GU,LM0305,4,,,,,,,,,,,,
CG,LM0306,4,,,,,,,,,,,,
LM,LM0307,4,,,,,,,,,,,,
CM,LM0308,4,,,,,,,,,,,,
DG,LM0309,4,,,,,,,,,,,,
QV,LM0310,4,,,,,,,,,,,,
LW,LM0311,4,,,,,,,,,,,,
SU,LM0312,4,,,,,,,,,,,,
IU,LM0313,4,,,,,,,,,,,,
TY,LM0314,4,,,,,,,,,,,,
IM,LM0315,4,,,,,,,,,,,,
SZ,LM0316,4,,,,,,,,,,,,
GM,LM0317,4,,,,,,,,,,,,
IZ,LM0318,4,,,,,,,,,,,,
RX,LM0319,4,,,,,,,,,,,,
CV,LM0304,7,,,,,,,,,,,,
VX,LM0305,7,,,,,,,,,,,,
AV,LM0306,7,,,,,,,,,,,,
DQ,LM0307,7,,,,,,,,,,,,
JQ,LM0308,7,,,,,,,,,,,,
GJ,LM0309,7,,,,,,,,,,,,
BS,LM0310,7,,,,,,,,,,,,
GI,LM0311,7,,,,,,,,,,,,
FX,LM0312,7,,,,,,,,,,,,
XZ,LM0313,7,,,,,,,,,,,,
BX,LM0314,7,,,,,,,,,,,,
LR,LM0315,7,,,,,,,,,,,,
LV,LM0316,7,,,,,,,,,,,,
AM,LM0317,7,,,,,,,,,,,,
DP,LM0318,7,,,,,,,,,,,,
VZ,LM0319,7,,,,,,,,,,,,
CQ,LM0304,9,,,,,,,,,,,,
QU,LM0305,9,,,,,,,,,,,,
DL,LM0306,9,,,,,,,,,,,,
FW,LM0307,9,,,,,,,,,,,,
RY,LM0308,9,,,,,,,,,,,,
GQ,LM0309,9,,,,,,,,,,,,
BH,LM0310,9,,,,,,,,,,,,
LS,LM0311,9,,,,,,,,,,,,
OR,LM0312,9,,,,,,,,,,,,
JS,LM0313,9,,,,,,,,,,,,
AX,LM0314,9,,,,,,,,,,,,
FU,LM0315,9,,,,,,,,,,,,
EG,LM0316,9,,,,,,,,,,,,
AS,LM0317,9,,,,,,,,,,,,
NZ,LM0318,9,,,,,,,,,,,,
HS,LM0319,9,,,,,,,,,,,,
NU,LM0304,11,,,,,,,,,,,,
FG,LM0305,11,,,,,,,,,,,,
BL,LM0306,11,,,,,,,,,,,,
NY,LM0307,11,,,,,,,,,,,,
BY,LM0308,11,,,,,,,,,,,,
KV,LM0309,11,,,,,,,,,,,,
DZ,LM0310,11,,,,,,,,,,,,
VY,LM0311,11,,,,,,,,,,,,
BO,LM0312,11,,,,,,,,,,,,
PV,LM0313,11,,,,,,,,,,,,
BQ,LM0314,11,,,,,,,,,,,,
KQ,LM0315,11,,,,,,,,,,,,
BI,LM0316,11,,,,,,,,,,,,
NV,LM0317,11,,,,,,,,,,,,
AZ,LM0318,11,,,,,,,,,,,,
FI,LM0319,11,,,,,,,,,,,,
CW,LM0304,14,,,,,,,,,,,,
AH,LM0305,14,,,,,,,,,,,,
