"","Mouse_ID","Target","RT.Ct","EXP"
"1","LM_0231","B-actin",18.745,"E7"
"2","LM_0263","B-actin",16.52,"E7"
"3","LM_0265","B-actin",18.945,"E7"
"4","LM_0269","B-actin",20.905,"E7"
"5","LM_0282","B-actin",18.97,"E7"
"6","LM_0285","B-actin",26.005,"E7"
"7","LM_0287","B-actin",33.795,"E7"
"8","LM_0293","B-actin",NA,"E7"
"9","LM_0252","B-actin",15.975,"E7"
"10","LM_0261","B-actin",16.895,"E7"
"11","LM_0264","B-actin",25.555,"E7"
"12","LM_0271","B-actin",21.335,"E7"
"13","LM_0273","B-actin",21.135,"E7"
"14","LM_0278","B-actin",20.5,"E7"
"15","LM_0288","B-actin",16.02,"E7"
"16","LM_0289","B-actin",20.215,"E7"
"17","LM_0259","B-actin",20.355,"E7"
"18","LM_0272","B-actin",21.1,"E7"
"19","LM_0275","B-actin",19.31,"E7"
"20","LM_0276","B-actin",20.685,"E7"
"21","LM_0277","B-actin",21.235,"E7"
"22","LM_0283","B-actin",20.37,"E7"
"23","LM_0286","B-actin",21.225,"E7"
"24","LM_0294","B-actin",18.275,"E7"
"25","LM_0232","B-actin",19.69,"E7"
"26","LM_0247","B-actin",19.27,"E7"
"27","LM_0255","B-actin",21.685,"E7"
"28","LM_0257","B-actin",20.275,"E7"
"29","LM_0260","B-actin",19.465,"E7"
"30","LM_0262","B-actin",17.465,"E7"
"31","LM_0268","B-actin",22.735,"E7"
"32","LM_0280","B-actin",18.775,"E7"
"33","LM_0227","B-actin",22.02,"E7"
"34","LM_0233","B-actin",20.565,"E7"
"35","LM_0240","B-actin",19.29,"E7"
"36","LM_0256","B-actin",20.97,"E7"
"37","LM_0258","B-actin",19.645,"E7"
"38","LM_0270","B-actin",17.805,"E7"
"39","LM_0279","B-actin",15.6,"E7"
"40","LM_0284","B-actin",19.105,"E7"
"41","LM_0228","B-actin",21.09,"E7"
"42","LM_0229","B-actin",19.4,"E7"
"43","LM_0235","B-actin",19.875,"E7"
"44","LM_0238","B-actin",18.73,"E7"
"45","LM_0249","B-actin",20.47,"E7"
"46","LM_0251","B-actin",19.78,"E7"
"47","LM_0266","B-actin",20.96,"E7"
"48","LM_0234","B-actin",22.97,"E7"
"49","LM_0236","B-actin",20.3,"E7"
"50","LM_0239","B-actin",19.11,"E7"
"51","LM_0243","B-actin",21.25,"E7"
"52","LM_0254","B-actin",29.78,"E7"
"53","LM_0231","GAPDH",16.87,"E7"
"54","LM_0263","GAPDH",16.09,"E7"
"55","LM_0265","GAPDH",18.91,"E7"
"56","LM_0269","GAPDH",20.62,"E7"
"57","LM_0282","GAPDH",18.48,"E7"
"58","LM_0285","GAPDH",28.915,"E7"
"59","LM_0287","GAPDH",33.75,"E7"
"60","LM_0293","GAPDH",17.52,"E7"
"61","LM_0252","GAPDH",16.485,"E7"
"62","LM_0261","GAPDH",16.17,"E7"
"63","LM_0264","GAPDH",19.38,"E7"
"64","LM_0271","GAPDH",18.755,"E7"
"65","LM_0273","GAPDH",17.53,"E7"
"66","LM_0278","GAPDH",19.11,"E7"
"67","LM_0288","GAPDH",15.63,"E7"
"68","LM_0289","GAPDH",17.255,"E7"
"69","LM_0259","GAPDH",16.325,"E7"
"70","LM_0272","GAPDH",19.2,"E7"
"71","LM_0275","GAPDH",16.25,"E7"
"72","LM_0276","GAPDH",17.175,"E7"
"73","LM_0277","GAPDH",17.965,"E7"
"74","LM_0283","GAPDH",17.965,"E7"
"75","LM_0286","GAPDH",17.975,"E7"
"76","LM_0294","GAPDH",14.96,"E7"
"77","LM_0232","GAPDH",16.05,"E7"
"78","LM_0247","GAPDH",17.555,"E7"
"79","LM_0255","GAPDH",17.915,"E7"
"80","LM_0257","GAPDH",17.315,"E7"
"81","LM_0260","GAPDH",17.395,"E7"
"82","LM_0262","GAPDH",16.12,"E7"
"83","LM_0268","GAPDH",21.715,"E7"
"84","LM_0280","GAPDH",16.135,"E7"
"85","LM_0227","GAPDH",19.63,"E7"
"86","LM_0233","GAPDH",17.28,"E7"
"87","LM_0240","GAPDH",16.95,"E7"
"88","LM_0256","GAPDH",17.995,"E7"
"89","LM_0258","GAPDH",16.545,"E7"
"90","LM_0270","GAPDH",17.785,"E7"
"91","LM_0279","GAPDH",15.545,"E7"
"92","LM_0284","GAPDH",16.81,"E7"
"93","LM_0228","GAPDH",17.145,"E7"
"94","LM_0229","GAPDH",15.585,"E7"
"95","LM_0235","GAPDH",15.89,"E7"
"96","LM_0238","GAPDH",17.025,"E7"
"97","LM_0249","GAPDH",17.725,"E7"
"98","LM_0251","GAPDH",16.69,"E7"
"99","LM_0266","GAPDH",17.435,"E7"
"100","LM_0234","GAPDH",19.075,"E7"
"101","LM_0236","GAPDH",18.315,"E7"
"102","LM_0239","GAPDH",15.345,"E7"
"103","LM_0243","GAPDH",18,"E7"
"104","LM_0254","GAPDH",30.63,"E7"
