Exp_ID,,dpi.0.label,dpi.0.fec.weight,dpi.0.dil,dpi.0.raw.count,dpi.1.label,dpi.1.fec.weight,dpi.1.dil,dpi.1.raw.count,dpi.2.label,dpi.2.fec.weight,dpi.2.dil,dpi.2.raw.count,dpi.3.label,dpi.3.fec.weight,dpi.3.dil,dpi.3.raw.count,dpi.4.label,dpi.4.fec.weight,dpi.4.dil,dpi.4.raw.count,dpi.5.label,dpi.5.fec.weight,dpi.5.dil,dpi.5.raw.count,dpi.6.label,dpi.6.fec.weight,dpi.6.dil,dpi.6.raw.count,dpi.7.label,dpi.7.fec.weight,dpi.7.dil,dpi.7.raw.count,dpi.8.label,dpi.8.fec.weight,dpi.8.dil,dpi.8.raw.count,dpi.9.label,dpi.9.fec.weight,dpi.9.dil,dpi.9.raw.count,dpi.10.label,dpi.10.fec.weight,dpi.10.dil,dpi.10.raw.count,dpi.11.label,dpi.11.fec.weight,dpi.11.dil,dpi.11.raw.count
Exp_001,LM0103,EL,3.66,NA,0,LW,1.68,NA,0,CS,1.4,NA,0,KM,1.69,NA,0,SW,1.82,NA,0,BX,1.51,NA,0,NO,2.07,NA,0,HV,1.73,NA,0.25,AJ,0.12,NA,11.25,BN,NA,NA,NA,DH,NA,NA,NA,HZ,NA,NA,NA
Exp_001,LM0115,DP,2.79,NA,0,OS,1.87,NA,0,DG,1.78,NA,0,AX,1.68,NA,0,WY,1.41,NA,9.44,NR,0.81,NA,39.75,FX,1.06,NA,957,KO,1.69,NA,456,GL,1.78,NA,52.25,GU,2,NA,6.5,JZ,1.18,NA,2.75,MV,1623,NA,10.75
Exp_001,LM0105,IP,5.01,NA,0,SY,1.23,NA,0,HO,2.56,NA,0,EX,2.39,NA,0,KS,2.28,NA,18.24,GO,0.52,NA,9.25,IN,2.13,NA,871,OW,2.51,NA,354.75,BQ,2.7,NA,61,OY,2.78,NA,2,AN,2,NA,125,EM,2345,NA,125
Exp_001,LM0116,AT,3.05,NA,0,DO,2.41,NA,0,CW,2.15,NA,0,GS,1.78,NA,0,GZ,1.74,NA,0,RT,1.47,NA,0,KV,1.11,NA,0,GV,1.32,NA,0,DR,0.17,NA,24.5,RV,0.41,NA,30,QS,NA,NA,NA,AM,NA,NA,NA
Exp_001,LM0118,GW,3.11,NA,0,GQ,2.28,NA,0,BK,2.62,NA,0,LP,2.28,NA,0,AD,1.86,NA,0.25,TW,1.47,NA,138,FZ,2.25,NA,1237.5,KY,2.44,NA,197.25,AZ,2.19,NA,128.25,RY,1.99,NA,6.5,IV,1.95,NA,0.5,TY,2.69,NA,125
Exp_001,LM0096,HI,1.55,NA,0,PS,1.06,NA,0,CP,2.19,NA,0,UV,1.21,NA,0,FG,1.83,NA,0,AE,1.59,NA,0,VZ,1.34,NA,0,PQ,1.43,NA,5,BJ,0.24,NA,26.75,CU,0.06,NA,0.75,PT,NA,NA,NA,RU,NA,NA,NA
Exp_001,LM0106,OP,2.23,NA,0,EN,0.84,NA,0,HN,1.12,NA,0,AK,1.19,NA,0,IQ,1,NA,0.26,LV,1.7,NA,0,DK,1.01,NA,0,BR,1,NA,3125,RS,0.15,NA,3.75,WZ,0.12,NA,5.75,JQ,NA,NA,NA,AL,NA,NA,NA
Exp_001,LM0112,FI,3.6,NA,0,PY,1.72,NA,0,CK,1.9,NA,0,GK,1.43,NA,0,IJ,0.93,NA,7.68,SU,0.8,NA,88.25,IT,1.3,NA,590625,EY,1.7,NA,234,CX,2.32,NA,67,CO,2.22,NA,2375,KU,1.28,NA,0,AV,1.89,NA,0
Exp_001,LM0097,IK,2.9,NA,0,JX,0.83,NA,0,FN,1.37,NA,0,IM,1.29,NA,0,AS,2.35,NA,0,DS,1.92,NA,228.32,AP,1.57,NA,132.96,HS,1.96,NA,180,EI,1.27,NA,27.5,CJ,1.76,NA,5,SV,2.36,NA,0,BU,1.06,NA,0
Exp_001,LM0109,CH,3.46,NA,0,NY,1.83,NA,0,HY,1.93,NA,0,CN,1.41,NA,0,CE,1.59,NA,26.24,JW,1.13,NA,121.75,KL,1.42,NA,216,CM,1.74,NA,133.5,KQ,0.88,NA,23,DX,2.2,NA,1,VW,1.67,NA,0,SZ,1.8,NA,0
