EH_ID,dpi,weight,weight_dpi0,faeces_weight,wloss,labels
LM_0332,0,61.2,61.2,NA,100,FRJ
LM_0333,0,52.7,52.7,NA,100,JRA
LM_0334,0,50.7,50.7,NA,100,DWK
LM_0335,0,49.4,49.4,NA,100,CTE
LM_0336,0,51.9,51.9,NA,100,GBL
LM_0337,0,44.7,44.7,NA,100,CNX
LM_0338,0,51.3,51.3,NA,100,MCD
LM_0339,0,49.6,49.6,NA,100,BXM
LM_0340,0,54.5,54.5,NA,100,CES
LM_0341,0,59.1,59.1,NA,100,YKT
LM_0342,0,57,57,NA,100,RIY
LM_0343,0,59.8,59.8,NA,100,LTM
LM_0344,0,51.4,51.4,NA,100,ZPZ
LM_0345,0,60.7,60.7,NA,100,HHB
LM_0346,0,53.9,53.9,NA,100,ANQ
LM_0347,0,71.5,71.5,NA,100,JZP
LM_0332,1,59.6,61.2,NA,97.3856209150327,ZUX
LM_0333,1,51.8,52.7,NA,98.292220113852,EWW
LM_0334,1,59.5,50.7,NA,117.357001972387,ZXF
LM_0335,1,48.2,49.4,NA,97.5708502024292,SRB
LM_0336,1,46.6,51.9,NA,89.7880539499037,DGB
LM_0337,1,44.2,44.7,NA,98.8814317673378,JLL
LM_0338,1,50.4,51.3,NA,98.2456140350877,TCS
LM_0339,1,48.6,49.6,NA,97.9838709677419,CMY
LM_0340,1,53.1,54.5,NA,97.4311926605505,QAG
LM_0341,1,54.3,59.1,NA,91.8781725888325,TLE
LM_0342,1,55.8,57,NA,97.8947368421053,OLI
LM_0343,1,56.8,59.8,NA,94.9832775919733,JRY
LM_0344,1,51.7,51.4,NA,100.583657587549,KUI
LM_0345,1,59,60.7,NA,97.1993410214168,RWR
LM_0346,1,54.9,53.9,NA,101.855287569573,DSK
LM_0347,1,64.8,71.5,NA,90.6293706293706,VUI
LM_0332,2,59.4,61.2,NA,97.0588235294118,SHB
LM_0333,2,51.6,52.7,NA,97.9127134724858,NRV
LM_0334,2,44.7,50.7,NA,88.1656804733728,LMT
LM_0335,2,46.5,49.4,NA,94.1295546558704,YKB
LM_0336,2,50.1,51.9,NA,96.5317919075144,YLP
LM_0337,2,44.3,44.7,NA,99.1051454138702,REY
LM_0338,2,50.4,51.3,NA,98.2456140350877,NJU
LM_0339,2,45.6,49.6,NA,91.9354838709677,AWB
LM_0340,2,53.4,54.5,NA,97.9816513761468,PJX
LM_0341,2,54.2,59.1,NA,91.7089678510998,ZGF
LM_0342,2,53.6,57,NA,94.0350877192983,LTV
LM_0343,2,56.7,59.8,NA,94.8160535117057,HAT
LM_0344,2,52,51.4,NA,101.167315175097,WEK
LM_0345,2,58.8,60.7,NA,96.8698517298188,QGP
LM_0346,2,53.5,53.9,NA,99.2578849721707,EXU
LM_0347,2,68.7,71.5,NA,96.0839160839161,IWZ
LM_0332,3,59,61.2,NA,96.4052287581699,TNB
