

Software Version;3.08.01



Experiment File Path:;C:\Users\User\Documents\Experiments\Lubomir\IFN-y_mouse_caecum_Lubomir_Bednar.xpt
Protocol File Path:;C:\Users\User\Documents\Protocols\IFN-y_mouse_samples_Lubomir_Bednar.prt



Plate Number;Plate 1
Date;05.02.2020
Time;14:34:26
Reader Type:;Synergy HTX
Reader Serial Number:;1708301D
Reading Type;Reader

Procedure Details

Plate Type;96 WELL PLATE (Use plate lid)
Eject plate on completion;
Read;IFNy1
;Absorbance Endpoint
;Full Plate
;Wavelengths:  450
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Shake;Orbital: 0:10 (MM:SS)
;Frequency: 205 cpm (5 mm)
Read;IFNy2
;Absorbance Endpoint
;Full Plate
;Wavelengths:  450
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Shake;Orbital: 0:10 (MM:SS)
;Frequency: 205 cpm (5 mm)
Read;IFNy3
;Absorbance Endpoint
;Full Plate
;Wavelengths:  450
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8

Layout
;1;2;3;4;5;6;7;8;9;10;11;12
A;STD1;STD1;SPL1:1;SPL1:1;SPL2:1;SPL2:1;SPL3:1;SPL3:1;SPL4:1;SPL4:1;STDB1;STDB1;Well ID
;2000;2000;1;1;1;1;1;1;1;1;2000;2000;Conc/Dil
B;STD2;STD2;SPL1:2;SPL1:2;SPL2:2;SPL2:2;SPL3:2;SPL3:2;SPL4:2;SPL4:2;STDB2;STDB2;Well ID
;1000;1000;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1000;1000;Conc/Dil
C;STD3;STD3;SPL1:3;SPL1:3;SPL2:3;SPL2:3;SPL3:3;SPL3:3;SPL4:3;SPL4:3;STDB3;STDB3;Well ID
;500;500;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;500;500;Conc/Dil
D;STD4;STD4;SPL1:4;SPL1:4;SPL2:4;SPL2:4;SPL3:4;SPL3:4;SPL4:4;SPL4:4;STDB4;STDB4;Well ID
;250;250;0,125;0,125;0,125;0,125;0,125;0,125;0,125;0,125;250;250;Conc/Dil
E;STD5;STD5;SPL1:5;SPL1:5;SPL2:5;SPL2:5;SPL3:5;SPL3:5;SPL4:5;SPL4:5;STDB5;STDB5;Well ID
;125;125;0,0625;0,0625;0,0625;0,0625;0,0625;0,0625;0,0625;0,0625;125;125;Conc/Dil
F;STD6;STD6;SPL1:6;SPL1:6;SPL2:6;SPL2:6;SPL3:6;SPL3:6;SPL4:6;SPL4:6;STDB6;STDB6;Well ID
;62,5;62,5;0,03125;0,03125;0,03125;0,03125;0,03125;0,03125;0,03125;0,03125;62,5;62,5;Conc/Dil
G;STD7;STD7;SPL1:7;SPL1:7;SPL2:7;SPL2:7;SPL3:7;SPL3:7;SPL4:7;SPL4:7;STDB7;STDB7;Well ID
;31,25;31,25;0,015625;0,015625;0,015625;0,015625;0,015625;0,015625;0,015625;0,015625;31,25;31,25;Conc/Dil
H;BLK;BLK;SPL1:8;SPL1:8;SPL2:8;SPL2:8;SPL3:8;SPL3:8;SPL4:8;SPL4:8;BLK;BLK;Well ID
;;;0,0078125;0,0078125;0,0078125;0,0078125;0,0078125;0,0078125;0,0078125;0,0078125;;;Conc/Dil



Actual Temperature:;24,3

IFNy1:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;3,211;3,518;2,030;2,070;2,021;2,100;0,510;0,449;0,496;0,529;3,640;2,518;IFNy1:450
B;3,578;3,745;1,190;1,232;1,368;1,345;0,262;0,273;0,433;0,473;3,034;3,312;IFNy1:450
C;2,998;2,997;0,728;0,720;0,820;0,777;0,201;0,179;0,417;0,473;2,561;2,527;IFNy1:450
D;2,263;1,870;0,405;0,432;0,450;0,491;0,142;0,117;0,203;0,140;1,732;1,755;IFNy1:450
E;1,309;1,273;0,277;0,277;0,279;0,308;0,117;0,106;0,119;0,117;1,023;0,976;IFNy1:450
F;0,702;0,723;0,183;0,193;0,194;0,194;0,099;0,108;0,099;0,108;0,531;0,534;IFNy1:450
G;0,395;0,407;0,125;0,126;0,141;0,139;0,096;0,090;0,083;0,080;0,312;0,257;IFNy1:450
H;0,076;0,083;0,082;0,082;0,080;0,092;0,097;0,089;0,080;0,072;0,065;0,065;IFNy1:450



Actual Temperature:;24,3

IFNy2:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;2,934;3,297;2,043;2,067;2,009;2,086;0,507;0,452;0,504;0,538;3,468;2,304;IFNy2:450
B;3,556;3,682;1,194;1,242;1,377;1,356;0,264;0,273;0,437;0,478;2,888;3,151;IFNy2:450
C;2,953;2,929;0,733;0,723;0,830;0,790;0,202;0,180;0,420;0,477;2,538;2,514;IFNy2:450
D;2,259;1,860;0,408;0,431;0,452;0,491;0,143;0,118;0,205;0,141;1,732;1,742;IFNy2:450
E;1,308;1,272;0,276;0,277;0,281;0,309;0,117;0,107;0,119;0,117;1,021;0,977;IFNy2:450
F;0,707;0,729;0,182;0,194;0,196;0,196;0,099;0,110;0,100;0,108;0,539;0,542;IFNy2:450
G;0,397;0,411;0,125;0,127;0,140;0,140;0,097;0,092;0,084;0,081;0,315;0,260;IFNy2:450
H;0,076;0,084;0,082;0,082;0,081;0,093;0,097;0,089;0,080;0,072;0,065;0,065;IFNy2:450



Actual Temperature:;24,3

IFNy3:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;2,768;3,178;2,063;2,070;2,006;2,083;0,505;0,454;0,507;0,540;3,297;2,138;IFNy3:450
B;3,533;3,610;1,202;1,254;1,384;1,366;0,265;0,275;0,443;0,483;2,746;3,051;IFNy3:450
C;2,909;2,874;0,740;0,727;0,840;0,797;0,203;0,181;0,425;0,481;2,518;2,501;IFNy3:450
D;2,254;1,844;0,409;0,432;0,455;0,494;0,144;0,118;0,206;0,142;1,733;1,739;IFNy3:450
E;1,309;1,271;0,275;0,276;0,282;0,311;0,118;0,107;0,120;0,117;1,021;0,980;IFNy3:450
F;0,714;0,733;0,181;0,194;0,197;0,197;0,099;0,111;0,101;0,110;0,544;0,548;IFNy3:450
G;0,402;0,415;0,126;0,128;0,142;0,140;0,098;0,093;0,084;0,082;0,317;0,261;IFNy3:450
H;0,076;0,084;0,081;0,083;0,081;0,094;0,098;0,090;0,081;0,072;0,065;0,065;IFNy3:450

Blank IFNy1:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;3,139;3,446;1,957;1,998;1,948;2,028;0,438;0,376;0,424;0,457;3,567;2,446;Blank IFNy1:450
B;3,506;3,673;1,117;1,159;1,295;1,273;0,189;0,201;0,361;0,400;2,961;3,240;Blank IFNy1:450
C;2,926;2,925;0,656;0,648;0,747;0,704;0,128;0,107;0,345;0,401;2,488;2,455;Blank IFNy1:450
D;2,191;1,798;0,333;0,360;0,377;0,418;0,070;0,045;0,131;0,067;1,659;1,683;Blank IFNy1:450
E;1,236;1,200;0,204;0,204;0,207;0,235;0,045;0,034;0,047;0,044;0,951;0,903;Blank IFNy1:450
F;0,630;0,650;0,111;0,121;0,122;0,122;0,026;0,035;0,027;0,036;0,459;0,462;Blank IFNy1:450
G;0,322;0,335;0,052;0,053;0,068;0,066;0,023;0,018;0,011;0,008;0,240;0,185;Blank IFNy1:450
H;0,004;0,011;0,009;0,009;0,008;0,020;0,025;0,016;0,008;0,000;-0,007;-0,008;Blank IFNy1:450

Blank IFNy2:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;2,862;3,225;1,971;1,995;1,937;2,014;0,435;0,380;0,432;0,466;3,396;2,232;Blank IFNy2:450
B;3,483;3,610;1,122;1,169;1,304;1,284;0,191;0,201;0,364;0,406;2,815;3,078;Blank IFNy2:450
C;2,880;2,856;0,661;0,651;0,757;0,718;0,129;0,108;0,348;0,405;2,466;2,442;Blank IFNy2:450
D;2,186;1,788;0,335;0,358;0,380;0,418;0,071;0,045;0,132;0,068;1,660;1,670;Blank IFNy2:450
E;1,236;1,200;0,203;0,204;0,208;0,237;0,045;0,034;0,047;0,044;0,949;0,904;Blank IFNy2:450
F;0,634;0,656;0,110;0,121;0,124;0,124;0,026;0,037;0,028;0,036;0,466;0,470;Blank IFNy2:450
G;0,325;0,339;0,053;0,054;0,068;0,068;0,025;0,019;0,011;0,009;0,242;0,187;Blank IFNy2:450
H;0,004;0,011;0,010;0,010;0,008;0,021;0,025;0,017;0,008;-0,000;-0,008;-0,007;Blank IFNy2:450

Blank IFNy3:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;2,695;3,105;1,990;1,997;1,934;2,010;0,432;0,382;0,434;0,468;3,224;2,066;Blank IFNy3:450
B;3,460;3,537;1,130;1,182;1,312;1,293;0,192;0,203;0,371;0,410;2,674;2,979;Blank IFNy3:450
C;2,837;2,802;0,667;0,654;0,767;0,725;0,130;0,108;0,352;0,408;2,446;2,428;Blank IFNy3:450
D;2,182;1,772;0,337;0,359;0,382;0,421;0,071;0,046;0,134;0,069;1,660;1,666;Blank IFNy3:450
E;1,237;1,198;0,203;0,204;0,209;0,239;0,046;0,035;0,047;0,045;0,948;0,907;Blank IFNy3:450
F;0,641;0,661;0,108;0,122;0,125;0,124;0,026;0,038;0,028;0,037;0,472;0,475;Blank IFNy3:450
G;0,329;0,343;0,053;0,055;0,069;0,068;0,026;0,020;0,012;0,009;0,245;0,189;Blank IFNy3:450
H;0,004;0,011;0,009;0,010;0,008;0,021;0,025;0,017;0,009;-0,000;-0,008;-0,008;Blank IFNy3:450

