labels,oocyst_1,oocyst_2,oocyst_3,oocyst_4,AVG
1AZR,27,20,18,30,23.75
1ATV,19,13,22,11,16.25
1BBD,1,1,1,1,1
1BSJ,0,2,1,3,1.5
1CCY,0,0,0,,0
1CXA,112,104,109,101,106.5
1DAL,0,0,0,0,0
1DJM,6,5,4,3,4.5
1DTY,0,0,0,0,0
1DUN,62,66,84,61,68.25
1DWO,29,24,20,18,22.75
1DXD,0,0,0,0,0
1EEZ,30,19,31,27,26.75
1ENK,0,0,0,0,0
1ETL,14,12,14,12,13
1FJS,0,0,0,0,0
1FLM,12,13,20,22,16.75
1FOK,0,1,0,1,0.5
1HIX,0,0,0,0,0
1IZU,0,0,0,0,0
1JGV,0,0,0,0,0
1JIH,0,0,0,0,0
1JIX,5,5,3,4,4.25
1JJH,19,23,18,16,19
1JOI,3,0,1,0,1
1JVR,0,0,1,1,0.5
1KEG,10,6,3,6,6.25
1KPZ,0,0,0,0,0
1KUB,6,10,11,6,8.25
1KXD,0,0,0,0,0
1LKM,44,41,39,47,42.75
1MAO,51,47,46,44,47
1MCE,6,1,4,3,3.5
1MNQ,44,41,38,34,39.25
1MVU,0,1,0,0,0.25
1NLI,16,20,14,15,16.25
1NMF,0,0,0,0,0
1NYG,0,0,0,0,0
1OML,0,0,0,0,0
1OMQ,0,0,0,0,0
1OOZ,8,13,13,20,13.5
1OSC,78,63,64,67,68
1PEE,0,0,0,0,0
1PFK,3,2,3,5,3.25
1PLG,7,7,11,14,9.75
1QBP,0,0,0,0,0
1QEC,1,0,2,1,1
1QEO,0,0,0,0,0
1REI,16,15,14,14,14.75
1RJA,0,0,0,0,0
1RRF,14,15,12,14,13.75
1SBV,0,0,0,0,0
1SMX,1,2,0,1,1
1SQC,100,70,102,108,95
1SRE,42,47,51,45,46.25
1SVD,5,2,2,2,2.75
1SVZ,0,0,0,0,0
1SWK,0,0,0,0,0
1TOW,0,0,0,0,0
1TQH,0,0,0,0,0
1TQK,102,63,87,81,83.25
1TSI,17,19,34,20,22.5
1TSY,66,68,64,61,64.75
1TVC,0,0,0,0,0
1UAS,22,23,15,25,21.25
1URW,4,5,7,8,6
1UXG,30,35,34,38,34.25
1UZT,0,0,1,0,0.25
1VKX,46,41,37,39,40.75
1UWS,0,0,0,0,0
1WMM,20,24,21,17,20.5
1WSE,3,4,4,5,4
1WTG,31,31,41,55,39.5
1XYE,0,0,0,0,0
1YJG,7,9,8,7,7.75
1YMT,45,49,41,47,45.5
1YNS,62,63,70,51,61.5
1YTP,4,3,3,2,3
1ZTI,18,17,16,21,18
1ZQY,0,0,0,0,0
2AHV,0,0,0,0,0
2BPM,2,0,1,0,0.75
2BPO,48,54,53,59,53.5
2BQA,0,0,0,0,0
2BWS,18,22,19,20,19.75
2CRA,8,2,5,4,4.75
2EVI,0,0,0,0,0
2FAE,50,42,41,47,45
2FLD,0,0,0,0,0
2FMI,0,2,0,1,0.75
2FPD,2,0,0,0,0.5
2FVG,8,5,9,10,8
2FYX,98,92,82,79,87.75
2HGQ,16,24,28,27,23.75
2HYO,2,2,2,4,2.5
2IIT,0,0,0,0,0
2IHD,0,0,0,0,0
2INX,0,0,0,0,0
2IPY,0,0,0,0,0
2JAH,1,0,0,0,0.25
2JRF,71,67,77,81,74
2JVY,0,0,0,0,0
2KMJ,1,0,0,0,0.25
2LAV,0,0,0,0,0
2LBS,10,11,6,8,8.75
2LCA,0,0,0,0,0
2LFC,56,64,49,57,56.5
2LSG,0,0,0,0,0
2MUY,32,34,29,39,33.5
2NQG,0,0,1,3,1
2NYU,8,8,4,5,6.25
2OAW,23,16,21,27,21.75
2OWT,0,0,0,0,0
2OYV,0,0,,0,0
2PFK,0,0,0,0,0
2POB,0,0,0,0,0
2PSK,10,13,13,19,13.75
2QAP,1,1,0,1,0.75
2QTR,0,0,0,0,0
2RLW,0,0,0,0,0
2RMA,0,0,0,0,0
2SNM,0,0,0,0,0
2SVF,1,0,2,1,1
2TBT,0,0,0,0,0
2TMN,0,0,0,0,0
2UHH,6,7,7,10,7.5
2UYT,0,0,0,1,0.25
2VEO,0,0,0,0,0
2VGB,34,16,27,22,24.75
2VJA,0,0,0,0,0
2VLZ,0,0,0,0,0
2XFC,3,1,2,3,2.25
2XMO,2,4,8,9,5.75
2XXV,0,0,0,0,0
2XYA,0,0,0,0,0
2YBL,0,0,0,0,0
2YBL,9,9,11,7,9
