EH_ID,dpi,weight,weight_dpi0,faeces_weight,wloss,labels,day_change
LM_0332,0,,,,,,
LM_0333,0,,,,,,
LM_0334,0,,,,,,
LM_0335,0,,,,,,
LM_0336,0,,,,,,
LM_0337,0,,,,,,
LM_0338,0,,,,,,
LM_0339,0,,,,,,
LM_0340,0,,,,,,
LM_0341,0,,,,,,
LM_0342,0,,,,,,
LM_0343,0,,,,,,
LM_0344,0,,,,,,
LM_0345,0,,,,,,
LM_0346,0,,,,,,
LM_0347,0,,,,,,
LM_0332,1,,,,,,
LM_0333,1,,,,,,
LM_0334,1,,,,,,
LM_0335,1,,,,,,
LM_0336,1,,,,,,
LM_0337,1,,,,,,
LM_0338,1,,,,,,
LM_0339,1,,,,,,
LM_0340,1,,,,,,
LM_0341,1,,,,,,
LM_0342,1,,,,,,
LM_0343,1,,,,,,
LM_0344,1,,,,,,
LM_0345,1,,,,,,
LM_0346,1,,,,,,
LM_0347,1,,,,,,
LM_0332,2,,,,,,
LM_0333,2,,,,,,
LM_0334,2,,,,,,
LM_0335,2,,,,,,
LM_0336,2,,,,,,
LM_0337,2,,,,,,
LM_0338,2,,,,,,
LM_0339,2,,,,,,
LM_0340,2,,,,,,
LM_0341,2,,,,,,
LM_0342,2,,,,,,
LM_0343,2,,,,,,
LM_0344,2,,,,,,
LM_0345,2,,,,,,
LM_0346,2,,,,,,
LM_0347,2,,,,,,
LM_0332,3,,,,,,
LM_0333,3,,,,,,
LM_0334,3,,,,,,
LM_0335,3,,,,,,
LM_0336,3,,,,,,
LM_0337,3,,,,,,
LM_0338,3,,,,,,
LM_0339,3,,,,,,
LM_0340,3,,,,,,
LM_0341,3,,,,,,
LM_0342,3,,,,,,
LM_0343,3,,,,,,
LM_0344,3,,,,,,
LM_0345,3,,,,,,
LM_0346,3,,,,,,
LM_0347,3,,,,,,
LM_0332,4,,,,,,
LM_0333,4,,,,,,
LM_0334,4,,,,,,
LM_0335,4,,,,,,
LM_0336,4,,,,,,
LM_0337,4,,,,,,
LM_0338,4,,,,,,
LM_0339,4,,,,,,
LM_0340,4,,,,,,
LM_0341,4,,,,,,
LM_0342,4,,,,,,
LM_0343,4,,,,,,
LM_0344,4,,,,,,
LM_0345,4,,,,,,
LM_0346,4,,,,,,
LM_0347,4,,,,,,
LM_0332,5,,,,,,
LM_0333,5,,,,,,
LM_0334,5,,,,,,
LM_0335,5,,,,,,
LM_0336,5,,,,,,
LM_0337,5,,,,,,
LM_0338,5,,,,,,
LM_0339,5,,,,,,
LM_0340,5,,,,,,
LM_0341,5,,,,,,
LM_0342,5,,,,,,
LM_0343,5,,,,,,
LM_0344,5,,,,,,
LM_0345,5,,,,,,
LM_0346,5,,,,,,
LM_0347,5,,,,,,
LM_0332,6,,,,,,
LM_0333,6,,,,,,
LM_0334,6,,,,,,
LM_0335,6,,,,,,
LM_0336,6,,,,,,
LM_0337,6,,,,,,
LM_0338,6,,,,,,
LM_0339,6,,,,,,
LM_0340,6,,,,,,
LM_0341,6,,,,,,
LM_0342,6,,,,,,
LM_0343,6,,,,,,
LM_0344,6,,,,,,
LM_0345,6,,,,,,
LM_0346,6,,,,,,
LM_0347,6,,,,,,
LM_0332,7,,,,,,
LM_0333,7,,,,,,
LM_0334,7,,,,,,
LM_0335,7,,,,,,
LM_0336,7,,,,,,
LM_0337,7,,,,,,
LM_0338,7,,,,,,
LM_0339,7,,,,,,
LM_0340,7,,,,,,
LM_0341,7,,,,,,
LM_0342,7,,,,,,
LM_0343,7,,,,,,
LM_0344,7,,,,,,
LM_0345,7,,,,,,
LM_0346,7,,,,,,
LM_0347,7,,,,,,
LM_0332,8,,,,,,
LM_0333,8,,,,,,
LM_0334,8,,,,,,
LM_0335,8,,,,,,
LM_0336,8,,,,,,
LM_0337,8,,,,,,
LM_0338,8,,,,,,
LM_0339,8,,,,,,
LM_0340,8,,,,,,
LM_0341,8,,,,,,
LM_0342,8,,,,,,
LM_0343,8,,,,,,
LM_0344,8,,,,,,
LM_0345,8,,,,,,
LM_0346,8,,,,,,
LM_0347,8,,,,,,
LM_0332,9,,,,,,
LM_0333,9,,,,,,
LM_0334,9,,,,,,
LM_0335,9,,,,,,
LM_0336,9,,,,,,
LM_0337,9,,,,,,
LM_0338,9,,,,,,
LM_0339,9,,,,,,
LM_0340,9,,,,,,
LM_0341,9,,,,,,
LM_0342,9,,,,,,
LM_0343,9,,,,,,
LM_0344,9,,,,,,
LM_0345,9,,,,,,
LM_0346,9,,,,,,
LM_0347,9,,,,,,
LM_0332,10,,,,,,
LM_0333,10,,,,,,
LM_0334,10,,,,,,
LM_0335,10,,,,,,
LM_0336,10,,,,,,
LM_0337,10,,,,,,
LM_0338,10,,,,,,
LM_0339,10,,,,,,
LM_0340,10,,,,,,
LM_0341,10,,,,,,
LM_0342,10,,,,,,
LM_0343,10,,,,,,
LM_0344,10,,,,,,
LM_0345,10,,,,,,
LM_0346,10,,,,,,
LM_0347,10,,,,,,
LM_0332,11,,,,,,
LM_0333,11,,,,,,
LM_0334,11,,,,,,
LM_0335,11,,,,,,
LM_0336,11,,,,,,
LM_0337,11,,,,,,
LM_0338,11,,,,,,
LM_0339,11,,,,,,
LM_0340,11,,,,,,
LM_0341,11,,,,,,
LM_0342,11,,,,,,
LM_0343,11,,,,,,
LM_0344,11,,,,,,
LM_0345,11,,,,,,
LM_0346,11,,,,,,
LM_0347,11,,,,,,
