"EH_ID","Eim_MC","experiment","delta"
"LM0368","pos","E10",-6.17790447050866
"LM0369","neg","E10",-8.27110033625446
"LM0370","pos","E10",-6.2704639635426
"LM0371","pos","E10",5.3077775064899
"LM0372","pos","E10",2.5584555138487
"LM0373","pos","E10",3.0796962759907
"LM0374","pos","E10",4.09938905453927
"LM0375","pos","E10",3.54408471160803
"LM0376","neg","E10",-9.51283442135467
"LM0377","neg","E10",-9.08241588357113
"LM0378","pos","E10",4.765277852211
"LM0379","pos","E10",-12.3017417117248
"LM0380","pos","E10",-2.2251093180377
"LM0381","pos","E10",5.83782153484687
"LM0382","pos","E10",2.50609354680107
"LM0383","pos","E10",3.57660315504164
"LM0384","pos","E10",-1.11235294206817
"LM0385","pos","E10",-5.40403223114677
"LM0386","pos","E10",4.5341052366896
"LM0387","pos","E10",3.67658168157887
"LM0388","pos","E10",-0.674684132371929
"LM0389","pos","E10",-3.6478824551873
"LM0390","pos","E10",3.8533718498451
"LM0391","pos","E10",5.3367351255376
"LM0392","neg","E10",NA
"LM0393","neg","E10",NA
"LM0394","neg","E10",NA
"LM0395","neg","E10",NA
"LM0396","neg","E10",-7.84326230718987
"LM0397","pos","E10",-3.42760413700507
"LM0398","pos","E10",1.13600476452995
"LM0399","pos","E10",2.31556690199715
