"","labels","experiment","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","OPG","dilution"
"1","E10aAAX","E10",0,0,0,0,0,0,1
"2","E10aABE","E10",0,0,0,0,0,0,1
"3","E10aADZ","E10",8,3,15,11,9.25,272058.823529412,1
"4","E10aAEM","E10",20,16,15,7,14.5,112403.100775194,1
"5","E10aAEX","E10",NA,NA,NA,NA,NA,NA,1
"6","E10aAFG","E10",0,0,0,0,0,0,1
"7","E10aAHH","E10",0,0,0,3,0.75,4901.96078431373,1
"8","E10aAHK","E10",0,0,0,0,0,0,1
"9","E10aAOU","E10",4,4,5,7,5,51020.4081632653,1
"10","E10aAQA","E10",NA,NA,NA,NA,NA,NA,NA
"11","E10aAWA","E10",0,0,0,0,0,0,1
"12","E10aAXX","E10",1,2,0,0,0.75,3865.9793814433,1
"13","E10aAYM","E10",0,0,0,0,0,0,1
"14","E10aBAA","E10",1,3,4,4,3,34482.7586206897,1
"15","E10aBAM","E10",18,21,18,16,18.25,149590.163934426,1
"16","E10aBBQ","E10",0,0,0,0,0,0,1
"17","E10aBJK","E10",0,0,0,0,0,0,1
"18","E10aBKA","E10",3,1,3,3,2.5,20661.1570247934,1
"19","E10aBQF","E10",NA,NA,NA,NA,NA,NA,1
"20","E10aBRI","E10",135,162,185,191,168.25,2336805.55555556,1
"21","E10aBRN","E10",NA,NA,NA,NA,NA,NA,1
"22","E10aBRU","E10",0,1,0,0,0.25,2475.24752475248,1
"23","E10aBSE","E10",0,0,0,0,0,0,1
"24","E10aBWZ","E10",0,1,0,0,0.25,2016.12903225806,1
"25","E10aBXR","E10",40,35,26,39,35,380434.782608696,1
"26","E10aCBB","E10",0,0,0,0,0,0,1
"27","E10aCBO","E10",93,49,43,53,59.5,572115.384615385,1
"28","E10aCBY","E10",0,0,0,0,0,0,1
"29","E10aCCB","E10",0,2,2,2,1.5,83333.3333333333,1
"30","E10aCCE","E10",3,1,2,1,1.75,159090.909090909,1
"31","E10aCDH","E10",30,14,27,29,25,568181.818181818,1
"32","E10aCGR","E10",0,0,0,0,0,0,1
"33","E10aCIJ","E10",0,0,0,0,0,0,1
"34","E10aCLD","E10",0,0,0,0,0,0,1
"35","E10aCLH","E10",NA,NA,NA,NA,NA,NA,1
"36","E10aCNW","E10",199,186,188,179,188,1480314.96062992,1
"37","E10aCQA","E10",0,0,0,0,0,0,1
"38","E10aCQF","E10",0,0,0,0,0,0,1
"39","E10aCSK","E10",47,52,40,43,45.5,1467741.93548387,1
"40","E10aCTL","E10",0,0,0,0,0,0,1
"41","E10aCWA","E10",0,0,0,0,0,0,1
"42","E10aCWZ","E10",0,0,0,0,0,0,1
"43","E10aCXG","E10",0,0,0,0,0,0,1
"44","E10aCXR","E10",1,4,2,4,2.75,68750,1
"45","E10aCYC","E10",120,152,160,177,152.25,1951923.07692308,1
"46","E10aCYL","E10",0,0,0,0,0,0,1
"47","E10aCZQ","E10",0,0,0,0,0,0,1
"48","E10aDBR","E10",0,0,0,0,0,0,1
"49","E10aDEM","E10",99,117,107,98,105.25,1209770.11494253,1
"50","E10aDFU","E10",0,0,0,0,0,0,1
"51","E10aDFW","E10",160,143,141,105,137.25,1782467.53246753,1
"52","E10aDGI","E10",59,72,65,41,59.25,1795454.54545455,1
"53","E10aDGV","E10",0,0,0,0,0,0,1
"54","E10aDIL","E10",NA,NA,NA,NA,NA,NA,NA
"55","E10aDMH","E10",0,0,0,0,0,0,1
"56","E10aDQH","E10",0,0,0,0,0,0,1
"57","E10aDWZ","E10",0,0,0,0,0,0,1
"58","E10aEDH","E10",0,0,0,0,0,0,1
"59","E10aEEB","E10",0,0,0,0,0,0,1
"60","E10aEFY","E10",NA,NA,NA,NA,NA,NA,1
"61","E10aEID","E10",0,0,0,0,0,0,1
"62","E10aEJZ","E10",3,0,0,0,0.75,3205.12820512821,1
"63","E10aERA","E10",0,0,0,0,0,0,1
"64","E10aERX","E10",0,0,0,0,0,0,1
"65","E10aESZ","E10",0,0,0,0,0,0,1
"66","E10aETD","E10",0,0,0,0,0,0,1
"67","E10aEVS","E10",NA,NA,NA,NA,NA,NA,NA
"68","E10aEVY","E10",0,0,0,0,0,0,1
"69","E10aFDU","E10",0,0,0,0,0,0,1
"70","E10aFHY","E10",5,10,7,12,8.5,41463.4146341463,1
"71","E10aFIA","E10",0,0,0,0,0,0,1
"72","E10aFIJ","E10",NA,NA,NA,NA,NA,NA,1
"73","E10aFPM","E10",0,0,0,0,0,0,1
"74","E10aFRH","E10",NA,NA,NA,NA,NA,NA,NA
"75","E10aFTF","E10",59,60,54,79,63,396226.41509434,1
"76","E10aFWR","E10",NA,NA,NA,NA,NA,NA,NA
"77","E10aFZA","E10",82,59,55,59,63.75,544871.794871795,1
"78","E10aFZY","E10",NA,NA,NA,NA,NA,NA,1
"79","E10aGAF","E10",0,0,0,0,0,0,1
"80","E10aGAW","E10",NA,NA,NA,NA,NA,NA,1
"81","E10aGAX","E10",NA,NA,NA,NA,NA,NA,NA
"82","E10aGBB","E10",0,0,0,0,0,0,1
"83","E10aGCI","E10",110,114,97,107,107,1114583.33333333,1
"84","E10aGDN","E10",0,0,0,0,0,0,1
"85","E10aGEU","E10",0,0,0,0,0,0,1
"86","E10aGFV","E10",99,120,132,108,114.75,1289325.84269663,1
"87","E10aGMG","E10",0,2,1,0,0.75,4237.28813559322,1
"88","E10aGMH","E10",0,0,0,0,0,0,1
"89","E10aGNE","E10",NA,NA,NA,NA,NA,NA,1
"90","E10aGNT","E10",16,18,17,23,18.5,154166.666666667,1
"91","E10aGRE","E10",0,1,0,1,0.5,5208.33333333333,1
"92","E10aGRR","E10",0,0,0,0,0,0,1
"93","E10aGSN","E10",427,281,419,386,378.25,3050403.22580645,1
"94","E10aGTL","E10",0,0,0,0,0,0,1
"95","E10aGYP","E10",3,4,8,9,6,41958.041958042,1
"96","E10aGYU","E10",4,3,8,6,5.25,92105.2631578947,1
"97","E10aHBV","E10",0,0,0,0,0,0,1
"98","E10aHBZ","E10",0,0,0,0,0,0,1
"99","E10aHEX","E10",NA,NA,NA,NA,NA,NA,1
"100","E10aHGR","E10",0,0,0,0,0,0,1
"101","E10aHLL","E10",0,0,0,0,0,0,1
"102","E10aHRM","E10",163,122,124,149,139.5,3170454.54545455,1
"103","E10aHRS","E10",1,1,2,4,2,16393.4426229508,1
"104","E10aHVE","E10",8,15,18,15,14,212121.212121212,1
"105","E10aHXV","E10",NA,NA,NA,NA,NA,NA,1
"106","E10aHZR","E10",4,4,17,21,11.5,205357.142857143,1
"107","E10aIAU","E10",0,0,0,0,0,0,1
"108","E10aICP","E10",NA,NA,NA,NA,NA,NA,NA
"109","E10aIFB","E10",0,0,0,0,0,0,1
"110","E10aIFF","E10",0,0,0,0,0,0,1
"111","E10aIKD","E10",NA,NA,NA,NA,NA,NA,1
"112","E10aIKG","E10",0,0,0,0,0,0,1
"113","E10aIKU","E10",0,0,0,0,0,0,1
"114","E10aIMD","E10",0,0,0,0,0,0,1
"115","E10aIMN","E10",6,9,7,4,6.5,46099.2907801418,1
"116","E10aIVO","E10",0,0,0,0,0,0,1
"117","E10aIXJ","E10",0,0,0,0,0,0,1
