EH_ID,dpi,labels,weight,weight_dpi0,relative_weight,feces_weight,mouse_strain
LM_0368,0,JRO,21.51,21.51,100,NA,SCHUNT
LM_0369,0,XZT,19.22,19.22,100,NA,SCHUNT
LM_0370,0,WJG,16.25,16.25,100,NA,PWD
LM_0371,0,RIP,16.15,16.15,100,NA,PWD
LM_0372,0,FRH,22.87,22.87,100,NA,SCHUNT
LM_0373,0,OLO,25.04,25.04,100,NA,SCHUNT
LM_0374,0,LTC,17.27,17.27,100,NA,PWD
LM_0375,0,JGM,15.05,15.05,100,NA,PWD
LM_0376,0,PHJ,17.77,17.77,100,NA,SCHUNT
LM_0377,0,FWR,18.02,18.02,100,NA,SCHUNT
LM_0378,0,RJW,15.36,15.36,100,NA,PWD
LM_0379,0,DIL,14.8,14.8,100,NA,PWD
LM_0380,0,VDW,19.82,19.82,100,NA,SCHUNT
LM_0381,0,VKD,14.8,14.8,100,NA,SCHUNT
LM_0382,0,YWJ,17.96,17.96,100,NA,PWD
LM_0383,0,GAX,14.04,14.04,100,NA,PWD
LM_0384,0,QIP,19.28,19.28,100,NA,SCHUNT
LM_0385,0,OGD,15.6,15.6,100,NA,SCHUNT
LM_0386,0,ULI,16.9,16.9,100,NA,PWD
LM_0387,0,VRV,14.16,14.16,100,NA,PWD
LM_0388,0,KDN,22.81,22.81,100,NA,SCHUNT
LM_0389,0,EVS,19.47,19.47,100,NA,SCHUNT
LM_0390,0,MLP,16.32,16.32,100,NA,PWD
LM_0391,0,UKB,15.73,15.73,100,NA,PWD
LM_0392,0,ICP,24.31,24.31,100,NA,SCHUNT
LM_0393,0,YFO,16.97,16.97,100,NA,SCHUNT
LM_0394,0,MTH,14.48,14.48,100,NA,PWD
LM_0395,0,ZIW,15.38,15.38,100,NA,PWD
LM_0396,0,NJL,17.64,17.64,100,NA,SCHUNT
LM_0397,0,VNF,18.45,18.45,100,NA,PWD
LM_0398,0,QRQ,15.67,15.67,100,NA,SCHUNT
LM_0399,0,AQA,15.27,15.27,100,NA,PWD
LM_0368,1,SLC,20.23,21.51,94.0492794049279,0.87,SCHUNT
LM_0369,1,SZL,18.56,19.22,96.5660770031218,2.13,SCHUNT
LM_0370,1,XTF,16.49,16.25,101.476923076923,1,PWD
LM_0371,1,OOZ,15.89,16.15,98.390092879257,0.94,PWD
LM_0372,1,UZM,22.88,22.87,100.04372540446,1.27,SCHUNT
LM_0373,1,STP,24.47,25.04,97.723642172524,2.87,SCHUNT
LM_0374,1,UGI,16.52,17.27,95.6572090330052,0.91,PWD
LM_0375,1,VMB,14.35,15.05,95.3488372093023,0.51,PWD
LM_0376,1,NED,17.27,17.77,97.1862689926843,1.28,SCHUNT
LM_0377,1,WDE,17.98,18.02,99.7780244173141,1.09,SCHUNT
LM_0378,1,OIK,14.62,15.36,95.1822916666667,0.77,PWD
LM_0379,1,DWZ,14.32,14.8,96.7567567567568,0.63,PWD
LM_0380,1,FPM,19.95,19.82,100.655903128153,0.69,SCHUNT
LM_0381,1,TJL,14.7,14.8,99.3243243243243,1.04,SCHUNT
LM_0382,1,NLL,16.97,17.96,94.4877505567929,0.88,PWD
LM_0383,1,RRD,13.59,14.04,96.7948717948718,0.68,PWD
LM_0384,1,AFG,19.29,19.28,100.051867219917,1.01,SCHUNT
LM_0385,1,BJK,15.79,15.6,101.217948717949,0.84,SCHUNT
LM_0386,1,ZTI,16.37,16.9,96.8639053254438,0.99,PWD
LM_0387,1,MMQ,12.96,14.16,91.5254237288136,0.41,PWD
LM_0388,1,GRR,22.64,22.81,99.2547128452433,0.59,SCHUNT
LM_0389,1,WMA,18.85,19.47,96.8156137647663,0.97,SCHUNT
LM_0390,1,JPT,15.52,16.32,95.0980392156863,0.62,PWD
LM_0391,1,QHK,13.93,15.73,88.5568976478067,0.96,PWD
LM_0392,1,QUW,23.69,24.31,97.4496092143151,1.39,SCHUNT
LM_0393,1,XHF,17.48,16.97,103.005303476724,0.58,SCHUNT
LM_0394,1,CWZ,16.23,14.48,112.085635359116,0.9,PWD
LM_0395,1,ZYB,14.34,15.38,93.2379713914174,1.04,PWD
LM_0396,1,VXC,17.03,17.64,96.5419501133787,1.21,SCHUNT
LM_0397,1,THK,17.35,18.45,94.0379403794038,0.58,PWD
LM_0398,1,ESZ,16.35,15.67,104.339502233567,1.34,SCHUNT
LM_0399,1,GTL,14.59,15.27,95.5468238375901,0.53,PWD
LM_0368,2,KVT,20.99,21.51,97.582519758252,1.17,SCHUNT
LM_0369,2,QJO,18.73,19.22,97.4505723204995,1.56,SCHUNT
LM_0370,2,NJY,16.47,16.25,101.353846153846,0.98,PWD
LM_0371,2,QWZ,14.9,16.15,92.2600619195046,1.2,PWD
LM_0372,2,ZIH,23.07,22.87,100.8745080892,1.42,SCHUNT
LM_0373,2,CZQ,24.4,25.04,97.444089456869,1.32,SCHUNT
LM_0374,2,CBY,16.2,17.27,93.8042848870874,0.64,PWD
LM_0375,2,MFI,14.63,15.05,97.2093023255814,0.61,PWD
LM_0376,2,ERA,17.47,17.77,98.3117613956106,1.07,SCHUNT
LM_0377,2,DBR,17.16,18.02,95.2275249722531,1.07,SCHUNT
LM_0378,2,HLL,15.65,15.36,101.888020833333,0.61,PWD
LM_0379,2,KBF,13.7,14.8,92.5675675675675,0.98,PWD
LM_0380,2,WPM,20.88,19.82,105.348133198789,1.82,SCHUNT
LM_0381,2,VYG,14.79,14.8,99.9324324324324,1.19,SCHUNT
LM_0382,2,KAJ,16,17.96,89.086859688196,1.49,PWD
LM_0383,2,URA,13.28,14.04,94.5868945868946,0.97,PWD
LM_0384,2,CIJ,19.29,19.28,100.051867219917,1.26,SCHUNT
LM_0385,2,OPZ,16.14,15.6,103.461538461538,0.9,SCHUNT
LM_0386,2,GAF,16.12,16.9,95.3846153846154,1.04,PWD
LM_0387,2,YHQ,12.41,14.16,87.6412429378531,0.58,PWD
LM_0388,2,SHK,22.08,22.81,96.799649276633,0.73,SCHUNT
LM_0389,2,SZV,18.82,19.47,96.6615305598357,1.13,SCHUNT
LM_0390,2,UOJ,15.45,16.32,94.6691176470588,1.28,PWD
LM_0391,2,XCI,14.28,15.73,90.7819453273999,1.26,PWD
LM_0392,2,SZX,24.75,24.31,101.809954751131,1.28,SCHUNT
LM_0393,2,GBB,17.27,16.97,101.767825574543,1.3,SCHUNT
LM_0394,2,ABE,16.01,14.48,110.566298342541,0.83,PWD
LM_0395,2,WYZ,14.52,15.38,94.408322496749,0.65,PWD
LM_0396,2,NVX,17.62,17.64,99.8866213151927,1.54,SCHUNT
LM_0397,2,ERX,17.36,18.45,94.0921409214092,0.7,PWD
LM_0398,2,LUW,16.94,15.67,108.10465858328,1.33,SCHUNT
LM_0399,2,RVA,14.7,15.27,96.2671905697446,0.55,PWD
LM_0368,3,YQD,20.86,21.51,96.978149697815,1.29,SCHUNT
LM_0369,3,ZXG,18.06,19.22,93.9646201873049,2.3,SCHUNT
LM_0370,3,ZAD,16.62,16.25,102.276923076923,1.09,PWD
LM_0371,3,TIK,15.31,16.15,94.7987616099071,1.38,PWD
LM_0372,3,DMH,21.19,22.87,92.6541320507215,1.15,SCHUNT
LM_0373,3,IVO,23.39,25.04,93.4105431309904,1.39,SCHUNT
LM_0374,3,YRA,15.88,17.27,91.9513607411697,0.86,PWD
LM_0375,3,KZX,14.54,15.05,96.6112956810631,1.2,PWD
LM_0376,3,UTC,17.53,17.77,98.6494091164885,1.52,SCHUNT
LM_0377,3,QPC,17.28,18.02,95.8934517203108,0.91,SCHUNT
LM_0378,3,OAS,15.06,15.36,98.046875,1.25,PWD
LM_0379,3,JNY,14.23,14.8,96.1486486486487,1.35,PWD
LM_0380,3,KGF,20.81,19.82,104.994954591322,1.3,SCHUNT
LM_0381,3,OXT,15.07,14.8,101.824324324324,1.31,SCHUNT
LM_0382,3,IFB,17.58,17.96,97.8841870824053,0.7,PWD
LM_0383,3,HGR,13.84,14.04,98.5754985754986,1.06,PWD
LM_0384,3,UOP,18.79,19.28,97.4585062240664,0.97,SCHUNT
LM_0385,3,MHK,16.51,15.6,105.833333333333,1.05,SCHUNT
LM_0386,3,KVQ,16.32,16.9,96.5680473372781,0.99,PWD
LM_0387,3,SUW,12.32,14.16,87.0056497175141,0.36,PWD
LM_0388,3,SIS,21.96,22.81,96.2735642262166,1,SCHUNT
LM_0389,3,FDU,18.8,19.47,96.5588084232152,1.57,SCHUNT
LM_0390,3,LGU,16.08,16.32,98.5294117647059,1.34,PWD
LM_0391,3,CXG,14.73,15.73,93.6427209154482,1.53,PWD
LM_0392,3,WDE.1,23.54,24.31,96.8325791855204,1.19,SCHUNT
LM_0393,3,OVS,17.69,16.97,104.242781378904,1.33,SCHUNT
LM_0394,3,JTJ,16.33,14.48,112.776243093923,1.46,PWD
LM_0395,3,ETD,14.65,15.38,95.2535760728219,0.56,PWD
LM_0396,3,YXX,17.81,17.64,100.963718820862,1.71,SCHUNT
LM_0397,3,LYR,17.38,18.45,94.2005420054201,0.65,PWD
LM_0398,3,GMH,16.93,15.67,108.040842373963,1.52,SCHUNT
LM_0399,3,QFC,14.89,15.27,97.5114603798297,0.54,PWD
LM_0368,4,OZK,19.59,21.51,91.0739191073919,1.21,SCHUNT
LM_0369,4,EDH,18.49,19.22,96.2018730489074,1.82,SCHUNT
LM_0370,4,AEM,15.6,16.25,96,1.29,PWD
LM_0371,4,GNT,13.89,16.15,86.0061919504644,1.2,PWD
LM_0372,4,BKA,20.32,22.87,88.8500218627022,1.21,SCHUNT
LM_0373,4,QUT,22.78,25.04,90.9744408945687,2.17,SCHUNT
LM_0374,4,VXQ,14.91,17.27,86.3346844238564,1,PWD
LM_0375,4,FHY,12.78,15.05,84.9169435215947,2.05,PWD
LM_0376,4,QSC,16.52,17.77,92.9656724817108,1.13,SCHUNT
LM_0377,4,VMF,16.83,18.02,93.3962264150943,0.86,SCHUNT
LM_0378,4,ZKY,13.56,15.36,88.28125,1.44,PWD
LM_0379,4,QYU,13.41,14.8,90.6081081081081,1.14,PWD
LM_0380,4,WFI,20.86,19.82,105.247225025227,1.54,SCHUNT
LM_0381,4,IKU,14.81,14.8,100.067567567568,0.97,SCHUNT
LM_0382,4,YYC,17.19,17.96,95.7126948775056,0.84,PWD
LM_0383,4,AWA,13.27,14.04,94.5156695156695,0.81,PWD
LM_0384,4,RPZ,17.94,19.28,93.0497925311203,1.42,SCHUNT
LM_0385,4,VSN,16.56,15.6,106.153846153846,1.23,SCHUNT
LM_0386,4,OIN,16.28,16.9,96.3313609467456,1.24,PWD
LM_0387,4,BBQ,12.74,14.16,89.9717514124294,0.59,PWD
LM_0388,4,RHN,22.29,22.81,97.7202981148619,1.1,SCHUNT
LM_0389,4,CTL,19.08,19.47,97.9969183359014,1.35,SCHUNT
LM_0390,4,YKI,16.23,16.32,99.4485294117647,1.12,PWD
LM_0391,4,HBZ,14.68,15.73,93.3248569612206,1.26,PWD
LM_0392,4,CBB,21.16,24.31,87.0423693953106,0.82,SCHUNT
LM_0393,4,VKD.1,17.81,16.97,104.949911608721,1.91,SCHUNT
LM_0394,4,DFU,16.05,14.48,110.842541436464,1.13,PWD
LM_0395,4,LQF,14.47,15.38,94.0832249674902,0.6,PWD
LM_0396,4,CQF,17.44,17.64,98.8662131519275,1.98,SCHUNT
