,labels,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean
1,E10aSLC,0,0,0,0,0
2,E10aSZL,0,0,0,0,0
3,E10aXTF,0,0,0,0,0
4,E10aOOZ,0,0,0,0,0
5,E10aUZM,0,0,0,0,0
6,E10aSTP,0,0,0,0,0
7,E10aUGI,0,0,0,0,0
8,E10aVMB,0,0,0,0,0
9,E10aNED,0,0,0,0,0
10,E10aWDE,0,0,0,0,0
11,E10aOIK,0,0,0,0,0
12,E10aDWZ,0,0,0,0,0
13,E10aFPM,0,0,0,0,0
14,E10aTJL,0,0,0,0,0
15,E10aNLL,0,0,0,0,0
16,E10aRRD,0,0,0,0,0
17,E10aAFG,0,0,0,0,0
18,E10aBJK,0,0,0,0,0
19,E10aZTI,0,0,0,0,0
20,E10aMMQ,0,0,0,0,0
21,E10aGRR,0,0,0,0,0
22,E10aWMA,0,0,0,0,0
23,E10aJPT,0,0,0,0,0
24,E10aQHK,0,0,0,0,0
25,E10aQUW,0,0,0,0,0
26,E10aXHF,0,0,0,0,0
27,E10aCWZ,0,0,0,0,0
28,E10aZYB,0,0,0,0,0
29,E10aVXC,0,0,0,0,0
30,E10aTHK,0,0,0,0,0
31,E10aESZ,0,0,0,0,0
32,E10aGTL,0,0,0,0,0
33,E10aKVT,0,0,0,0,0
34,E10aQJO,0,0,0,0,0
35,E10aNJY,0,0,0,0,0
36,E10aQWZ,0,0,0,0,0
37,E10aZIH,0,0,0,0,0
38,E10aCZQ,0,0,0,0,0
39,E10aCBY,0,0,0,0,0
40,E10aMFI,0,0,0,0,0
41,E10aERA,0,0,0,0,0
42,E10aDBR,0,0,0,0,0
43,E10aHLL,0,0,0,0,0
44,E10aKBF,0,0,0,0,0
45,E10aWPM,0,0,0,0,0
46,E10aVYG,0,0,0,0,0
47,E10aKAJ,0,0,0,0,0
48,E10aURA,0,0,0,0,0
49,E10aCIJ,0,0,0,0,0
50,E10aOPZ,0,0,0,0,0
51,E10aGAF,0,0,0,0,0
52,E10aYHQ,0,0,0,0,0
53,E10aSHK,0,0,0,0,0
54,E10aSZV,0,0,0,0,0
55,E10aUOJ,0,0,0,0,0
56,E10aXCI,0,0,0,0,0
57,E10aSZX,0,0,0,0,0
58,E10aGBB,0,0,0,0,0
59,E10aABE,0,0,0,0,0
60,E10aWYZ,0,0,0,0,0
61,E10aNVX,0,0,0,0,0
62,E10aERX,0,0,0,0,0
63,E10aLUW,0,0,0,0,0
64,E10aRVA,0,0,0,0,0
65,E10aYQD,0,0,0,0,0
66,E10aZXG,0,0,0,0,0
67,E10aZAD,0,0,0,0,0
68,E10aTIK,0,0,0,0,0
69,E10aDMH,0,0,0,0,0
70,E10aIVO,0,0,0,0,0
71,E10aYRA,0,0,0,0,0
72,E10aKZX,0,0,0,0,0
73,E10aUTC,0,0,0,0,0
74,E10aQPC,0,0,0,0,0
75,E10aOAS,0,0,0,0,0
76,E10aJNY,0,0,0,0,0
77,E10aKGF,0,0,0,0,0
78,E10aOXT,0,0,0,0,0
79,E10aIFB,0,0,0,0,0
80,E10aHGR,0,0,0,0,0
81,E10aUOP,0,0,0,0,0
82,E10aMHK,0,0,0,0,0
83,E10aKVQ,0,0,0,0,0
84,E10aSUW,0,0,0,0,0
85,E10aSIS,0,0,0,0,0
86,E10aFDU,0,0,0,0,0
87,E10aLGU,0,0,0,0,0
88,E10aCXG,0,0,0,0,0
89,E10aWDE.1,0,0,0,0,0
90,E10aOVS,0,0,0,0,0
91,E10aJTJ,0,0,0,0,0
92,E10aETD,0,0,0,0,0
93,E10aYXX,0,0,0,0,0
94,E10aLYR,0,0,0,0,0
95,E10aGMH,0,0,0,0,0
96,E10aQFC,0,0,0,0,0
97,E10aOZK,0,0,0,0,0
98,E10aEDH,0,0,0,0,0
99,E10aAEM,20,16,15,7,14.5
100,E10aGNT,16,18,17,23,18.5
101,E10aBKA,3,1,3,3,2.5
102,E10aQUT,3,4,2,3,3
103,E10aVXQ,7,12,7,7,8.25
104,E10aFHY,5,10,7,12,8.5
105,E10aQSC,0,2,0,0,0.5
106,E10aVMF,0,0,0,0,0
107,E10aZKY,4,5,7,4,5
108,E10aQYU,3,0,1,1,1.25
109,E10aWFI,0,0,0,0,0
110,E10aIKU,0,0,0,0,0
111,E10aYYC,0,0,0,0,0
112,E10aAWA,0,0,0,0,0
113,E10aRPZ,0,0,0,0,0
114,E10aVSN,0,0,0,0,0
115,E10aOIN,0,0,0,0,0
116,E10aBBQ,0,0,0,0,0
117,E10aRHN,0,0,0,0,0
118,E10aCTL,0,0,0,0,0
119,E10aYKI,0,0,0,0,0
120,E10aHBZ,0,0,0,0,0
121,E10aCBB,0,0,0,0,0
122,E10aVKD.1,0,0,0,0,0
123,E10aDFU,0,0,0,0,0
124,E10aLQF,0,0,0,0,0
125,E10aCQF,0,0,0,0,0
126,E10aEVY,0,0,0,0,0
127,E10aZJS,0,0,0,0,0
128,E10aSBP,0,0,0,0,0
129,E10aZGP,10,10,15,23,14.5
130,E10aKSO,4,4,5,4,4.25
131,E10aCNW,199,186,188,179,188
