labels,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,OPG
SLC,0,0,0,0,0,
SZL,0,0,0,0,0,
XTF,0,0,0,0,0,
OOZ,0,0,0,0,0,
UZM,0,0,0,0,0,
STP,0,0,0,0,0,
UGI,0,0,0,0,0,
VMB,0,0,0,0,0,
NED,0,0,0,0,0,
WDE,0,0,0,0,0,
OIK,0,0,0,0,0,
DWZ,0,0,0,0,0,
FPM,0,0,0,0,0,
TJL,0,0,0,0,0,
NLL,0,0,0,0,0,
RRD,0,0,0,0,0,
AFG,0,0,0,0,0,
BJK,0,0,0,0,0,
ZTI,0,0,0,0,0,
MMQ,0,0,0,0,0,
GRR,0,0,0,0,0,
WMA,0,0,0,0,0,
JPT,0,0,0,0,0,
QHK,0,0,0,0,0,
QUW,0,0,0,0,0,
XHF,0,0,0,0,0,
CWZ,0,0,0,0,0,
ZYB,0,0,0,0,0,
VXC,0,0,0,0,0,
THK,0,0,0,0,0,
ESZ,0,0,0,0,0,
GTL,0,0,0,0,0,
KVT,0,0,0,0,0,
QJO,0,0,0,0,0,
NJY,0,0,0,0,0,
QWZ,0,0,0,0,0,
ZIH,0,0,0,0,0,
CZQ,0,0,0,0,0,
CBY,0,0,0,0,0,
MFI,0,0,0,0,0,
ERA,0,0,0,0,0,
DBR,0,0,0,0,0,
HLL,0,0,0,0,0,
KBF,0,0,0,0,0,
WPM,0,0,0,0,0,
VYG,0,0,0,0,0,
KAJ,0,0,0,0,0,
URA,0,0,0,0,0,
CIJ,,,,,#DIV/0!,
OPZ,,,,,#DIV/0!,
GAF,,,,,#DIV/0!,
YHQ,,,,,#DIV/0!,
SHK,,,,,#DIV/0!,
SZV,,,,,#DIV/0!,
UOJ,,,,,#DIV/0!,
XCI,,,,,#DIV/0!,
SZX,,,,,#DIV/0!,
GBB,,,,,#DIV/0!,
ABE,,,,,#DIV/0!,
WYZ,,,,,#DIV/0!,
NVX,,,,,#DIV/0!,
ERX,,,,,#DIV/0!,
LUW,,,,,#DIV/0!,
RVA,,,,,#DIV/0!,
YQD,,,,,#DIV/0!,
ZXG,,,,,#DIV/0!,
ZAD,,,,,#DIV/0!,
TIK,,,,,#DIV/0!,
DMH,,,,,#DIV/0!,
IVO,,,,,#DIV/0!,
YRA,,,,,#DIV/0!,
KZX,,,,,#DIV/0!,
UTC,,,,,#DIV/0!,
QPC,,,,,#DIV/0!,
OAS,,,,,#DIV/0!,
JNY,,,,,#DIV/0!,
KGF,,,,,#DIV/0!,
OXT,,,,,#DIV/0!,
IFB,,,,,#DIV/0!,
HGR,,,,,#DIV/0!,
UOP,,,,,#DIV/0!,
MHK,,,,,#DIV/0!,
KVQ,,,,,#DIV/0!,
SUW,,,,,#DIV/0!,
SIS,,,,,#DIV/0!,
FDU,,,,,#DIV/0!,
LGU,,,,,#DIV/0!,
CXG,,,,,#DIV/0!,
WDE.1,,,,,#DIV/0!,
OVS,,,,,#DIV/0!,
JTJ,,,,,#DIV/0!,
ETD,,,,,#DIV/0!,
YXX,,,,,#DIV/0!,
LYR,,,,,#DIV/0!,
GMH,,,,,#DIV/0!,
QFC,,,,,#DIV/0!,
