"","EH_ID","dpi","labels","weight","weight_dpi0","relative_weight","feces_weight","mouse_strain","experiment"
"1","LM_0368",1,"E10bSLC",20.55,20.55,100,0.93,"SCHUNT","E10"
"2","LM_0369",1,"E10bSZL",19.86,19.86,100,2.18,"SCHUNT","E10"
"3","LM_0370",1,"E10bXTF",18.21,18.21,100,1.43,"PWD","E10"
"4","LM_0372",1,"E10bUZM",24.73,24.73,100,1.04,"SCHUNT","E10"
"5","LM_0373",1,"E10bSTP",27.22,27.22,100,1.12,"SCHUNT","E10"
"6","LM_0375",1,"E10bVMB",15.77,15.77,100,0.9,"PWD","E10"
"7","LM_0376",1,"E10bNED",18.89,18.89,100,1.3,"SCHUNT","E10"
"8","LM_0377",1,"E10bWDE",18.51,18.51,100,1.27,"SCHUNT","E10"
"9","LM_0379",1,"E10bDWZ",16.59,16.59,100,1.13,"PWD","E10"
"10","LM_0380",1,"E10bFPM",19.44,19.44,100,1.36,"SCHUNT","E10"
"11","LM_0385",1,"E10bBJK",16.83,16.83,100,1.54,"SCHUNT","E10"
"12","LM_0389",1,"E10bWMA",18.91,18.91,100,1.49,"SCHUNT","E10"
"13","LM_0392",1,"E10bQUW",28.98,28.98,100,1.63,"SCHUNT","E10"
"14","LM_0393",1,"E10bXHF",19.68,19.68,100,1.71,"SCHUNT","E10"
"15","LM_0394",1,"E10bCWZ",18.23,18.23,100,1.67,"PWD","E10"
"16","LM_0395",1,"E10bZYB",16.91,16.91,100,1.38,"PWD","E10"
"17","LM_0396",1,"E10bVXC",19.59,19.59,100,1.57,"SCHUNT","E10"
"18","LM_0397",1,"E10bTHK",20.16,20.16,100,1.81,"PWD","E10"
"19","LM_0398",1,"E10bESZ",18.42,18.42,100,1.22,"SCHUNT","E10"
"20","LM_0399",1,"E10bGTL",17.67,17.67,100,0.63,"PWD","E10"
"21","LM_0368",2,"E10bKVT",20.26,20.55,98.5888077858881,1.88,"SCHUNT","E10"
"22","LM_0369",2,"E10bQJO",19.21,19.86,96.7270896273918,1.24,"SCHUNT","E10"
"23","LM_0370",2,"E10bNJY",18.22,18.21,100.054914881933,1.52,"PWD","E10"
"24","LM_0372",2,"E10bZIH",23.62,24.73,95.5115244642135,0.69,"SCHUNT","E10"
"25","LM_0373",2,"E10bCZQ",26.58,27.22,97.6487876561352,1.39,"SCHUNT","E10"
"26","LM_0375",2,"E10bMFI",16.12,15.77,102.219403931516,0.99,"PWD","E10"
"27","LM_0376",2,"E10bERA",19.55,18.89,103.493912122816,1.51,"SCHUNT","E10"
"28","LM_0377",2,"E10bDBR",18.22,18.51,98.4332793084819,1.22,"SCHUNT","E10"
"29","LM_0379",2,"E10bKBF",16.32,16.59,98.372513562387,1.01,"PWD","E10"
"30","LM_0380",2,"E10bWPM",19.16,19.44,98.559670781893,1.07,"SCHUNT","E10"
"31","LM_0385",2,"E10bOPZ",16.51,16.83,98.0986333927511,1.76,"SCHUNT","E10"
"32","LM_0389",2,"E10bSZV",19.42,18.91,102.69698572184,1.64,"SCHUNT","E10"
"33","LM_0392",2,"E10bSZX",28.39,28.98,97.9641131815045,1.88,"SCHUNT","E10"
"34","LM_0393",2,"E10bGBB",19.48,19.68,98.9837398373984,1.42,"SCHUNT","E10"
"35","LM_0394",2,"E10bABE",18.29,18.23,100.3291278113,1.45,"PWD","E10"
"36","LM_0395",2,"E10bWYZ",16.96,16.91,100.295683027794,1.19,"PWD","E10"
