Sample name (Ivet),EH_ID,infection_history,primary_infection,challenge_infection,Gene expr IL-33,Gene expr MCP-1
E17 Eimeria PEM N1,LM0401,UNI:UNI,UNI,UNI,4.09,1.037
E17 Eimeria PEM N2,LM0425,UNI:UNI,UNI,UNI,3.449,1.039
E17 Eimeria PEM N3,LM0430,UNI:UNI,UNI,UNI,3.004,0.4382
E17 Eimeria PEM E2,LM0404,E64:E64,E64,E64,10.56,2.064
E17 Eimeria PEM E3,LM0410,E64:E64,E64,E64,11.29,4.669
E17 Eimeria PEM E4,LM0431,E64:E64,E64,E64,6.073,0.6167
E17 Eimeria PEM E5,LM0408,E64:E88,E64,E88,4.627,0.2229
E17 Eimeria PEM E6,LM0411,E64:E88,E64,E88,8.878,1.299
E17 Eimeria PEM E7,LM0417,E64:E88,E64,E88,0.9631,0.4343
E17 Eimeria PEM E8,LM0422,E64:E88,E64,E88,2.371,0.1873
E17 Eimeria PEM E9,LM0413,E64:UNI,E64,UNI,10.54,1.905
E17 Eimeria PEM E10,LM0424,E64:UNI,E64,UNI,6.657,1.567
E17 Eimeria PEM E11,LM0420,E88:E88,E88,E88,3.202,0.752
E17 Eimeria PEM E12,LM0428,E88:E64,E88,E64,8.186,0.7176
E17 Eimeria PEM E13,LM0415,UNI:E64,UNI,E64,3.201,0.5054
E17 Eimeria PEM E14,LM0426,E88:UNI,E88,UNI,3.339,2.597
E17 Eimeria PEM E15,LM0402,UNI:E64,UNI,E64,2.655,1.915
E17 Eimeria PEM E16,LM0412,UNI:E64,UNI,E88,3.699,0.7902
E17 Eimeria PEM E17,LM0407,UNI:E88,UNI,E64,3.328,2.65
