labels;oocyst_sq1;oocyst_sq2;oocyst_sq3;oocyst_sq4;batch
KRW;50;42;44;52;a
CPT;18;15;25;13;a
BHT;0;1;0;0;a
RWZ;5;4;2;4;a
EGM;7;11;11;10;a
KOX;1;0;1;1;a
MOR;10;6;12;12;a
JSX;5;2;6;6;a
EWZ;0;0;0;0;a
CDE;5;2;11;7;a
BRT;0;0;3;3;a
JOR;12;18;16;20;a
DJZ;32;21;33;21;a
BPQ;112;140;117;163;a
LMP;0;0;0;0;a
QSZ;0;0;0;0;a
DNW;0;0;0;0;a
AHT;0;0;0;0;a
NPS;32;36;28;37;a
BJZ;16;15;14;25;a
BGZ;1;2;3;2;a
FOW;3;2;7;8;a
QRZ;0;0;0;0;a
GJU;3;2;5;1;a
IJT;0;0;0;0;a
BFS;0;0;0;0;a
APV;0;0;0;0;a
FIT;0;0;0;0;a
GIW;1;2;0;2;a
EIU;2;2;2;1;a
MNT;11;9;15;12;a
DHM;39;25;35;26;a
RVX;0;0;0;0;a
DGL;0;0;0;0;a
BDP;32;22;27;34;a
NOR;47;43;45;50;a
EHT;0;0;0;0;a
ABO;41;34;43;36;a
JMQ;20;13;15;23;a
KQR;0;0;0;0;a
GIN;0;0;0;0;a
ADR;0;0;0;0;a
QRT;28;12;27;20;a
JLU;44;34;46;53;a
KRW;0;0;0;0;a
CMU;0;0;0;0;a
NRS;0;0;0;0;a
HMV;0;0;0;0;a
TVX;0;0;0;0;a
HOU;11;19;8;11;a
LWX;0;0;0;0;a
DFJ;34;24;23;32;a
BEG;0;0;0;0;a
OTW;2;0;7;0;a
CUW;33;81;57;64;a
IOW;15;11;8;14;a
CLO;0;0;0;0;a
ASW;2;1;0;3;a
CFM;1;0;1;0;a
KQS;0;0;0;0;a
HJU;7;9;19;8;a
DOX;0;0;0;0;a
PSW;0;0;0;0;a
CLS;0;0;0;0;a
AHU;0;0;0;0;a
ORY;0;0;0;0;a
LUV;22;26;28;17;a
AHX;0;0;0;0;a
SVZ;26;9;23;22;a
KYZ;9;9;10;11;a
JOT;9;12;18;20;a
HPY;7;8;7;11;a
ERS;0;0;0;0;a
BKP;0;0;0;0;a
VXY;0;0;0;0;a
HKY;47;43;43;31;a
HIM;27;22;38;36;a
OWZ;0;1;4;1;a
IKT;0;0;0;0;a
AHQ;0;0;0;0;a
ABU;0;0;0;0;a
SVX;0;0;0;0;a
AJL;1;3;1;2;a
JRZ;13;7;14;9;a
JNO;0;0;0;0;a
QRV;3;2;5;5;a
LTW;0;0;0;0;a
BMS;0;0;0;0;a
BRY;0;0;0;0;a
FGU;2;3;2;6;a
DWX;15;20;13;25;a
KRX;0;0;0;0;a
HLW;0;0;0;0;a
ACM;1;2;1;1;a
CJK;0;0;0;0;a
OTV;0;0;0;0;a
FRP;0;0;0;0;a
STU;0;0;0;0;a
LPX;0;0;0;0;a
AKV;0;0;0;0;a
ALR;0;0;0;0;a
DOS;0;0;0;0;a
PUY;0;0;0;0;a
GPU;0;0;0;0;a
DEI;0;0;0;0;a
IJQ;0;0;0;0;a
DMX;0;0;0;0;a
AOV;0;0;0;0;a
CEP;0;0;0;0;a
JUZ;3;1;2;4;a
DRS;2;2;4;1;a
CLR;0;0;0;0;a
DFT;0;0;0;0;a
JNW;0;0;0;0;a
BDG;0;0;0;0;a
RUY;0;0;0;0;a
BCJ;0;0;0;0;a
DHU;0;0;0;0;a
NST;0;0;0;0;a
AEO;0;0;0;0;a
EHQ;0;0;0;0;a
APU;0;0;0;0;a
BDI;0;0;0;0;a
ELR;0;0;0;0;a
ATV;0;1;0;0;a
HOV;0;0;0;0;a
BCV;0;0;0;0;a
LQS;0;0;0;0;a
CFU;0;0;0;0;a
DHT;0;0;0;0;a
CDF;0;0;0;0;a
FOX;0;0;0;0;a
EIX;0;0;0;0;a
AHJ;0;0;0;0;a
JMP;0;0;0;0;a
AXY;0;0;0;0;a
IMS;0;0;0;0;a
AQT;0;0;0;0;a
QTV;0;0;0;0;a
BRZ;0;0;0;0;a
DPY;0;0;0;0;a
CMO;0;0;0;0;a
KQY;0;0;0;0;a
HLX;0;0;0;0;a
DOY;0;0;0;0;a
CFY;0;0;0;0;a
DJT;0;0;0;0;a
BGU;0;0;0;0;a
LMN;0;0;0;0;a
GWX;0;0;0;0;a
NVZ;0;0;0;0;a
EHL;0;0;0;0;a
ARX;0;0;0;0;a
LWY;0;0;0;0;a
KLX;0;0;0;0;a
