labels,EH_ID,dpi,weight,weight_dpi0,relative_weight,feces_weight,dpi_dissect
E11aDOY,LM0400,1,15.59,15.96,97.6817042606516,0.64,
E11aCFJ,LM0404,1,15.64,16.48,94.9029126213592,0.43,
E11aDJT,LM0410,1,16.29,16.98,95.9363957597173,0.66,
E11aBGU,LM0431,1,18.26,18.85,96.8700265251989,1.3,
E11aLMN,LM0408,1,15.19,15.42,98.5084306095979,0.66,
E11aGWX,LM0411,1,14.8,15.9,93.0817610062893,0.67,
E11aNVZ,LM0417,1,23.95,23.38,102.437981180496,1.34,
E11aEHL,LM0422,1,13.81,14.43,95.7033957033957,0.85,
E11aARX,LM0413,1,20.78,21.88,94.9725776965265,1.25,
E11aLWY,LM0424,1,16.16,16.11,100.310366232154,0.87,
E11aKLX,LM0427,1,14.37,14.5,99.1034482758621,0.59,
E11aHLR,LM0405,1,14.7,14.67,100.204498977505,0.92,
E11aERT,LM0420,1,18.02,18.05,99.8337950138504,0.45,
E11aEPT,LM0423,1,14.56,14.77,98.5781990521327,1.12,
E11aDOQ,LM0428,1,21.44,21.42,100.093370681606,0.47,
E11aBLT,LM0429,1,17.26,17.18,100.46565774156,0.74,
E11aCFU,LM0403,1,15.48,15.12,102.380952380952,0.63,
E11aDHT,LM0414,1,17.51,17.97,97.4401780745687,0.76,
E11aCDF,LM0418,1,20.09,20.59,97.5716367168528,0.68,
E11aFOX,LM0419,1,21.95,21.31,103.003284842797,1.07,
E11aEIX,LM0409,1,17.78,17.89,99.3851313583007,1.22,
E11aAHJ,LM0416,1,13.91,13.45,103.420074349442,0.74,
E11aDPY,LM0426,1,24.44,24.21,100.950020652623,0.39,
E11aCMO,LM0402,1,17.7,19.52,90.6762295081967,0.68,
E11aJMP,LM0412,1,23.37,23.57,99.1514637250743,1.71,
E11aAXY,LM0421,1,17.88,16.71,107.001795332136,1.48,
E11aIMS,LM0406,1,18.43,18.5,99.6216216216216,1.54,
E11aAQT,LM0407,1,22.71,23.58,96.3104325699746,1.26,
E11aAEO,LM0415,1,20.78,20.99,98.9995235826584,1.29,
E11aNST,LM0401,1,20.12,20.22,99.5054401582592,0.46,
E11aBCJ,LM0425,1,16.25,16.13,100.743955362678,1.28,
E11aDHU,LM0430,1,26.31,26.25,100.228571428571,0.85,
E11aESV,LM0400,2,17.28,17.96,96.2138084632517,1.24,
E11aBTZ,LM0404,2,15.73,16.48,95.4490291262136,0.66,
E11aAHO,LM0410,2,16.88,16.98,99.4110718492344,1.17,
E11aELP,LM0431,2,18.09,18.85,95.9681697612732,1.37,
E11aDLP,LM0408,2,14.76,15.42,95.7198443579767,0.84,
E11aLOP,LM0411,2,14.86,15.9,93.4591194968553,1.36,
E11aIJZ,LM0417,2,24.43,23.38,104.491017964072,1.5,
E11aEUX,LM0422,2,13.82,14.43,95.7726957726958,0.78,
E11aCEO,LM0413,2,21.13,21.88,96.5722120658135,1.39,
E11aBMW,LM0424,2,16.15,16.11,100.248292985723,0.93,
E11aBQT,LM0427,2,14.72,14.5,101.51724137931,0.88,
E11aMOW,LM0405,2,14.3,14.67,97.4778459441036,0.83,
E11aEKP,LM0420,2,18.09,18.05,100.221606648199,0.43,
E11aBVY,LM0423,2,14.76,14.77,99.9322951929587,1.35,
E11aGMS,LM0428,2,21.56,21.42,100.653594771242,0.46,
E11aDKV,LM0429,2,17.02,17.18,99.0686845168801,0.61,
E11aMTW,LM0403,2,14.75,15.12,97.5529100529101,1.15,
E11aFNU,LM0414,2,16.76,17.97,93.2665553700612,1.01,
E11aHKN,LM0418,2,19.8,20.59,96.1631860126275,0.7,
E11aCDW,LM0419,2,22.08,21.31,103.61332707649,0.95,
E11aBIT,LM0409,2,17.76,17.89,99.27333705981,1.39,
E11aCNW,LM0416,2,15.67,13.45,116.505576208178,1.12,
E11aHRU,LM0426,2,23.77,24.21,98.1825691862867,0.4,
E11aNOY,LM0402,2,18.62,19.52,95.3893442622951,0.8,
E11aAJO,LM0412,2,23.64,23.57,100.296987696224,1.53,
E11aJOX,LM0421,2,17.74,16.71,106.163973668462,0.94,
E11aEGV,LM0406,2,17.52,18.5,94.7027027027027,1.54,
E11aBWZ,LM0407,2,22.41,23.58,95.0381679389313,0.89,
