labels,EH_ID,dpi,weight,weight_dpi0,relative_weight,feces_weight,dpi_dissect
E11bCES,LM0400,1,,,,,
E11bACW,LM0404,1,,,,,
E11bITU,LM0410,1,,,,,
E11bIKX,LM0431,1,,,,,
E11bEFN,LM0408,1,,,,,
E11bHKS,LM0411,1,,,,,
E11bDGZ,LM0417,1,,,,,
E11bEJV,LM0422,1,,,,,
E11bEIJ,LM0413,1,,,,,
E11bIUX,LM0424,1,,,,,
E11bDOQ,LM0427,1,,,,,
E11bGHN,LM0405,1,,,,,
E11bDLV,LM0420,1,,,,,
E11bFLZ,LM0423,1,,,,,
E11bLPU,LM0428,1,,,,,
E11bHUY,LM0429,1,,,,,
E11bHMY,LM0403,1,,,,,
E11bQSV,LM0414,1,,,,,
E11bIKP,LM0418,1,,,,,
E11bFGU,LM0419,1,,,,,
E11bBNS,LM0409,1,,,,,
E11bBDZ,LM0416,1,,,,,
E11bBOT,LM0426,1,,,,,
E11bCFI,LM0402,1,,,,,
E11bACT,LM0412,1,,,,,
E11bHOV,LM0421,1,,,,,
E11bNTX,LM0406,1,,,,,
E11bISU,LM0407,1,,,,,
E11bAIY,LM0415,1,,,,,
E11bJSX,LM0401,1,,,,,
E11bEQW,LM0425,1,,,,,
E11bKSV,LM0430,1,,,,,
E11bAMQ,LM0400,2,,,,,
E11bIVZ,LM0404,2,,,,,
E11bHKO,LM0410,2,,,,,
E11bHOQ,LM0431,2,,,,,
E11bKMS,LM0408,2,,,,,
E11bAOW,LM0411,2,,,,,
E11bGHL,LM0417,2,,,,,
E11bMRU,LM0422,2,,,,,
E11bLTX,LM0413,2,,,,,
E11bEMO,LM0424,2,,,,,
E11bANS,LM0427,2,,,,,
E11bOPU,LM0405,2,,,,,
E11bGJM,LM0420,2,,,,,
E11bCPU,LM0423,2,,,,,
E11bFIL,LM0428,2,,,,,
E11bBSW,LM0429,2,,,,,
E11bDOU,LM0403,2,,,,,
E11bCQZ,LM0414,2,,,,,
E11bCUV,LM0418,2,,,,,
E11bLRS,LM0419,2,,,,,
E11bDEN,LM0409,2,,,,,
E11bMUX,LM0416,2,,,,,
E11bEPW,LM0426,2,,,,,
E11bBHQ,LM0402,2,,,,,
E11bCDH,LM0412,2,,,,,
E11bEQU,LM0421,2,,,,,
E11bJPW,LM0406,2,,,,,
E11bKSX,LM0407,2,,,,,
E11bBCV,LM0415,2,,,,,
E11bHPT,LM0401,2,,,,,
E11bCOQ,LM0425,2,,,,,
E11bAFS,LM0430,2,,,,,
E11bCKM,LM0400,3,,,,,
E11bADM,LM0404,3,,,,,
E11bBOZ,LM0410,3,,,,,
E11bHNO,LM0431,3,,,,,
E11bERW,LM0408,3,,,,,
E11bJSZ,LM0411,3,,,,,
E11bBTX,LM0417,3,,,,,
E11bLSV,LM0422,3,,,,,
E11bGNV,LM0413,3,,,,,
E11bLUZ,LM0424,3,,,,,
E11bSUV,LM0427,3,,,,,
E11bGSY,LM0405,3,,,,,
E11bDEZ,LM0420,3,,,,,
E11bJMP,LM0423,3,,,,,
E11bAEY,LM0428,3,,,,,
E11bFKZ,LM0429,3,,,,,
E11bAEZ,LM0403,3,,,,,
E11bEUY,LM0414,3,,,,,
E11bFJU,LM0418,3,,,,,
E11bEOW,LM0419,3,,,,,
E11bDIV,LM0409,3,,,,,
E11bIJV,LM0416,3,,,,,
E11bBPQ,LM0426,3,,,,,
E11bDIP,LM0402,3,,,,,
E11bDHJ,LM0412,3,,,,,
E11bJLQ,LM0421,3,,,,,
E11bEGI,LM0406,3,,,,,
E11bLWX,LM0407,3,,,,,
E11bBKM,LM0415,3,,,,,
E11bDRS,LM0401,3,,,,,
E11bKLS,LM0425,3,,,,,
E11bKOX,LM0430,3,,,,,
E11bBNQ,LM0400,4,,,,,
E11bFKQ,LM0404,4,,,,,
E11bHKX,LM0410,4,,,,,
E11bBEZ,LM0431,4,,,,,
E11bJNW,LM0408,4,,,,,
E11bDGN,LM0411,4,,,,,
