;Temperature;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11
;65;4021,50893111664;2461,28019483349;4267,24146295476;3639,36327117791;3790,83761635742;3657,6183843661;3273,7562444475;3015,3785164954;2961,44790086383;2764,09554295939;2300,00154142109;4254,22397978562;2894,28691792095;4466,02311112895;3866,23807900351;4103,53910608681;4211,6859800654;3627,74785031765;3307,28848374004;3080,98410029452;2851,73841786625;2231,24173896585;2421,57475245984;2444,71193584744;3493,50650315195;3546,26161031766;3869,21333081896;3925,26467605191;3808,15848314223;3519,09377823958;3178,48137782727;3015,10726614032;2271,98099893493;4228,86592621396;3372,95338916326;3385,83800585795;3631,80911488536;3047,94439141092;4013,97651723569;3832,42154670632;3683,86360226358;3317,39577693521;3065,34010840241;2262,96413520097;4684,99151122678;4472,70912777959;4693,6181899876;4248,01500509599;4985,72725706312;4449,38566844183;4041,2026900289;3684,93249898415;3376,86645062404;3107,19669281833;2301,97964590862;4606,05494323483;4735,07492202538;4399,80091652473;4190,77894066608;4884,59655180745;4330,12049374984;4145,61062085091;3780,76285346962;3407,25454077312;3118,38383014396;2299,52315198206;4478,81998406927;4023,17482890274;4645,42450669643;4353,10800538895;4562,91236657199;4510,44837170828;3944,05332211921;3524,20876750613;3358,70048682225;3087,56693110128;2338,80861401688;4241,7120360126;3680,31305181928;4637,99800196486;4160,85510598882;4341,80119179034;4403,46045941458;4022,06365233551;3581,78122977073;3304,34014621743;3018,29962936066;2345,33755810233
;65,5;4001,38634966291;2460,8075693466;4266,36522952358;3635,86226723448;3801,67502077095;3654,70842556906;3271,72258110381;3011,83533935996;2957,96317053716;2759,80027390909;2298,56632678219;4225,40824680354;2884,96693356585;4447,91258401172;3847,61341603106;4115,27497959104;4223,13503842116;3634,96580058822;3308,52538686113;3078,86101151231;2849,14787599009;2230,20124049382;2421,17585711293;2444,59938833155;3474,32809690805;3532,58263759691;3858,32974143988;3924,13733640349;3815,10638610074;3522,56273376693;3177,91985224864;3012,87622758719;2273,2188599949;4208,07502627669;3354,42181780763;3368,58957902099;3618,55177370027;3038,60488681912;4009,02862194215;3836,83473312897;3690,00788125991;3318,3973676639;3065,11535918937;2264,2889102528;4661,10264667278;4440,42866063677;4666,19459926835;4226,63558973052;4974,93927281985;4450,36670213474;4049,83850500173;3689,26097735301;3375,7422119498;3107,60035210221;2303,47543690504;4581,16385152361;4701,4234611391;4374,68199110352;4170,43527668091;4875,78612510871;4331,86887012692;4154,45376093105;3784,24231905795;3406,75669880994;3116,16016551139;2302,22845456752;4458,19578546229;4005,42539177013;4619,1361107979;4326,67862063109;4571,19347860988;4514,24524559034;3953,08867725295;3527,98988125642;3358,51098424181;3085,87852007211;2340,61495217425;4228,10785428988;3667,06301571667;4626,79866705913;4151,09787638272;4357,63489914225;4407,30100448804;4020,88740743457;3578,72502032743;3298,18851472574;3013,89856171015;2347,20707015245
;66;3981,26376820919;2460,3349438597;4265,48899609239;3632,36126329105;3812,51242518449;3651,79846677201;3269,68891776011;3008,29216222452;2954,4784402105;2755,50500485879;2297,13111214329;4196,59251382145;2875,64694921075;4429,8020568945;3828,98875305861;4127,01085309528;4234,58409677692;3642,18375085879;3309,76228998222;3076,7379227301;2846,55733411393;2229,16074202178;2420,77696176602;2444,48684081567;3455,14969066415;3518,90366487616;3847,4461520608;3923,00999675508;3822,05428905926;3526,03168929428;3177,35832667001;3010,64518903405;2274,45672105487;4187,28412633943;3335,89024645201;3351,34115218403;3605,29443251518;3029,26538222731;4004,08072664861;3841,24791955161;3696,15216025624;3319,39895839259;3064,89060997633;2265,61368530462;4637,21378211878;4408,14819349394;4638,77100854909;4205,25617436505;4964,15128857658;4451,34773582765;4058,47431997457;3693,58945572187;3374,61797327556;3108,0040113861;2304,97122790147;4556,27275981239;4667,77200025282;4349,56306568231;4150,09161269574;4866,97569840997;4333,61724650401;4163,29690101119;3787,72178464627;3406,25885684677;3113,93650087883;2304,93375715299;4437,57158685531;3987,67595463752;4592,84771489937;4300,24923587324;4579,47459064778;4518,04211947239;3962,12403238669;3531,77099500672;3358,32148166137;3084,19010904294;2342,42129033161;4214,50367256715;3653,81297961406;4615,59933215339;4141,34064677662;4373,46860649415;4411,14154956151;4019,71116253362;3575,66881088413;3292,03688323406;3009,49749405964;2349,07658220256
;66,5;3961,14118675546;2459,86231837281;4264,61276266121;3628,86025934762;3823,34982959803;3648,88850797496;3267,65525441641;3004,74898508908;2950,99370988383;2751,20973580849;2295,69589750439;4167,77678083937;2866,32696485566;4411,69152977727;3810,36409008616;4138,74672659951;4246,03315513268;3649,40170112936;3310,99919310331;3074,6148339479;2843,96679223777;2228,12024354975;2420,37806641911;2444,37429329978;3435,97128442025;3505,22469215541;3836,56256268172;3921,88265710666;3829,00219201778;3529,50064482163;3176,79680109137;3008,41415048091;2275,69458211484;4166,49322640217;3317,35867509638;3334,09272534708;3592,03709133009;3019,92587763551;3999,13283135507;3845,66110597425;3702,29643925258;3320,40054912128;3064,66586076328;2266,93846035645;4613,32491756478;4375,86772635111;4611,34741782984;4183,87675899958;4953,36330433331;4452,32876952056;4067,1101349474;3697,91793409073;3373,49373460133;3108,40767066998;2306,46701889789;4531,38166810117;4634,12053936654;4324,44414026109;4129,74794871057;4858,16527171124;4335,36562288109;4172,14004109133;3791,20125023459;3405,76101488359;3111,71283624626;2307,63905973845;4416,94738824834;3969,92651750491;4566,55931900084;4273,81985111538;4587,75570268567;4521,83899335444;3971,15938752043;3535,55210875702;3358,13197908093;3082,50169801377;2344,22762848898;4200,89949084442;3640,56294351144;4604,39999724765;4131,58341717051;4389,30231384606;4414,98209463497;4018,53491763268;3572,61260144083;3285,88525174238;3005,09642640912;2350,94609425268
;67;3941,01860530173;2459,38969288591;4263,73652923002;3625,35925540419;3834,18723401157;3645,97854917791;3265,62159107271;3001,20580795363;2947,50897955716;2746,91446675819;2294,26068286549;4138,96104785728;2857,00698050056;4393,58100266005;3791,73942711371;4150,48260010374;4257,48221348845;3656,61965139993;3312,2360962244;3072,49174516569;2841,37625036162;2227,07974507772;2419,9791710722;2444,26174578389;3416,79287817635;3491,54571943467;3825,67897330265;3920,75531745825;3835,9500949763;3532,96960034898;3176,23527551274;3006,18311192777;2276,93244317482;4145,7023264649;3298,82710374076;3316,84429851012;3578,779750145;3010,5863730437;3994,18493606153;3850,07429239689;3708,44071824891;3321,40213984997;3064,44111155024;2268,26323540827;4589,43605301078;4343,58725920829;4583,92382711058;4162,49734363412;4942,57532009003;4453,30980321347;4075,74594992023;3702,24641245959;3372,36949592709;3108,81132995386;2307,96280989432;4506,49057638994;4600,46907848026;4299,32521483988;4109,40428472539;4849,3548450125;4337,11399925817;4180,98318117147;3794,68071582292;3405,26317292042;3109,48917161369;2310,34436232392;4396,32318964136;3952,1770803723;4540,2709231023;4247,39046635752;4596,03681472357;4525,63586723649;3980,19474265417;3539,33322250731;3357,94247650048;3080,8132869846;2346,03396664634;4187,2953091217;3627,31290740883;4593,20066234191;4121,82618756441;4405,13602119796;4418,82263970843;4017,35867273173;3569,55639199753;3279,7336202507;3000,69535875861;2352,8156063028
;67,5;3920,89602384801;2458,91706739901;4262,86029579886;3621,85825146077;3845,0246384251;3643,0685903809;3263,58792772898;2997,66263081815;2944,0242492305;2742,6191977079;2292,82546822658;4110,14531487519;2847,68699614547;4375,47047554279;3773,11476414127;4162,2184736079;4268,93127184425;3663,83760167046;3313,47299934552;3070,36865638344;2838,78570848547;2226,0392466057;2419,58027572528;2444,14919826803;3397,61447193245;3477,86674671393;3814,79538392353;3919,62797780986;3842,8979979348;3536,43855587636;3175,67374993407;3003,95207337465;2278,1703042348;4124,91142652766;3280,29553238509;3299,59587167317;3565,52240895987;3001,24686845186;3989,23704076806;3854,48747881956;3714,58499724523;3322,40373057868;3064,21636233725;2269,58801046006;4565,54718845679;4311,30679206552;4556,50023639134;4141,11792826868;4931,78733584679;4454,2908369064;4084,38176489307;3706,57489082845;3371,24525725284;3109,21498923778;2309,45860089076;4481,59948467869;4566,81761759398;4274,20628941868;4089,06062074032;4840,54441831368;4338,86237563534;4189,8263212516;3798,16018141127;3404,76533095729;3107,26550698117;2313,04966490938;4375,69899103432;3934,42764323975;4513,98252720376;4220,96108159967;4604,31792676144;4529,43274111856;3989,23009778792;3543,11433625759;3357,75297392;3079,12487595539;2347,84030480373;4173,69112739901;3614,06287130623;4582,00132743623;4112,06895795839;4420,96972854989;4422,66318478181;4016,18242783077;3566,50018255423;3273,58198875903;2996,2942911081;2354,68511835288
;68;3900,77344239428;2458,44444191212;4261,98406236768;3618,35724751734;3855,86204283864;3640,15863158385;3261,55426438528;2994,1194536827;2940,53951890384;2738,3239286576;2291,39025358768;4081,32958189311;2838,36701179038;4357,35994842557;3754,49010116882;4173,95434711213;4280,38033020001;3671,05555194103;3314,70990246661;3068,24556760124;2836,19516660932;2224,99874813367;2419,18138037837;2444,03665075214;3378,43606568855;3464,18777399318;3803,91179454446;3918,50063816145;3849,84590089331;3539,9075114037;3175,11222435544;3001,72103482152;2279,40816529477;4104,12052659039;3261,76396102947;3282,34744483621;3552,26506777478;2991,90736386006;3984,28914547452;3858,90066524221;3720,72927624156;3323,40532130737;3063,9916131242;2270,91278551189;4541,65832390279;4279,02632492269;4529,07664567208;4119,73851290321;4920,99935160351;4455,27187059931;4093,0175798659;3710,90336919731;3370,1210185786;3109,61864852166;2310,95439188718;4456,70839296747;4533,1661567077;4249,08736399747;4068,71695675515;4831,73399161494;4340,61075201242;4198,66946133174;3801,63964699959;3404,26748899411;3105,04184234861;2315,75496749484;4355,07479242734;3916,67820610714;4487,69413130523;4194,53169684182;4612,59903879934;4533,22961500061;3998,26545292166;3546,89545000788;3357,56347133956;3077,43646492622;2349,64664296109;4160,08694567628;3600,81283520361;4570,80199253049;4102,31172835228;4436,80343590179;4426,50372985527;4015,00618292983;3563,44397311093;3267,43035726735;2991,89322345759;2356,554630403
;68,5;3876,02085087266;2457,15493139714;4251,82734112872;3611,46044256733;3864,55368539439;3637,10554721481;3258,50903813016;2990,44527997039;2936,88959278723;2733,88395212361;2290,20555613709;4049,15016664149;2827,98442934474;4333,04424542091;3731,41232268895;4175,67701827983;4288,67515013717;3678,52558183642;3316,45425623398;3066,44035916889;2833,38891139838;2224,00456767605;2418,76409600264;2443,60674939832;3356,77718044593;3446,426174104;3787,24660356227;3912,25227310032;3854,99852037675;3544,02170077531;3174,47598151773;2999,55788639986;2280,4455475699;4078,31439197565;3241,83403948165;3262,87902729648;3534,1756073295;2980,39630621751;3973,17496119006;3857,62653736502;3727,44090823149;3325,19850327489;3064,15738098219;2272,50283365661;4512,92791596985;4244,11952883948;4497,31879659889;4093,15908748935;4903,24244156299;4449,31817791471;4099,73443946873;3716,22505009284;3369,79262892261;3110,46913346786;2312,69017277694;4426,69577743315;4496,86463636503;4220,53634816186;4043,35750147085;4815,05090879377;4335,68709731037;4205,85836280693;3805,79544012694;3404,33861129146;3103,17497406658;2318,28073855763;4328,92746851339;3892,91612239695;4457,20936767298;4163,40334681489;4609,85376491634;4530,78805147046;4006,04391320558;3551,49760812887;3357,37768895321;3076,31960608712;2351,4871800246;4139,97330102488;3582,47647087245;4550,24474778386;4085,44978202517;4443,86821805268;4430,60900086244;4013,69621672445;3560,38883731111;3261,20396935603;2987,47956741142;2358,35937650453
;69;3847,80614926783;2455,39126029156;4233,06589336042;3600,55676222935;3871,00108932092;3634,02613398237;3254,9627370524;2986,40898652336;2932,95173640019;2729,8739749537;2289,13297735443;4015,36395343128;2817,24977591266;4304,05268239027;3705,13766852679;4168,76648656146;4292,72844637694;3685,54399987614;3318,82332613667;3065,02354851115;2830,23585875802;2223,13510357342;2417,60841280803;2442,95364447549;3333,94089203561;3425,53770841769;3766,10877540014;3900,75026518957;3857,20695004297;3548,84276445928;3174,50337081702;2997,91846778958;2281,78816377093;4049,4624069315;3221,30406824226;3242,15693709501;3513,11878301576;2966,85210352686;3956,85549338692;3850,63447967774;3734,23045950339;3327,56960449798;3064,4795154293;2273,81604547956;4481,54112033191;4207,99744833281;4463,18358315455;4063,08914372319;4879,72346069758;4437,0235084641;4102,74764640245;3721,40933777774;3369,97216824778;3111,33438346421;2314,58227159874;4393,68372735333;4459,32213816577;4190,20951096616;4014,48228373275;4792,0382943056;4324,55451664488;4210,15517400937;3810,68860554909;3404,92025044634;3101,64130826114;2320,39811082927;4298,51324932973;3865,58403800415;4424,18993502886;4129,13498612441;4598,15692866779;4521,5801596592;4011,3871680025;3556,69715815981;3357,71455235627;3075,21171149217;2353,09134950569;4114,55016370354;3560,30801619305;4522,63431909863;4062,30461272028;4441,7751293472;4434,21536486944;4011,89517556257;3557,63998004662;3254,88597918286;2983,17015874469;2360,2667491211
;69,5;3817,72720845512;2453,57127037331;4208,34653505681;3585,16410692113;3874,91848314322;3631,29407352234;3250,80332994085;2982,17112023783;2928,65076422156;2725,82292301157;2287,99355244141;3980,7966648199;2805,72092266349;4272,97908710464;3677,32462479339;4154,86648209704;4291,40750414114;3692,09189982541;3321,90132118834;3063,76989156629;2826,50173139481;2222,31988709459;2416,50584439231;2442,25210161149;3311,0255890081;3402,51979866202;3741,62991145239;3884,60086431124;3855,92382663615;3553,3975580493;3175,11759541228;2995,79749592709;2283,39501783832;4018,44566507897;3200,45564886871;3220,78381088986;3490,45196769356;2951,32265614303;3936,62811490535;3838,69082016302;3739,5147271058;3330,23222855603;3065,15005749316;2275,0703018419;4448,58797591032;4170,88535683087;4427,27678651028;4031,43345674816;4853,10291644952;4419,90881903532;4100,915521064;3725,42097847077;3371,23119904871;3112,50119538956;2316,36652824637;4359,1990394015;4421,14797847409;4158,46800471927;3983,74178182235;4765,12101107975;4308,77086133714;4210,19360600299;3815,17176060564;3405,64079521982;3100,72872578862;2322,29180109573;4265,30063075103;3835,94831016313;4389,41837232795;4093,28449541691;4579,14743596447;4506,64800969162;4013,23934826388;3561,83410996715;3358,10301671705;3074,27434365532;2355,24920994247;4085,33703543463;3535,9658693775;4490,34648736381;4034,51991158276;4430,66094697798;4436,43903291667;4009,92201451705;3554,40003816456;3248,79851564124;2978,5538647318;2361,63572295549
