;Data Set;Target;Sample;Ctrl;Relative Quantity;Relative Quantity SD;Corrected Relative Quantity SD;Relative Quantity SEM;Corrected Relative Quantity SEM;Unscaled Expression;Unscaled Expression SD;Corrected Unscaled Expression SD;Unscaled Expression SEM;Corrected Unscaled Expression SEM;Expression;Expression SD;Corrected Expression SD;Expression SEM;Corrected Expression SEM;Wells;Mean Cq;Cq SD;Cq SEM
;1-SYBR;CDC42;MouseCaecum1;;0,115561713162052;0,0490420748617552;0,0490420748617552;0,0346779836982054;0,0346779836982054;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;2;25,8232543590035;0,612250859406547;0,432926734473661
;1-SYBR;CDC42;MouseCaecum2;;0,0580239311399831;0,0087083617716896;0,0087083617716896;0,00615774166178741;0,00615774166178741;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;2;26,817197908615;0,21652290865943;0,153104816995318
;1-SYBR;CDC42;MouseCaecum3;;0,0337711653084545;0,000170883220209345;0,000170883220209345;0,000120832683801022;0,000120832683801022;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;2;27,5980539886488;0,0073000849131327;0,00516193954531374
;1-SYBR;CDC42;MouseCaecum4;;1;0,572366894353376;0,572366894353376;0,404724512323956;0,404724512323956;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;2;22,7099897607401;0,825750880052633;0,583894046855976
;1-SYBR;CXCL9;MouseCaecum1;;0,0918111967711568;0;0;0;0;0,308845785000939;0,0565912825979647;0,0565912825979647;0,0565912825979647;0,0565912825979647;0,308845785000939;0,0565912825979647;0,0565912825979647;0,0565912825979647;0,0565912825979647;1;29,9255929365635;0;0
;1-SYBR;CXCL9;MouseCaecum2;;0,348840183731871;0,0355094288338935;0,0355094288338935;0,0251089579245072;0,0251089579245072;10,2061199315551;1,3982484142594;1,3982484142594;0,988710935506156;0,988710935506155;10,2061199315551;1,3982484142594;1,3982484142594;0,988710935506156;0,988710935506155;2;27,9997687117566;0,14685600820241;0,103842879257911
;1-SYBR;CXCL9;MouseCaecum3;;0,0322429902533099;0,0045612071952277;0,0045612071952277;0,00322526053814238;0,00322526053814238;16,9985642623897;3,00220895497867;3,00220895497867;2,1228823106044;2,1228823106044;16,9985642623897;3,00220895497867;3,00220895497867;2,1228823106044;2,1228823106044;2;31,4352774964837;0,204088732134469;0,144312526456048
;1-SYBR;CXCL9;MouseCaecum4;;1;0,471632319062778;0,471632319062778;0,333494411036028;0,333494411036028;1;0,55953856559822;0,55953856559822;0,395653514069895;0,395653514069895;1;0,55953856559822;0,55953856559822;0,395653514069895;0,395653514069895;2;26,4804068540355;0,680421607834831;0,481130732965863
;1-SYBR;IFN-g;MouseCaecum1;;0,624071687277424;0,259619261235773;0,259619261235773;0,183578540146457;0,183578540146457;2,09932902448133;0,954302023719499;0,954302023719499;0,674793432272103;0,674793432272103;2,09932902448133;0,954302023719499;0,954302023719499;0,674793432272103;0,674793432272103;2;29,2108561483433;0,600173711353777;0,424386901188154
;1-SYBR;IFN-g;MouseCaecum2;;0,205125093495978;0,0838883143915034;0,0838883143915034;0,0593179959685411;0,0593179959685411;6,00140523604516;2,51527757160962;2,51527757160962;1,77856982745159;1,77856982745159;6,00140523604516;2,51527757160962;2,51527757160962;1,77856982745159;1,77856982745159;2;30,816063918386;0,590007068850058;0,417197999331874
