;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A01;SYBR;CXCL9;Unkn;MouseCaecum1;;n. def.;0;0;n. def.;n. def.;0;0;60;
;A02;SYBR;IL-10;Unkn;MouseCaecum1;;29,2806571454761;29,2806571454761;0;n. def.;n. def.;n. def.;0;60;
;A03;SYBR;IL-12;Unkn;MouseCaecum1;;31,2462839456901;31,2462839456901;0;n. def.;n. def.;n. def.;0;60;
;A04;SYBR;IL-6;Unkn;MouseCaecum1;;28,5621952767226;28,5621952767226;0;n. def.;n. def.;n. def.;0;60;
;A05;SYBR;IFN-g;Unkn;MouseCaecum1;;28,7864692471551;28,7864692471551;0;n. def.;n. def.;n. def.;0;60;
;A06;SYBR;STAT6;Unkn;MouseCaecum1;;24,3589797715219;24,3589797715219;0;n. def.;n. def.;n. def.;0;60;
;A07;SYBR;TGF-b;Unkn;MouseCaecum1;;24,060292072447;24,060292072447;0;n. def.;n. def.;n. def.;0;60;
;A08;SYBR;Ppia;Unkn;MouseCaecum1;;15,4097387021162;15,4097387021162;0;n. def.;n. def.;n. def.;0;60;
;A09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;;17,6248952670071;17,6248952670071;0;n. def.;n. def.;n. def.;0;60;
;A10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;;26,2561810934771;26,2561810934771;0;n. def.;n. def.;n. def.;0;60;
;A11;SYBR;;Neg Ctrl;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;B01;SYBR;CXCL9;Unkn;MouseCaecum1;;29,9255929365635;29,9255929365635;0;n. def.;n. def.;n. def.;0;60;
;B02;SYBR;IL-10;Unkn;MouseCaecum1;;30,2181717205626;30,2181717205626;0;n. def.;n. def.;n. def.;0;60;
;B03;SYBR;IL-12;Unkn;MouseCaecum1;;32,3586989029434;32,3586989029434;0;n. def.;n. def.;n. def.;0;60;
;B04;SYBR;IL-6;Unkn;MouseCaecum1;;28,8327297668671;28,8327297668671;0;n. def.;n. def.;n. def.;0;60;
;B05;SYBR;IFN-g;Unkn;MouseCaecum1;;29,6352430495314;29,6352430495314;0;n. def.;n. def.;n. def.;0;60;
;B06;SYBR;STAT6;Unkn;MouseCaecum1;;24,3875798688599;24,3875798688599;0;n. def.;n. def.;n. def.;0;60;
;B07;SYBR;TGF-b;Unkn;MouseCaecum1;;23,4980586303785;23,4980586303785;0;n. def.;n. def.;n. def.;0;60;
;B08;SYBR;Ppia;Unkn;MouseCaecum1;;14,9173388618356;14,9173388618356;0;n. def.;n. def.;n. def.;0;60;
;B09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;;17,1094201182855;17,1094201182855;0;n. def.;n. def.;n. def.;0;60;
;B10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;;25,3903276245298;25,3903276245298;0;n. def.;n. def.;n. def.;0;60;
;B11;SYBR;;Neg Ctrl;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;C01;SYBR;CXCL9;Unkn;MouseCaecum2;;27,8959258324987;27,8959258324987;0;n. def.;n. def.;n. def.;0;60;
;C02;SYBR;IL-10;Unkn;MouseCaecum2;;35,9268422249141;35,9268422249141;0;n. def.;n. def.;n. def.;0;60;
;C03;SYBR;IL-12;Unkn;MouseCaecum2;;35,7621581638328;35,7621581638328;0;n. def.;n. def.;n. def.;0;60;
;C04;SYBR;IL-6;Unkn;MouseCaecum2;;30,7809414110008;30,7809414110008;0;n. def.;n. def.;n. def.;0;60;
;C05;SYBR;IFN-g;Unkn;MouseCaecum2;;30,3988659190542;30,3988659190542;0;n. def.;n. def.;n. def.;0;60;
;C06;SYBR;STAT6;Unkn;MouseCaecum2;;29,1422686361797;29,1422686361797;0;n. def.;n. def.;n. def.;0;60;
;C07;SYBR;TGF-b;Unkn;MouseCaecum2;;29,8996551882743;29,8996551882743;0;n. def.;n. def.;n. def.;0;60;
;C08;SYBR;Ppia;Unkn;MouseCaecum2;;20,0307582782122;20,0307582782122;0;n. def.;n. def.;n. def.;0;60;
;C09;SYBR;Ppib;Pos Ctrl;MouseCaecum2;;20,5632468631318;20,5632468631318;0;n. def.;n. def.;n. def.;0;60;
;C10;SYBR;CDC42;Pos Ctrl;MouseCaecum2;;26,9703027256104;26,9703027256104;0;n. def.;n. def.;n. def.;0;60;
;C11;SYBR;;Neg Ctrl;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D01;SYBR;CXCL9;Unkn;MouseCaecum2;;28,1036115910145;28,1036115910145;0;n. def.;n. def.;n. def.;0;60;
;D02;SYBR;IL-10;Unkn;MouseCaecum2;;36,03130246355;36,03130246355;0;n. def.;n. def.;n. def.;0;60;
;D03;SYBR;IL-12;Unkn;MouseCaecum2;;34,5025379954217;34,5025379954217;0;n. def.;n. def.;n. def.;0;60;
;D04;SYBR;IL-6;Unkn;MouseCaecum2;;32,6324518107125;32,6324518107125;0;n. def.;n. def.;n. def.;0;60;
;D05;SYBR;IFN-g;Unkn;MouseCaecum2;;31,2332619177179;31,2332619177179;0;n. def.;n. def.;n. def.;0;60;
;D06;SYBR;STAT6;Unkn;MouseCaecum2;;29,9204113275086;29,9204113275086;0;n. def.;n. def.;n. def.;0;60;
;D07;SYBR;TGF-b;Unkn;MouseCaecum2;;30,445351435312;30,445351435312;0;n. def.;n. def.;n. def.;0;60;
;D08;SYBR;Ppia;Unkn;MouseCaecum2;;20,4690256067126;20,4690256067126;0;n. def.;n. def.;n. def.;0;60;
;D09;SYBR;Ppib;Pos Ctrl;MouseCaecum2;;20,7339540424255;20,7339540424255;0;n. def.;n. def.;n. def.;0;60;
;D10;SYBR;CDC42;Pos Ctrl;MouseCaecum2;;26,6640930916197;26,6640930916197;0;n. def.;n. def.;n. def.;0;60;
;D11;SYBR;;Neg Ctrl;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;E01;SYBR;CXCL9;Unkn;MouseCaecum3;;31,2909649700277;31,2909649700277;0;n. def.;n. def.;n. def.;0;60;
;E02;SYBR;IL-10;Unkn;MouseCaecum3;;n. def.;0;0;n. def.;n. def.;0;0;60;
;E03;SYBR;IL-12;Unkn;MouseCaecum3;;34,9254874189213;34,9254874189213;0;n. def.;n. def.;n. def.;0;60;
;E04;SYBR;IL-6;Unkn;MouseCaecum3;;31,4373860190682;31,4373860190682;0;n. def.;n. def.;n. def.;0;60;
;E05;SYBR;IFN-g;Unkn;MouseCaecum3;;32,3016027462625;32,3016027462625;0;n. def.;n. def.;n. def.;0;60;
;E06;SYBR;STAT6;Unkn;MouseCaecum3;;29,3853838234373;29,3853838234373;0;n. def.;n. def.;n. def.;0;60;
;E07;SYBR;TGF-b;Unkn;MouseCaecum3;;35,3343614141346;35,3343614141346;0;n. def.;n. def.;n. def.;0;60;
;E08;SYBR;Ppia;Unkn;MouseCaecum3;;24,781189556534;24,781189556534;0;n. def.;n. def.;n. def.;0;60;
;E09;SYBR;Ppib;Pos Ctrl;MouseCaecum3;;28,2337039769063;28,2337039769063;0;n. def.;n. def.;n. def.;0;60;
;E10;SYBR;CDC42;Pos Ctrl;MouseCaecum3;;27,5928920491035;27,5928920491035;0;n. def.;n. def.;n. def.;0;60;
;E11;SYBR;;Neg Ctrl;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;F01;SYBR;CXCL9;Unkn;MouseCaecum3;;31,5795900229398;31,5795900229398;0;n. def.;n. def.;n. def.;0;60;
;F02;SYBR;IL-10;Unkn;MouseCaecum3;;n. def.;0;0;n. def.;n. def.;0;0;60;
;F03;SYBR;IL-12;Unkn;MouseCaecum3;;37,6505409515568;37,6505409515568;0;n. def.;n. def.;n. def.;0;60;
;F04;SYBR;IL-6;Unkn;MouseCaecum3;;33,9891674636336;33,9891674636336;0;n. def.;n. def.;n. def.;0;60;
;F05;SYBR;IFN-g;Unkn;MouseCaecum3;;33,9779323150374;33,9779323150374;0;n. def.;n. def.;n. def.;0;60;
;F06;SYBR;STAT6;Unkn;MouseCaecum3;;30,3645462532926;30,3645462532926;0;n. def.;n. def.;n. def.;0;60;
;F07;SYBR;TGF-b;Unkn;MouseCaecum3;;32,3575705106044;32,3575705106044;0;n. def.;n. def.;n. def.;0;60;
;F08;SYBR;Ppia;Unkn;MouseCaecum3;;24,6491165368869;24,6491165368869;0;n. def.;n. def.;n. def.;0;60;
;F09;SYBR;Ppib;Pos Ctrl;MouseCaecum3;;27,6001856577786;27,6001856577786;0;n. def.;n. def.;n. def.;0;60;
;F10;SYBR;CDC42;Pos Ctrl;MouseCaecum3;;27,6032159281941;27,6032159281941;0;n. def.;n. def.;n. def.;0;60;
;F11;SYBR;;Neg Ctrl;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;G01;SYBR;CXCL9;Unkn;MouseCaecum4;;25,9992761210697;25,9992761210697;0;n. def.;n. def.;n. def.;0;60;
;G02;SYBR;IL-10;Unkn;MouseCaecum4;;30,7988741001478;30,7988741001478;0;n. def.;n. def.;n. def.;0;60;
;G03;SYBR;IL-12;Unkn;MouseCaecum4;;32,2065680375097;32,2065680375097;0;n. def.;n. def.;n. def.;0;60;
;G04;SYBR;IL-6;Unkn;MouseCaecum4;;27,614279673594;27,614279673594;0;n. def.;n. def.;n. def.;0;60;
;G05;SYBR;IFN-g;Unkn;MouseCaecum4;;28,360498671832;28,360498671832;0;n. def.;n. def.;n. def.;0;60;
;G06;SYBR;STAT6;Unkn;MouseCaecum4;;23,3936597954637;23,3936597954637;0;n. def.;n. def.;n. def.;0;60;
;G07;SYBR;TGF-b;Unkn;MouseCaecum4;;22,5654570851045;22,5654570851045;0;n. def.;n. def.;n. def.;0;60;
;G08;SYBR;Ppia;Unkn;MouseCaecum4;;13,7588712388792;13,7588712388792;0;n. def.;n. def.;n. def.;0;60;
;G09;SYBR;Ppib;Pos Ctrl;MouseCaecum4;;15,6427960585629;15,6427960585629;0;n. def.;n. def.;n. def.;0;60;
;G10;SYBR;CDC42;Pos Ctrl;MouseCaecum4;;22,1260957138841;22,1260957138841;0;n. def.;n. def.;n. def.;0;60;
;G11;SYBR;;Neg Ctrl;;;n. def.;0;0;n. def.;n. def.;0;0;60;
