;Target;Sample;Mean Cq;Mean Efficiency Corrected Cq;Normalized Expression;Relative Normalized Expression;Regulation;Compared to Regulation Threshold;P-Value;Exceeds P-Value Threshold
;CDC42;MouseCaecum1;27,4784296188967;27,4784296188967;n. def.;n. def.;n. def.;No change;n. def.;No
;CDC42;MouseCaecum2;23,8920174659853;23,8920174659853;n. def.;n. def.;n. def.;No change;0,719802822673224;Yes
;CDC42;MouseCaecum3;25,2028865134253;25,2028865134253;n. def.;n. def.;n. def.;No change;0,0237054482739401;Yes
;CDC42;MouseCaecum4;26,170202529661;26,170202529661;n. def.;n. def.;n. def.;No change;0,0610241974108404;Yes
;CXCL9;MouseCaecum1;29,8891931296633;29,8891931296633;0,0470800117699634;1;1;No change;n. def.;No
;CXCL9;MouseCaecum2;34,1196928084603;34,1196928084603;0,000226436817227893;0,00480961683557517;-207,916770542577;Down regulated;0,249565620712738;Yes
;CXCL9;MouseCaecum3;30,3381628204517;30,3381628204517;0,00153166634715599;0,032533261772317;-30,7377725294951;Down regulated;0,256961722192655;Yes
;CXCL9;MouseCaecum4;30,5259464542205;30,5259464542205;0,00570845460959462;0,121250067597404;-8,24741808244082;Down regulated;0,283776550980478;Yes
;IFN-g;MouseCaecum1;34,9807564057117;34,9807564057117;0,00138077619743451;1;1;No change;n. def.;No
;IFN-g;MouseCaecum2;29,7316505913571;29,7316505913571;0,00474110279278967;3,43365043632607;3,43365043632607;No change;0,188660980566714;Yes
;IFN-g;MouseCaecum3;33,1561198130787;33,1561198130787;0,000217207386028961;0,157308176685355;-6,35694864101173;Down regulated;0,0653478274482329;Yes
;IFN-g;MouseCaecum4;33,282678794004;33,282678794004;0,000844616240406909;0,61169669782562;-1,63479712013269;No change;0,725544794298262;Yes
;IL-10;MouseCaecum1;34,9666219979531;34,9666219979531;0,00139437045662866;1;1;No change;n. def.;No
;IL-10;MouseCaecum2;36,0537078750605;36,0537078750605;5,92584782614085E-05;0,0424983747896418;-23,5303115695552;Down regulated;n. def.;No
;IL-10;MouseCaecum3;33,3810895542936;33,3810895542936;0,0001858454568709;0,133282698286826;-7,50284930342565;Down regulated;0,262723081963504;Yes
;IL-10;MouseCaecum4;33,1589059796335;33,1589059796335;0,000920277401666555;0,65999490830552;-1,51516320416382;No change;0,508764211929686;Yes
;IL-12;MouseCaecum1;33,138906797852;33,138906797852;0,00494965890269155;1;1;No change;n. def.;No
;IL-12;MouseCaecum2;31,3045739868752;31,3045739868752;0,00159361074195993;0,321963750086566;-3,10593972063976;No change;0,327798908590679;Yes
;IL-12;MouseCaecum3;37,5324933126424;37,5324933126424;1,04581506493497E-05;0,00211290330403631;-473,282425224895;Down regulated;n. def.;No
;IL-12;MouseCaecum4;35,0012184856997;35,0012184856997;0,000256641823222285;0,05185040591034;-19,2862521024272;Down regulated;0,231670860943738;Yes
;IL-6;MouseCaecum1;29,3035802365486;29,3035802365486;0,0706518615829801;1;1;No change;n. def.;No
;IL-6;MouseCaecum2;27,2908621330412;27,2908621330412;0,025741266475456;0,364339536124225;-2,74469252126138;No change;0,320868588390719;Yes
;IL-6;MouseCaecum3;30,6616040011168;30,6616040011168;0,00122404863292327;0,0173250726236794;-57,719815767654;Down regulated;0,00745736742615533;No
;IL-6;MouseCaecum4;31,766971706421;31,766971706421;0,00241508669778587;0,0341829166801128;-29,2543790033513;Down regulated;0,00775263246294677;No
;Ppia;MouseCaecum1;23,6414145401691;23,6414145401691;n. def.;n. def.;n. def.;No change;n. def.;No
;Ppia;MouseCaecum2;19,6376504303712;19,6376504303712;n. def.;n. def.;n. def.;No change;0,069295064450733;Yes
;Ppia;MouseCaecum3;18,6785214139588;18,6785214139588;n. def.;n. def.;n. def.;No change;0,114546229588779;Yes
;Ppia;MouseCaecum4;21,2935643400935;21,2935643400935;n. def.;n. def.;n. def.;No change;0,93546659585164;Yes
;Ppib;MouseCaecum1;25,3215107037468;25,3215107037468;n. def.;n. def.;n. def.;No change;n. def.;No
;Ppib;MouseCaecum2;22,5035990420105;22,5035990420105;n. def.;n. def.;n. def.;No change;0,160062971902391;Yes
;Ppib;MouseCaecum3;19,0810338595115;19,0810338595115;n. def.;n. def.;n. def.;No change;0,0157867109483451;Yes
;Ppib;MouseCaecum4;21,7560203368925;21,7560203368925;n. def.;n. def.;n. def.;No change;0,0776860431558236;Yes
;STAT6;MouseCaecum1;29,1674943825045;29,1674943825045;0,077640716301963;1;1;No change;n. def.;No
;STAT6;MouseCaecum2;24,0754289135351;24,0754289135351;0,239095696117598;3,07951430004456;3,07951430004456;No change;0,258735467127493;Yes
;STAT6;MouseCaecum3;27,5758354429718;27,5758354429718;0,0103922017382349;0,13384989517378;-7,47105553352644;Down regulated;0,241870927788401;Yes
;STAT6;MouseCaecum4;30,1167463447859;30,1167463447859;0,00758053852670657;0,0976361230005153;-10,2421109039195;Down regulated;0,235540025638382;Yes
;TGF-b;MouseCaecum1;30,4188623558469;30,4188623558469;0,0326129615082928;1;1;No change;n. def.;No
;TGF-b;MouseCaecum2;30,9299983795571;30,9299983795571;0,00206604959272443;0,0633505666818722;-15,7851784502845;Down regulated;0,123389790695687;Yes
;TGF-b;MouseCaecum3;26,879501499217;26,879501499217;0,0168393363999976;0,516338769041741;-1,93671298759121;No change;0,306748393146349;Yes
;TGF-b;MouseCaecum4;27,9494833722722;27,9494833722722;0,0340495379175533;1,04404924737961;1,04404924737961;No change;0,944934114446582;Yes
