;Temperature;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11
;65;3962,59839976412;3611,70811822846;3552,46913336208;3333,00672249727;3334,9881386527;3376,2226141195;3359,01512627929;3526,88738273375;3594,53166700995;3270,02863835481;2243,50560245666;4223,71320341608;3461,81169344566;3698,81799695313;3558,22788468809;3471,34402101998;3651,56129303141;3805,25904997098;3857,01707695008;3781,26139813577;3615,22798171211;2269,55311859007;3609,50500872267;2507,89835992804;4487,50179846981;4014,37215333959;4007,30175867875;4065,40352537877;3743,90095324248;3746,74540643311;3702,79048331527;3505,10157401546;2302,16584703395;3739,12805269799;3402,73100095052;4397,6619894272;4035,71631002842;4174,82811662852;4103,69090249404;3689,4002012264;3482,58587334938;3431,13309962667;3296,86313406811;2306,42096370379;4370,37995494066;4064,20210756703;2459,99549736967;3840,03479106245;3971,37375090064;3970,12020398701;3819,51901796272;3613,29344815824;3341,92981513552;3208,41930144301;2303,64494835451;4255,80372432341;4071,48166632856;3002,95125366119;3858,90648594986;3924,92928351359;3757,05502586703;3803,61212555588;3579,48437237659;3314,89805210395;3222,3126978223;2259,71998535072;4325,41053824138;4158,00490306063;3631,43664405923;3874,78082904775;3939,41420415765;3819,25571803884;3662,20356732433;3523,02098426908;3341,40298897848;3212,46524808214;2388,73824361482;4039,60222552925;3804,57639610621;3687,35822293702;3518,64384733911;3437,02602107586;3729,09791228964;3631,87279316009;3600,46134337913;3393,13215165785;3295,45711010118;2378,60561903538
;65,5;3962,1931599281;3611,51178183002;3556,65595041895;3328,45519855629;3328,63349962211;3368,59896187861;3353,90307525967;3519,44472783878;3590,05011598644;3262,62027818624;2247,46462520976;4193,61434534329;3444,71491762385;3696,70537221558;3554,83532729465;3476,82777074898;3659,76975120692;3810,17011716264;3866,32818330567;3784,14884228303;3611,12273941943;2269,22001296971;3584,90343015476;2508,21630121041;4467,03445539512;4000,94111422014;4017,9701804259;4075,48617629697;3761,44784881998;3757,78761522156;3709,52413741121;3504,84468014029;2302,79686270844;3714,14071351578;3383,36103149048;4380,64833667261;4021,82896250198;4184,79293627329;4111,26410073359;3706,08662766333;3490,20695711276;3435,88890977267;3296,13107242729;2305,82206741338;4342,95424235061;4038,37215399531;2460,13820386252;3827,28594767583;3966,42746656518;3972,76660467132;3826,35428430351;3620,45507019625;3343,06931624184;3209,77721934211;2304,02128633585;4232,56066662085;4049,1064097577;2997,18439488324;3850,57079667443;3931,18257802363;3760,66562393776;3812,35163969495;3584,50651190232;3317,13439858304;3222,27061594305;2259,76632299408;4303,66108448173;4136,78438342828;3615,91984022823;3865,57140951533;3938,9558294465;3821,45734221207;3665,86985803134;3526,16893400546;3343,34241187293;3213,51051955521;2390,46199433934;4032,59810995348;3801,77588178687;3685,37660406189;3519,35334989305;3431,23441021323;3726,89690913925;3627,39234599174;3596,88712633921;3387,4574154326;3289,85242187152;2378,19725068278
;66;3961,78792009207;3611,31544543158;3560,84276747583;3323,90367461531;3322,27886059151;3360,97530963771;3348,79102424005;3512,00207294381;3585,56856496292;3255,21191801767;2251,42364796285;4163,5154872705;3427,61814180205;3694,59274747804;3551,44276990121;3482,31152047799;3667,97820938242;3815,0811843543;3875,63928966127;3787,03628643029;3607,01749712674;2268,88690734935;3560,30185158686;2508,53424249278;4446,56711232043;3987,51007510069;4028,63860217305;4085,56882721517;3778,99474439748;3768,82982401002;3716,25779150715;3504,58778626512;2303,42787838293;3689,15337433357;3363,99106203044;4363,63468391801;4007,94161497554;4194,75775591806;4118,83729897314;3722,77305410025;3497,82804087614;3440,64471991866;3295,39901078647;2305,22317112297;4315,52852976056;4012,5422004236;2460,28091035537;3814,53710428922;3961,48118222972;3975,41300535564;3833,1895506443;3627,61669223426;3344,20881734816;3211,13513724121;2304,39762431719;4209,31760891829;4026,73115318684;2991,4175361053;3842,235107399;3937,43587253366;3764,27622200848;3821,09115383402;3589,52865142805;3319,37074506214;3222,2285340638;2259,81266063744;4281,91163072207;4115,56386379594;3600,40303639723;3856,36198998291;3938,49745473535;3823,6589663853;3669,53614873835;3529,31688374183;3345,28183476739;3214,55579102827;2392,18574506386;4025,59399437771;3798,97536746753;3683,39498518676;3520,062852447;3425,44279935061;3724,69590598885;3622,91189882338;3593,3129092993;3381,78267920736;3284,24773364187;2377,78888233018
;66,5;3961,38268025605;3611,11910903314;3565,02958453271;3319,35215067434;3315,92422156092;3353,35165739682;3343,67897322043;3504,55941804884;3581,0870139394;3247,8035578491;2255,38267071595;4133,41662919771;3410,52136598025;3692,48012274049;3548,05021250777;3487,795270207;3676,18666755793;3819,99225154596;3884,95039601687;3789,92373057755;3602,91225483406;2268,55380172898;3535,70027301895;2508,85218377515;4426,09976924574;3974,07903598123;4039,3070239202;4095,65147813337;3796,54163997497;3779,87203279848;3722,99144560309;3504,33089238995;2304,05889405742;3664,16603515136;3344,6210925704;4346,62103116342;3994,0542674491;4204,72257556283;4126,4104972127;3739,45948053717;3505,44912463952;3445,40053006466;3294,66694914565;2304,62427483256;4288,10281717051;3986,71224685188;2460,42361684822;3801,7882609026;3956,53489789426;3978,05940603995;3840,02481698509;3634,77831427226;3345,34831845448;3212,49305514031;2304,77396229852;4186,07455121573;4004,35589661599;2985,65067732735;3833,89941812358;3943,6891670437;3767,8868200792;3829,83066797309;3594,55079095378;3321,60709154123;3222,18645218455;2259,8589982808;4260,16217696242;4094,3433441636;3584,88623256622;3847,15257045049;3938,0390800242;3825,86059055853;3673,20243944536;3532,46483347821;3347,22125766185;3215,60106250133;2393,90949578838;4018,58987880194;3796,17485314819;3681,41336631163;3520,77235500094;3419,65118848798;3722,49490283845;3618,43145165503;3589,73869225938;3376,10794298211;3278,64304541221;2377,38051397758
;67;3960,97744042002;3610,9227726347;3569,21640158959;3314,80062673336;3309,56958253032;3345,72800515592;3338,56692220081;3497,11676315387;3576,60546291588;3240,39519768053;2259,34169346905;4103,31777112492;3393,42459015844;3690,36749800295;3544,65765511434;3493,27901993601;3684,39512573344;3824,90331873763;3894,26150237247;3792,81117472481;3598,80701254137;2268,22069610862;3511,09869445104;2509,17012505752;4405,63242617105;3960,64799686178;4049,97544566735;4105,73412905157;3814,08853555247;3790,91424158694;3729,72509969902;3504,07399851478;2304,68990973191;3639,17869596915;3325,25112311036;4329,60737840882;3980,16691992266;4214,6873952076;4133,98369545225;3756,14590697409;3513,0702084029;3450,15634021065;3293,93488750482;2304,02537854216;4260,67710458046;3960,88229328017;2460,56632334107;3789,03941751598;3951,58861355881;3980,70580672426;3846,86008332588;3641,93993631027;3346,4878195608;3213,85097303941;2305,15030027986;4162,83149351316;3981,98064004513;2979,88381854941;3825,56372884815;3949,94246155373;3771,49741814992;3838,57018211216;3599,57293047951;3323,84343802033;3222,14437030529;2259,90533592416;4238,41272320277;4073,12282453126;3569,36942873522;3837,94315091807;3937,58070531306;3828,06221473176;3676,86873015236;3535,61278321458;3349,1606805563;3216,64633397439;2395,6332465129;4011,58576322617;3793,37433882884;3679,4317474365;3521,48185755488;3413,85957762535;3720,29389968806;3613,95100448668;3586,16447521946;3370,43320675686;3273,03835718255;2376,97214562498
;67,5;3960,572200584;3610,7264362363;3573,40321864646;3310,24910279242;3303,21494349974;3338,10435291501;3333,4548711812;3489,67410825889;3572,1239118924;3232,98683751198;2263,30071622215;4073,21891305216;3376,32781433662;3688,25487326538;3541,26509772088;3498,76276966503;3692,60358390898;3829,81438592932;3903,57260872804;3795,69861887205;3594,70177024871;2267,88759048825;3486,49711588312;2509,48806633987;4385,16508309637;3947,21695774235;4060,64386741454;4115,81677996987;3831,63543113001;3801,95645037538;3736,45875379496;3503,81710463956;2305,32092540642;3614,19135678693;3305,88115365028;4312,59372565424;3966,27957239623;4224,65221485236;4141,55689369186;3772,83233341104;3520,69129216625;3454,91215035665;3293,202825864;2303,42648225176;4233,25139199044;3935,05233970847;2460,70902983393;3776,29057412938;3946,64232922329;3983,35220740858;3853,6953496667;3649,10155834831;3347,62732066709;3215,20889093854;2305,52663826119;4139,58843581058;3959,60538347427;2974,11695977147;3817,22803957271;3956,19575606382;3775,10801622065;3847,30969625121;3604,59507000524;3326,07978449942;3222,10228842604;2259,95167356757;4216,66326944308;4051,9023048989;3553,85262490421;3828,73373138565;3937,12233060186;3830,26383890501;3680,53502085937;3538,76073295093;3351,10010345073;3217,69160544745;2397,35699723745;4004,58164765037;3790,5738245095;3677,4501285614;3522,19136010884;3408,06796676271;3718,09289653766;3609,47055731832;3582,59025817953;3364,75847053161;3267,43366895288;2376,56377727243
;68;3960,16696074797;3610,53009983786;3577,59003570334;3305,69757885144;3296,86030446914;3330,48070067411;3328,34282016158;3482,23145336392;3567,64236086888;3225,57847734341;2267,25973897524;4043,12005497937;3359,23103851481;3686,14224852784;3537,87254032744;3504,24651939404;3700,81204208449;3834,72545312098;3912,88371508364;3798,58606301931;3590,59652795602;2267,55448486789;3461,89553731521;2509,80600762224;4364,69774002168;3933,7859186229;4071,31228916169;4125,89943088807;3849,18232670751;3812,99865916384;3743,1924078909;3503,56021076439;2305,95194108091;3589,20401760472;3286,51118419024;4295,58007289964;3952,39222486979;4234,61703449713;4149,13009193141;3789,51875984796;3528,31237592963;3459,66796050264;3292,47076422318;2302,82758596136;4205,82567940039;3909,22238613676;2460,85173632678;3763,54173074277;3941,69604488783;3985,99860809289;3860,53061600749;3656,26318038631;3348,76682177341;3216,56680883764;2305,90297624252;4116,34537810802;3937,23012690341;2968,35010099353;3808,89235029728;3962,44905057386;3778,71861429137;3856,04921039028;3609,61720953097;3328,31613097851;3222,06020654679;2259,99801121093;4194,91381568343;4030,68178526655;3538,3358210732;3819,52431185323;3936,66395589072;3832,46546307824;3684,20131156638;3541,9086826873;3353,03952634519;3218,73687692052;2399,08074796198;3997,5775320746;3787,77331019016;3675,46850968627;3522,90086266279;3402,27635590009;3715,89189338726;3604,99011014996;3579,01604113961;3359,08373430636;3261,82898072322;2376,15540891983
;68,5;3952,94381089473;3608,37059899352;3581,11533866586;3300,88025354807;3289,45830164392;3321,81752638669;3322,66185257231;3473,92724516191;3562,59083856188;3217,95166928919;2271,39559732013;4010,73010230965;3339,43737747105;3678,20698713441;3530,91573466759;3505,56022029361;3707,38366400973;3838,24811171148;3920,82275076379;3801,42294993586;3585,91075774268;2267,30716989349;3436,10391887194;2509,57818684767;4339,09147081753;3914,5391078982;4074,90700029895;4131,38793139764;3861,81449593655;3823,02983243852;3749,24342481545;3503,87544514625;2306,46300522898;3562,32984176155;3265,62597973147;4272,30491608272;3931,89435974922;4236,11132728993;4150,48539972066;3801,41095796025;3535,53294169411;3464,59849670424;3292,14237386549;2302,55025176555;4174,16258344394;3880,43553737268;2460,25288978534;3745,26759427394;3929,72868645725;3984,08863173867;3864,85800122249;3662,67903051023;3350,86529684542;3217,8936910827;2306,48450915198;4088,35390202952;3910,86750657798;2960,17485326652;3794,49874107311;3963,13341938174;3779,45608710839;3863,27664409981;3614,85246375032;3331,18724251406;3222,39236239507;2260,37430938979;4167,26856087447;4004,48602114928;3519,42689771997;3804,96225547333;3930,95290533369;3832,96600284375;3687,5186466909;3545,29714944305;3355,33315766875;3220,16110293124;2400,90028931217;3984,52865080862;3780,60910428124;3669,86481049514;3521,38296255463;3395,25314296041;3713,92772550028;3600,25437915009;3575,44395236352;3352,96687835229;3255,86958488546;2375,98812414665
;69;3938,57277044009;3603,91322664169;3584,1748891914;3295,688210866;3281,18469670604;3311,7659140473;3317,17663628746;3464,34515552059;3557,11087813508;3210,2843429989;2275,73145532202;3977,33330287748;3318,53314930994;3665,1907002062;3519,77308893526;3502,05812037608;3711,16471931053;3839,83340662993;3926,31283107971;3803,13187738125;3580,24078776048;2267,280899443;3410,03966277749;2509,07136178591;4310,38994697739;3890,7528631856;4071,53279559193;4131,61745726065;3868,90135284221;3830,89099567456;3753,77552533662;3504,62596211616;2306,29246753138;3534,83194427882;3244,53388966168;4245,1517899384;3906,62232433239;4230,02556170232;4146,0670063293;3807,46943557204;3540,94193490468;3469,90384683364;3292,66606294686;2302,55919645765;4141,0869083593;3849,90028928399;2459,26876944728;3722,74765664114;3911,007597483;3977,64072551166;3865,49963428227;3669,19861064033;3353,5611346292;3219,56057278236;2306,8923698267;4057,48661464936;3882,04540306052;2949,95224189663;3775,44985811245;3957,83301281092;3776,26667496808;3867,85088417754;3619,89983660084;3334,39942771566;3222,93027941499;2260,86064625965;4135,56802224035;3975,28233641027;3498,51169444579;3785,34599961375;3919,76868077703;3830,88022386804;3689,91551259319;3548,67504926985;3357,75942517157;3221,53797490916;2402,82982052621;3965,00816783859;3768,73282782641;3660,48535905177;3516,85453479909;3386,84992949793;3711,98884993807;3595,06655768601;3571,90505630747;3346,65950419734;3250,17911418232;2375,81659094018
;69,5;3918,19124122392;3595,99060958984;3586,30180231574;3289,57244674131;3272,69316122788;3298,87751394817;3311,29350905022;3452,66462763952;3550,45411028035;3202,30390066072;2279,08623874001;3943,4244122178;3297,1899552787;3647,87341662357;3504,82883129739;3493,61918416259;3711,06105739344;3838,10658185033;3928,61234447482;3802,8602377564;3573,79453766157;2266,63040002326;3384,09116721055;2508,43924319491;4280,42998435089;3863,99134413117;4061,9827897921;4126,21387729869;3870,11982090843;3835,17263701277;3755,40290853683;3505,37226929461;2306,28353085996;3507,47613538182;3223,0934098999;4216,13549856642;3878,86500472867;4218,30030351215;4136,44230390211;3808,05159462554;3544,10772448341;3474,68966504812;3293,14452668959;2302,93709566459;4107,17225729641;3818,86451255458;2457,9762013123;3697,49668297163;3886,21967201206;3966,74542618355;3861,67494855172;3675,16659829975;3356,52701072391;3220,52693625043;2307,08866750412;4024,93298815237;3851,80178470035;2938,50543062751;3752,77570097189;3946,08203951907;3768,90248696391;3868,47615897373;3623,57512873819;3337,0194930957;3223,29286370096;2261,77226578079;4101,45912306764;3944,59974422445;3476,35913667765;3762,34027033085;3902,16870383905;3825,21180760227;3690,42554191832;3551,68454015754;3359,75729355478;3222,30224856532;2404,82832582904;3940,58870959149;3751,88550591451;3646,62647349248;3508,82190729634;3376,6188832646;3709,7668094637;3589,71713377474;3568,36613010297;3339,81584994011;3245,15075196919;2376,19665869686
