;True;Target;Sample;Normalized Expression
;True;CXCL9;MouseCaecum1;0,0170508925631115
;True;CXCL9;MouseCaecum2;0,0143741835651715
;True;CXCL9;MouseCaecum3;0,421427218459501
;True;CXCL9;MouseCaecum4;0,251403360057977
;True;IFN-g;MouseCaecum1;0,000518240655234967
;True;IFN-g;MouseCaecum2;0,00153278360582753
;True;IFN-g;MouseCaecum3;0,0123026418210403
;True;IFN-g;MouseCaecum4;0,00594171925594485
;True;IL-10;MouseCaecum1;0,00227881884792081
;True;IL-10;MouseCaecum2;0,00138886558913305
;True;IL-10;MouseCaecum3;0,0205765697915703
;True;IL-10;MouseCaecum4;n. def.
;True;IL-12;MouseCaecum1;0,000550064642424947
;True;IL-12;MouseCaecum2;0,00110131332799546
;True;IL-12;MouseCaecum3;0,01042175526743
;True;IL-12;MouseCaecum4;0,00121817718046858
;True;IL-6;MouseCaecum1;0,00241193185863391
;True;IL-6;MouseCaecum2;0,0388750900490402
;True;IL-6;MouseCaecum3;0,0360208423821619
;True;IL-6;MouseCaecum4;0,225986696771818
;True;STAT6;MouseCaecum1;0,0421380345088632
;True;STAT6;MouseCaecum2;0,0279774268762859
;True;STAT6;MouseCaecum3;0,0795340618484183
;True;STAT6;MouseCaecum4;0,0454028575407155
;True;TGF-b;MouseCaecum1;0,0307020680074659
;True;TGF-b;MouseCaecum2;0,0184790322380313
;True;TGF-b;MouseCaecum3;0,175634889406
;True;TGF-b;MouseCaecum4;0,0076374353434044
