;Target;Sample;Mean Cq;Mean Efficiency Corrected Cq;Normalized Expression;Relative Normalized Expression;Regulation;Compared to Regulation Threshold;P-Value;Exceeds P-Value Threshold
;CDC42;MouseCaecum1;26,2300298491458;26,2300298491458;n. def.;n. def.;n. def.;No change;n. def.;No
;CDC42;MouseCaecum2;27,0112044274022;27,0112044274022;n. def.;n. def.;n. def.;No change;0,0189424082542515;Yes
;CDC42;MouseCaecum3;23,661127879007;23,661127879007;n. def.;n. def.;n. def.;No change;0,0403509293733665;Yes
;CDC42;MouseCaecum4;27,2657339183477;27,2657339183477;n. def.;n. def.;n. def.;No change;0,0812564973388831;Yes
;CXCL9;MouseCaecum1;26,1161888892433;26,1161888892433;0,0170508925631115;1;1;No change;n. def.;No
;CXCL9;MouseCaecum2;30,0771792114339;30,0771792114339;0,0143741835651715;0,84301648796199;-1,18621641958335;No change;0,618118613109851;Yes
;CXCL9;MouseCaecum3;20,671472630806;20,671472630806;0,421427218459501;24,7158450444542;24,7158450444542;Up regulated;0,0192310198559604;Yes
;CXCL9;MouseCaecum4;28,5285569046578;28,5285569046578;0,251403360057977;14,7442932460833;14,7442932460833;Up regulated;0,0670547369735006;Yes
;IFN-g;MouseCaecum1;31,1562701436936;31,1562701436936;0,000518240655234967;1;1;No change;n. def.;No
;IFN-g;MouseCaecum2;33,3064332858579;33,3064332858579;0,00153278360582753;2,95766762090978;2,95766762090978;No change;0,0947718345427638;Yes
;IFN-g;MouseCaecum3;25,7697160738064;25,7697160738064;0,0123026418210403;23,7392448793164;23,7392448793164;Up regulated;0,067601344371759;Yes
;IFN-g;MouseCaecum4;33,9315365862656;33,9315365862656;0,00594171925594485;11,4651739417297;11,4651739417297;Up regulated;0,281117339185345;Yes
;IL-10;MouseCaecum1;29,0196780023364;29,0196780023364;0,00227881884792081;1;1;No change;n. def.;No
;IL-10;MouseCaecum2;33,4486803357827;33,4486803357827;0,00138886558913305;0,609467308206727;-1,6407770958911;No change;0,460366090260865;Yes
;IL-10;MouseCaecum3;25,0276817229064;25,0276817229064;0,0205765697915703;9,02948903127791;9,02948903127791;Up regulated;0,0450408975673395;Yes
;IL-10;MouseCaecum4;n. def.;n. def.;n. def.;n. def.;n. def.;No change;n. def.;No
;IL-12;MouseCaecum1;31,0702911699568;31,0702911699568;0,000550064642424947;1;1;No change;n. def.;No
;IL-12;MouseCaecum2;33,7833623417703;33,7833623417703;0,00110131332799546;2,00215255272606;2,00215255272606;No change;0,371144216451767;Yes
;IL-12;MouseCaecum3;26,0090859396303;26,0090859396303;0,01042175526743;18,9464191362781;18,9464191362781;Up regulated;0,0549636754573115;Yes
;IL-12;MouseCaecum4;36,2176930417678;36,2176930417678;0,00121817718046858;2,21460731432995;2,21460731432995;No change;0,382904761536615;Yes
;IL-6;MouseCaecum1;28,9377750970053;28,9377750970053;0,00241193185863391;1;1;No change;n. def.;No
;IL-6;MouseCaecum2;28,6418132095656;28,6418132095656;0,0388750900490402;16,1178226946505;16,1178226946505;Up regulated;0,00331324049967574;No
;IL-6;MouseCaecum3;24,2198523008569;24,2198523008569;0,0360208423821619;14,9344361670996;14,9344361670996;Up regulated;0,0248246135522071;Yes
;IL-6;MouseCaecum4;28,6823229888944;28,6823229888944;0,225986696771818;93,6953073375025;93,6953073375025;Up regulated;0,0272467101497995;Yes
;Ppia;MouseCaecum1;16,1447369505862;16,1447369505862;n. def.;n. def.;n. def.;No change;n. def.;No
;Ppia;MouseCaecum2;22,2439724075619;22,2439724075619;n. def.;n. def.;n. def.;No change;0,0477535920099627;Yes
;Ppia;MouseCaecum3;16,2880197934636;16,2880197934636;n. def.;n. def.;n. def.;No change;0,1298030912117;Yes
;Ppia;MouseCaecum4;24,0287606271339;24,0287606271339;n. def.;n. def.;n. def.;No change;0,103517233089763;Yes
;Ppib;MouseCaecum1;18,3517730846339;18,3517730846339;n. def.;n. def.;n. def.;No change;n. def.;No
;Ppib;MouseCaecum2;22,6152322755906;22,6152322755906;n. def.;n. def.;n. def.;No change;0,232897398117139;Yes
;Ppib;MouseCaecum3;18,3253364221395;18,3253364221395;n. def.;n. def.;n. def.;No change;0,18195516027759;Yes
;Ppib;MouseCaecum4;28,3154036792458;28,3154036792458;n. def.;n. def.;n. def.;No change;0,0369145901148638;Yes
;STAT6;MouseCaecum1;24,8109131287323;24,8109131287323;0,0421380345088632;1;1;No change;n. def.;No
;STAT6;MouseCaecum2;29,1163959447357;29,1163959447357;0,0279774268762859;0,663947125260464;-1,50614403158641;No change;0,390609131908445;Yes
;STAT6;MouseCaecum3;23,0771113692719;23,0771113692719;0,0795340618484183;1,88746491798732;1,88746491798732;No change;0,274942592651353;Yes
;STAT6;MouseCaecum4;30,9977058314095;30,9977058314095;0,0454028575407155;1,07747924339389;1,07747924339389;No change;0,775072793029139;Yes
;TGF-b;MouseCaecum1;25,2677003163631;25,2677003163631;0,0307020680074659;1;1;No change;n. def.;No
;TGF-b;MouseCaecum2;29,7147700230083;29,7147700230083;0,0184790322380313;0,601882330321778;-1,66145432358079;No change;0,155607075163053;Yes
;TGF-b;MouseCaecum3;21,93417666553;21,93417666553;0,175634889406;5,72062081822273;5,72062081822273;Up regulated;0,0601942388626638;Yes
;TGF-b;MouseCaecum4;33,569328764746;33,569328764746;0,0076374353434044;0,248759638651936;-4,01994473628898;Down regulated;0,0627582081136022;Yes
