;Well;Fluor;Target;Content;Sample;Melt Temperature;Peak Height;Begin Temperature;End Temperature;Well Note
;A01;SYBR;CXCL9;Unkn;MouseCaecum1;78,5;373,962945553278;74;85,5;
;A02;SYBR;IL-10;Unkn;MouseCaecum1;78,5;256,139870948032;75;84,5;
;A03;SYBR;IL-12;Unkn;MouseCaecum1;80,5;219,315583631801;69,5;90,5;
;A04;SYBR;IL-6;Unkn;MouseCaecum1;76;265,407163662281;67,5;80,5;
;A05;SYBR;IFN-g;Unkn;MouseCaecum1;79,5;262,931466287429;68;88,5;
;A06;SYBR;STAT6;Unkn;MouseCaecum1;82;301,119960686241;67,5;87,5;
;A07;SYBR;TGF-b;Unkn;MouseCaecum1;82;338,614689937698;78;88;
;A08;SYBR;Ppia;Unkn;MouseCaecum1;82;348,529197321265;67,5;88,5;
;A09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;82;328,400678006567;67,5;86;
;A10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;79;282,546713549476;67,5;83;
;A11;SYBR;;Neg Ctrl;;None;None;None;None;
;B01;SYBR;CXCL9;Unkn;MouseCaecum1;78;361,259016097024;67,5;85,5;
;B02;SYBR;IL-10;Unkn;MouseCaecum1;79;366,328348613581;75;83;
;B03;SYBR;IL-12;Unkn;MouseCaecum1;80;293,058103951433;75,5;83,5;
;B04;SYBR;IL-6;Unkn;MouseCaecum1;76;274,747819180194;67,5;81;
;B05;SYBR;IFN-g;Unkn;MouseCaecum1;79,5;234,225032612704;75;87;
;B06;SYBR;STAT6;Unkn;MouseCaecum1;82;294,398196018333;67,5;88,5;
;B07;SYBR;TGF-b;Unkn;MouseCaecum1;82;372,858015059229;75,5;87;
;B08;SYBR;Ppia;Unkn;MouseCaecum1;82;375,041417078213;77;89,5;
;B09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;82;345,2816265809;69;86;
;B10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;79;280,649876142346;67,5;86;
;B11;SYBR;;Neg Ctrl;;None;None;None;None;
