;Well;Fluor;Target;Content;Sample;Melt Temp
;A01;SYBR;CXCL9;Unkn;MouseCaecum1;78,5
;A02;SYBR;IL-10;Unkn;MouseCaecum1;78,5
;A03;SYBR;IL-12;Unkn;MouseCaecum1;80,5
;A04;SYBR;IL-6;Unkn;MouseCaecum1;76
;A05;SYBR;IFN-g;Unkn;MouseCaecum1;79,5
;A06;SYBR;STAT6;Unkn;MouseCaecum1;82
;A07;SYBR;TGF-b;Unkn;MouseCaecum1;82
;A08;SYBR;Ppia;Unkn;MouseCaecum1;82
;A09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;82
;A10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;79
;A11;SYBR;;Neg Ctrl;;None
;B01;SYBR;CXCL9;Unkn;MouseCaecum1;78
;B02;SYBR;IL-10;Unkn;MouseCaecum1;79
;B03;SYBR;IL-12;Unkn;MouseCaecum1;80
;B04;SYBR;IL-6;Unkn;MouseCaecum1;76
;B05;SYBR;IFN-g;Unkn;MouseCaecum1;79,5
;B06;SYBR;STAT6;Unkn;MouseCaecum1;82
;B07;SYBR;TGF-b;Unkn;MouseCaecum1;82
;B08;SYBR;Ppia;Unkn;MouseCaecum1;82
;B09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;82
;B10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;79
;B11;SYBR;;Neg Ctrl;;None
;C01;SYBR;CXCL9;Unkn;MouseCaecum2;78,5
;C02;SYBR;IL-10;Unkn;MouseCaecum2;79
;C03;SYBR;IL-12;Unkn;MouseCaecum2;79,5
;C04;SYBR;IL-6;Unkn;MouseCaecum2;75,5
;C05;SYBR;IFN-g;Unkn;MouseCaecum2;75
;C06;SYBR;STAT6;Unkn;MouseCaecum2;82,5
;C07;SYBR;TGF-b;Unkn;MouseCaecum2;82,5
;C08;SYBR;Ppia;Unkn;MouseCaecum2;82
;C09;SYBR;Ppib;Pos Ctrl;MouseCaecum2;82,5
;C10;SYBR;CDC42;Pos Ctrl;MouseCaecum2;79,5
;C11;SYBR;;Neg Ctrl;;None
;D01;SYBR;CXCL9;Unkn;MouseCaecum2;78,5
;D02;SYBR;IL-10;Unkn;MouseCaecum2;79
;D03;SYBR;IL-12;Unkn;MouseCaecum2;79
;D04;SYBR;IL-6;Unkn;MouseCaecum2;75
;D05;SYBR;IFN-g;Unkn;MouseCaecum2;75
;D06;SYBR;STAT6;Unkn;MouseCaecum2;82
;D07;SYBR;TGF-b;Unkn;MouseCaecum2;82,5
;D08;SYBR;Ppia;Unkn;MouseCaecum2;82,5
;D09;SYBR;Ppib;Pos Ctrl;MouseCaecum2;82,5
;D10;SYBR;CDC42;Pos Ctrl;MouseCaecum2;79,5
;D11;SYBR;;Neg Ctrl;;None
;E01;SYBR;CXCL9;Unkn;MouseCaecum3;78,5
;E02;SYBR;IL-10;Unkn;MouseCaecum3;79
;E03;SYBR;IL-12;Unkn;MouseCaecum3;79,5
;E04;SYBR;IL-6;Unkn;MouseCaecum3;75
;E05;SYBR;IFN-g;Unkn;MouseCaecum3;79
;E06;SYBR;STAT6;Unkn;MouseCaecum3;82
;E07;SYBR;TGF-b;Unkn;MouseCaecum3;82,5
;E08;SYBR;Ppia;Unkn;MouseCaecum3;82,5
;E09;SYBR;Ppib;Pos Ctrl;MouseCaecum3;82,5
;E10;SYBR;CDC42;Pos Ctrl;MouseCaecum3;79,5
;E11;SYBR;;Neg Ctrl;;None
;F01;SYBR;CXCL9;Unkn;MouseCaecum3;79
;F02;SYBR;IL-10;Unkn;MouseCaecum3;79
;F03;SYBR;IL-12;Unkn;MouseCaecum3;79,5
;F04;SYBR;IL-6;Unkn;MouseCaecum3;75
;F05;SYBR;IFN-g;Unkn;MouseCaecum3;79
;F06;SYBR;STAT6;Unkn;MouseCaecum3;82
;F07;SYBR;TGF-b;Unkn;MouseCaecum3;82,5
;F08;SYBR;Ppia;Unkn;MouseCaecum3;82,5
;F09;SYBR;Ppib;Pos Ctrl;MouseCaecum3;82,5
;F10;SYBR;CDC42;Pos Ctrl;MouseCaecum3;79,5
;F11;SYBR;;Neg Ctrl;;None
;G01;SYBR;CXCL9;Unkn;MouseCaecum4;78,5
;G02;SYBR;IL-10;Unkn;MouseCaecum4;None
;G03;SYBR;IL-12;Unkn;MouseCaecum4;78
;G04;SYBR;IL-6;Unkn;MouseCaecum4;74,5
;G05;SYBR;IFN-g;Unkn;MouseCaecum4;72
;G06;SYBR;STAT6;Unkn;MouseCaecum4;81,5
;G07;SYBR;TGF-b;Unkn;MouseCaecum4;82,5
;G08;SYBR;Ppia;Unkn;MouseCaecum4;82
;G09;SYBR;Ppib;Pos Ctrl;MouseCaecum4;None
;G10;SYBR;CDC42;Pos Ctrl;MouseCaecum4;80
;G11;SYBR;;Neg Ctrl;;None
;H01;SYBR;CXCL9;Unkn;MouseCaecum4;78
;H02;SYBR;IL-10;Unkn;MouseCaecum4;None
;H03;SYBR;IL-12;Unkn;MouseCaecum4;None
;H04;SYBR;IL-6;Unkn;MouseCaecum4;75,5
;H05;SYBR;IFN-g;Unkn;MouseCaecum4;74
;H06;SYBR;STAT6;Unkn;MouseCaecum4;81,5
;H07;SYBR;TGF-b;Unkn;MouseCaecum4;82,5
;H08;SYBR;Ppia;Unkn;MouseCaecum4;81,5
;H09;SYBR;Ppib;Pos Ctrl;MouseCaecum4;82,5
;H10;SYBR;CDC42;Pos Ctrl;MouseCaecum4;79,5
;H11;SYBR;;Neg Ctrl;;None
