;True;Target;Sample;Regulation;P-Value;Exceeds P-Value Threshold;Compared to Regulation Threshold
;True;CDC42;MouseCaecum1;n. def.;n. def.;No;No change
;True;CXCL9;MouseCaecum1;1;n. def.;No;No change
;True;IFN-g;MouseCaecum1;1;n. def.;No;No change
;True;IL-10;MouseCaecum1;1;n. def.;No;No change
;True;IL-12;MouseCaecum1;1;n. def.;No;No change
;True;IL-6;MouseCaecum1;1;n. def.;No;No change
;True;Ppia;MouseCaecum1;n. def.;n. def.;No;No change
;True;Ppib;MouseCaecum1;n. def.;n. def.;No;No change
;True;STAT6;MouseCaecum1;1;n. def.;No;No change
;True;TGF-b;MouseCaecum1;1;n. def.;No;No change
