;Cycle;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11
;1;-75,3869647279321;-34,4318621314387;-37,7711596932613;-35,8063795261937;-38,5908426428937;-35,427365869296;-46,5527515726953;-31,8398924272942;-30,5969817461723;-19,2822108395212;-14,3553473556526;-43,5970167312998;-20,4266813895824;-33,6578250289958;-19,3790664790663;-23,1552572648588;-44,0053220065247;-58,5726727138454;-24,9700460060021;-22,838211687013;-20,6841547299291;-9,38808005104647
;2;-32,4095849711366;-13,5232617227161;-17,9143285269934;-16,9506490928597;-16,4100342570923;-15,6180881193786;-20,9445371395559;-14,9752299008619;-10,9003714908349;-7,07215082505445;-15,7590538011227;-16,6524015450686;-7,38258365643378;-11,4774134303261;-3,03312129426786;-4,76221960732028;-26,3642830211816;-33,4985666337443;-10,4648338726615;-2,99574430652774;0,998385715469794;-3,8431412776431
;3;-22,3403993298502;-7,32461822425239;-16,3065158020722;-6,3058539115641;-9,0065655756016;-9,88766393687638;-11,7430564958877;-5,7533875476297;-5,30971440486837;-3,27126819585237;-0,504561682216263;-16,6418610161695;-0,944685286538515;-8,26989702794799;0,0618509558366895;-2,1189334972446;-25,9461397112382;-23,2545346185166;-0,695460286509388;0,517625981981382;-5,08102912918321;-1,56236176683979
;4;-16,4560269959852;-4,6000948684059;-7,85788463750669;-3,26603711695361;1,94914822711826;-9,8283807798739;-9,94977694902855;-0,940479534209771;0,189878252904236;-2,00822666872409;-7,6309228109576;-12,3293197119328;1,16411270606341;-0,892459892195802;-1,83023597559395;0,143005060985161;-3,89689880775722;-10,6142630249478;-2,90020451587498;1,67626058703672;4,43159277305449;-1,54354452738926
;5;-6,04479724906741;1,59855161782752;-3,57892704224832;-6,16029777403173;-7,44913336146465;-5,0449747338871;-2,95947425595932;4,12218726559013;0,00441687314378214;-5,44317897205929;-5,16548693333607;-0,410820350425638;-1,25296395995838;-0,237918247564266;4,69979694714948;-0,410726466637243;-3,01879152761194;-3,01427007331586;1,39505253193101;-1,77008098352326;-5,98985890423182;-0,564763927389777
;6;0,524630307346342;1,88899062104883;-1,98527749320829;-5,09460448765276;1,80955647898327;4,47426368211291;1,46490500153504;-2,74898654879462;6,87217021906372;4,14773820425671;1,58998131753242;-2,41444253469899;2,26501032579608;2,29869684205732;6,05770610661739;3,50819108841733;5,43840892279695;0,124780237061259;4,25622182766847;-1,13757231370164;3,46978150264113;-1,05888868649708
;7;0,921943596565143;4,91673655012983;-1,12746456295463;-1,96177014038358;-0,483749528526005;6,63852673157135;2,20520632105035;5,26167449540526;1,81756654757783;6,40980289537629;2,47533674537135;2,01723936192002;0,33499106475665;2,42711252492154;1,38974102890734;-2,12464358257375;9,15855328185489;5,26505388395299;-0,0806018961084192;2,30988002410368;2,21922275783481;4,14400916492377
;8;7,1881517633924;-3,05575864980574;-0,178831345065646;8,02506623667023;0,353802981808258;4,51397259583246;10,5905250787896;4,44348053486419;-0,169655151185452;-0,591313471212743;-3,95302652758983;1,2377410446129;-0,674130010903809;-2,33948998332335;0,0247535625435376;2,7024798202433;10,0356808411389;7,25908815783669;0,70171360361428;-1,38646451041132;3,00772595478156;-4,46900716993196
;9;11,8625634910163;-0,64715317621858;7,54714376734592;7,10492317792477;5,85053390406893;4,42823626128802;9,33204764864877;7,2434496462547;5,19785746462276;3,69662957151832;0,919388355560841;0,853262150409137;0,289648763927289;1,67002815261094;-0,380273229134218;1,30670453611992;11,0988435057411;9,63642310803152;1,29994712248435;5,48188532833274;3,48031126946898;-0,819331549525486
;10;6,72081579670021;2,88034847541621;1,98381587743279;3,52560115969982;0,201271784091205;6,57955986116394;9,82234903660856;9,42525486438353;3,80145591660676;4,10469086397097;0,21392390642859;12,666777963555;1,39869117086391;-0,911272219543662;-3,6661586071009;3,83182661604587;8,85805199676315;1,86752060165327;0,411364642160152;-1,95151872993802;0,125016772765321;1,89650643591904
;11;13,8691038001598;3,59193292923328;7,70857083460669;8,10545659518402;7,05298280414036;3,78386333104299;5,36465373233841;4,18494297388997;2,48513247166738;-2,16034171976571;-0,99178454637331;4,13728176801578;4,71867047249771;-0,717915148209158;-0,873188227440096;1,81691087642866;3,88117725248594;4,48045119047265;1,57453941261247;2,97005429803812;2,15058017790898;-1,86153075936636
;12;9,6094359424751;3,46147659795588;4,35642397994843;6,97413195362969;1,11465826330095;7,50012790872461;6,65817755664466;4,77470761225732;-0,490370206527587;5,43057893431342;0,328873496665437;11,6207206416357;1,81453038439895;10,8975579366434;-1,58119345179512;-1,27710613025647;3,06128379199936;11,2786833678297;4,50187385632944;2,0625273593846;0,373166108593523;-3,43475409967687
;13;9,08561012777773;3,33126740690977;5,83118314180638;4,10599436553866;7,07013226770005;8,50741198473497;5,78056252329043;1,33737676870169;6,58832660749067;3,44362430544697;-1,42981055674409;12,3942035443347;5,66039147849324;2,97300038259982;-3,07825793806614;-0,0549592267802836;4,22943008071252;5,23390468351727;3,75709324044783;4,4970435699438;-2,85126604884317;-1,66691121905842
;14;11,0759373369683;0,00281090462203792;3,14895493760559;3,43560411357748;4,68502643696638;5,82987635309109;3,23179911721672;-2,87583881853971;-0,926240354082438;4,32360634259021;1,20676233115182;1,35176545410422;2,11244970834332;-1,2145037956916;-2,53528996446585;-4,43779722244244;0,633655289844683;5,1888738153084;2,09238485004562;-5,05428287892482;-3,20778506976058;0,548924220765002
;15;10,526229401084;0,412393487994905;8,96672744743864;2,38338101286763;4,35168083036569;7,31005755858496;4,77410217028819;-2,64081041117879;-4,04554182103357;-2,53249053245145;3,15925613870832;4,91528352590603;6,4583076353656;1,04501481935176;2,20470136652102;-2,5838175368981;2,43265759674114;2,65703042202131;0,965521184957197;-1,02797327772169;-1,24716305308766;3,80480112085934
;16;6,55562719094723;-1,45511991689955;3,00838317463604;2,33116062689987;5,09719532640611;2,85542907086983;7,39648619227137;-1,59108192746498;-2,62602314915966;-0,164465884078254;4,99261212580632;2,37284935805155;4,39621136608594;6,80551212117871;9,39171655326754;11,3624469942824;1,09982801028173;10,4281659336252;-2,80416094824295;0,85478527035184;2,18636195782892;6,54652069694794
;17;2,88799696011438;9,90050159388738;3,33933774016577;6,08093517612042;-0,169013233950864;4,63882971449584;4,53180489038414;-4,40927837422578;-1,50826825131526;1,74261548046434;1,27420627649735;2,23836727547723;2,0191677093303;4,26205045276993;0,263788717767966;1,96545019761015;-0,7979492012023;1,84431903412951;-0,206907613129715;-5,15772378694282;-0,118154583417891;4,70937872178683
;18;2,86538848929786;-4,38790984564866;3,44715087575241;4,00283345002208;0,01058047214201;1,9481136243835;4,82532898846694;2,75836532264793;-0,837775833948399;-1,82441979504574;1,05555810033684;0,971808544641135;5,01004553856455;0,890467093851385;-1,65417711282817;0,54355187376359;-0,288985603623587;-1,34450660116681;0,0883474730640046;1,21062618868973;-4,44756990718042;-0,468824100315487
;19;1,44751672859638;2,152530434239;4,0007646705385;-0,667308582061651;-2,03272560381174;1,21735793518019;-2,60526589251776;3,22923350919154;1,14790177022678;-1,94345796766083;-1,62378276151867;1,94353045101661;8,63202671064255;4,87410633062109;-0,914184686735553;0,370676645463391;4,4311584816578;3,43956597137003;0,133602627701293;-4,22277841713412;-0,38196799805155;-2,41094382400615
;20;0,279885779342749;0,943213941955491;5,21355489686221;1,83222213191539;10,4229847700944;-2,82834142495039;-2,3119891089882;15,1219704690238;5,34451319895925;1,23950191678614;1,80160823760934;4,51900852826748;-0,509175280719319;-0,550458091300243;-1,09533765076731;-1,26216213983844;5,23040197191131;-0,684321234057734;10,7848087818288;6,11968847655908;0,748573085608314;-1,74808649865099
;21;0,796342921609266;7,154799924499;2,22933093884558;-4,58791639563515;1,05058215632425;-4,32203318617394;-5,03262116795486;33,9478171988271;0,751094111977636;-1,090470158475;1,25410552541462;3,31837090381168;4,85084558884819;0,342120648039327;7,63171619971763;-3,64523882195681;-1,78650804537392;3,21889543701627;28,8171226870068;2,75244850211175;-0,159941701946536;-1,91310439297331
;22;-0,266548467527628;6,3143828500929;-0,32179074448959;-2,35107789681297;-8,32157933503595;0,3034108300958;0,497717902660497;77,3666716740945;9,39472887773536;-0,183629705701605;1,29864087095075;-3,63202416154854;-1,2112526190499;-4,22746042977042;1,10877116110669;2,30102489946603;-8,21138044009831;0,924112525702185;64,0982080386507;6,76581865373282;3,53676382380263;5,1965312176776
;23;-2,6712331306835;-3,13198589513422;0,416884636185387;-2,17942138133958;-0,641984701001093;-1,3482398907272;-2,95899795865898;155,561398783618;25,9851418837634;13,0654955067916;2,96109846652598;-5,60854051978504;-4,99624880664032;0,887040958003126;1,47962610565946;1,12815294207212;-3,63503194769464;-1,93682913654084;144,604626068412;20,7003317459844;11,4573481659963;-2,40256670006102
;24;-4,54980135826145;-3,31542373185312;6,62967352631813;-2,73164761706539;1,06470521511801;-5,93397814703758;-2,91547694662631;267,940192067948;44,5767689007075;23,3934729759053;-3,37547072768075;-6,8868211131421;7,21752385385616;0,818676265383147;-2,33336177977253;-2,18876739134294;-2,42905025244772;-1,20476061123009;250,530708347486;49,4378131437911;31,8767023437576;-0,384729249474731
;25;-6,3885682069008;1,10612365557108;2,73749080418202;0,400213173430529;-6,42561787612613;-6,90057046149104;-7,01721215965654;348,765857131404;99,0883141942304;51,3264321076658;-1,05505433216877;-0,863339654460106;0,99844631187716;-1,80290421363406;0,117570721676202;2,16423804854094;-1,36588438505669;-3,30251888796329;486,620333691251;95,2155793273805;58,9022619809871;-1,16888762578355
;26;-2,14824162601553;-4,81315246204622;-0,826817242689685;-1,3749131254508;1,85895110194588;3,4487457869086;-6,76373027055479;409,732234049341;174,442865032656;99,4173386425682;-0,905541313431968;-6,36696089502357;-6,22161360819109;-2,4645304622095;2,75257911643621;2,18935781189521;0,801278680756241;-2,59632926251925;715,994547647404;192,425942279021;115,73102996205;1,11286576722387
;27;0,564992245591839;-2,41772756850742;0,715080577920617;4,13780639692595;-1,43435164464154;17,1259483266908;0,121592071514442;452,61568833551;247,915586956739;182,495302367048;2,57283375419001;-1,72433843281078;-8,86281127866505;-0,0599892655041003;11,3736759605963;-1,62755638832823;10,1793836958695;-8,95726997022621;925,140738643624;298,203448138296;205,848369375973;-0,263089321502775
