;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;SYBR;CXCL9;Unkn;MouseCaecum1;32,9435548944301;n. def.
;A02;SYBR;IL-10;Unkn;MouseCaecum1;36,8842817921892;n. def.
;A03;SYBR;IL-12;Unkn;MouseCaecum1;n. def.;n. def.
;A04;SYBR;IL-6;Unkn;MouseCaecum1;30,2018363244071;n. def.
;A05;SYBR;IFN-g;Unkn;MouseCaecum1;32,7370432444502;n. def.
;A06;SYBR;STAT6;Unkn;MouseCaecum1;29,4600645894395;n. def.
;A07;SYBR;TGF-b;Unkn;MouseCaecum1;31,1724573341078;n. def.
;A08;SYBR;Ppia;Unkn;MouseCaecum1;22,6514546486333;n. def.
;A09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;25,3877493214262;n. def.
;A10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;26,3477414492421;n. def.
;A11;SYBR;;Neg Ctrl;;n. def.;n. def.
;B01;SYBR;CXCL9;Unkn;MouseCaecum1;33,2156803342873;n. def.
;B02;SYBR;IL-10;Unkn;MouseCaecum1;n. def.;n. def.
;B03;SYBR;IL-12;Unkn;MouseCaecum1;33,093025702925;n. def.
;B04;SYBR;IL-6;Unkn;MouseCaecum1;30,4477213342473;n. def.
;B05;SYBR;IFN-g;Unkn;MouseCaecum1;33,1511527684809;n. def.
;B06;SYBR;STAT6;Unkn;MouseCaecum1;30,0837291479235;n. def.
;B07;SYBR;TGF-b;Unkn;MouseCaecum1;32,0270972871937;n. def.
;B08;SYBR;Ppia;Unkn;MouseCaecum1;22,7975610352682;n. def.
;B09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;25,340410320629;n. def.
;B10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;26,1395509484406;n. def.
;B11;SYBR;;Neg Ctrl;;n. def.;n. def.
