;Well;Fluor;Target;Content;Sample;Melt Temp
;A01;Cy5;;Unkn;;None
;A02;Cy5;;Unkn;;None
;A03;Cy5;;Unkn;;93
;A04;Cy5;;Unkn;;None
;A05;Cy5;;Unkn;;None
;A06;Cy5;;Unkn;;None
;A07;Cy5;;Unkn;;None
;A08;Cy5;;Unkn;;None
;A09;Cy5;;Unkn;;None
;A10;Cy5;;Unkn;;None
;A11;Cy5;;Unkn;;94,5
;A12;Cy5;;Unkn;;None
;B01;Cy5;;Unkn;;None
;B02;Cy5;;Unkn;;None
;B03;Cy5;;Unkn;;94
;B04;Cy5;;Unkn;;None
;B05;Cy5;;Unkn;;None
;B06;Cy5;;Unkn;;None
;B07;Cy5;;Unkn;;None
;B08;Cy5;;Unkn;;94,5
;B09;Cy5;;Unkn;;None
;B10;Cy5;;Unkn;;None
;B11;Cy5;;Unkn;;None
;B12;Cy5;;Unkn;;None
;C01;Cy5;;Unkn;;None
;C02;Cy5;;Unkn;;94,5
;C03;Cy5;;Unkn;;None
;C04;Cy5;;Unkn;;None
;C05;Cy5;;Unkn;;None
;C06;Cy5;;Unkn;;None
;C07;Cy5;;Unkn;;94,5
;C08;Cy5;;Unkn;;94,5
;C09;Cy5;;Unkn;;94,5
;C10;Cy5;;Unkn;;94,5
;C11;Cy5;;Unkn;;94,5
;C12;Cy5;;Unkn;;None
;D01;Cy5;;Unkn;;94,5
;D02;Cy5;;Unkn;;None
;D03;Cy5;;Unkn;;94,5
;D04;Cy5;;Unkn;;None
;D05;Cy5;;Unkn;;94,5
;D06;Cy5;;Unkn;;94,5
;D07;Cy5;;Unkn;;94,5
;D08;Cy5;;Unkn;;93
;D09;Cy5;;Unkn;;None
;D10;Cy5;;Unkn;;None
;D11;Cy5;;Unkn;;None
;D12;Cy5;;Unkn;;91,5
;E01;Cy5;;Unkn;;None
;E02;Cy5;;Unkn;;None
;E03;Cy5;;Unkn;;None
;E04;Cy5;;Unkn;;None
;E05;Cy5;;Unkn;;None
