;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A01;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;A02;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;A03;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;A04;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;A05;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;A06;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;A07;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;A08;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;A09;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;A10;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;A11;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;A12;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;B01;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;B02;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;B03;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;B04;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;B05;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;B06;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;B07;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;B08;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;B09;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;B10;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;B11;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;B12;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;C01;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;C02;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;C03;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;C04;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;C05;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;C06;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;C07;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;C08;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;C09;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;C10;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;C11;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;C12;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D01;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D02;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D03;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D04;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D05;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D06;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D07;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D08;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D09;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D10;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D11;Cy5;;Unkn;;;n. def.;0;0;n. def.;n. def.;0;0;60;
