;Well;Fluor;Target;Content;Sample;Melt Temperature;Peak Height;Begin Temperature;End Temperature;Well Note
;A01;SYBR;CXCL9;Unkn;LM28;None;None;None;None;
;A02;SYBR;IL-10;Unkn;LM28;None;None;None;None;
;A03;SYBR;IL-12;Unkn;LM28;None;None;None;None;
;A04;SYBR;IL-6;Unkn;LM28;73;262,503943938796;67,5;79,5;
;A05;SYBR;IFN-y;Unkn;LM28;78;367,065112927855;68;86,5;
;A06;SYBR;STAT6;Unkn;LM28;82;291,214070984283;70,5;85,5;
;A07;SYBR;TGF-b;Unkn;LM28;82,5;397,583965614002;73;86,5;
;A08;SYBR;Ppia;Pos Ctrl;LM28;82,5;266,627839166064;70,5;87;
;A09;SYBR;Ppip;Pos Ctrl;LM28;82,5;217,909173916931;67,5;88,5;
;A10;SYBR;CDC42;Pos Ctrl;LM28;None;None;None;None;
;A11;SYBR;;Neg Ctrl;;None;None;None;None;
;B01;SYBR;CXCL9;Unkn;LM28;None;None;None;None;
;B02;SYBR;IL-10;Unkn;LM28;None;None;None;None;
;B03;SYBR;IL-12;Unkn;LM28;None;None;None;None;
;B04;SYBR;IL-6;Unkn;LM28;73;293,205404038865;67,5;78;
;B05;SYBR;IFN-y;Unkn;LM28;77,5;403,12903053386;67,5;87;
;B06;SYBR;STAT6;Unkn;LM28;81,5;336,112674015219;74,5;95;
;B07;SYBR;TGF-b;Unkn;LM28;81;388,838894214127;75,5;86,5;
;B08;SYBR;Ppia;Pos Ctrl;LM28;82;293,885629336545;70,5;89,5;
;B09;SYBR;Ppip;Pos Ctrl;LM28;82;241,116727331585;67,5;88,5;
;B10;SYBR;CDC42;Pos Ctrl;LM28;None;None;None;None;
;B11;SYBR;;Neg Ctrl;;None;None;None;None;
;C01;SYBR;CXCL9;Unkn;LM30;None;None;None;None;
;C02;SYBR;IL-10;Unkn;LM30;None;None;None;None;
;C03;SYBR;IL-12;Unkn;LM30;None;None;None;None;
;C04;SYBR;IL-6;Unkn;LM30;73,5;324,894993426833;67,5;81;
;C05;SYBR;IFN-y;Unkn;LM30;79;295,20747193439;67,5;94;
;C06;SYBR;STAT6;Unkn;LM30;80,5;342,205062122031;68,5;94;
;C07;SYBR;TGF-b;Unkn;LM30;82;364,284130148833;68;88;
;C08;SYBR;Ppia;Pos Ctrl;LM30;81,5;325,225742348569;70,5;86;
;C09;SYBR;Ppip;Pos Ctrl;LM30;None;None;None;None;
;C10;SYBR;CDC42;Pos Ctrl;LM30;None;None;None;None;
;C11;SYBR;;Neg Ctrl;;None;None;None;None;
;D01;SYBR;CXCL9;Unkn;LM30;None;None;None;None;
;D02;SYBR;IL-10;Unkn;LM30;None;None;None;None;
;D03;SYBR;IL-12;Unkn;LM30;None;None;None;None;
;D04;SYBR;IL-6;Unkn;LM30;74,5;394,543476108179;67,5;82;
;D05;SYBR;IFN-y;Unkn;LM30;79;294,318352432012;69;91;
;D06;SYBR;STAT6;Unkn;LM30;81,5;371,477916050618;67,5;94;
;D07;SYBR;TGF-b;Unkn;LM30;81,5;358,90046312985;69,5;89;
;D08;SYBR;Ppia;Pos Ctrl;LM30;81;258,039043789205;71;86,5;
;D09;SYBR;Ppip;Pos Ctrl;LM30;None;None;None;None;
;D10;SYBR;CDC42;Pos Ctrl;LM30;None;None;None;None;
;D11;SYBR;;Neg Ctrl;;None;None;None;None;
;E01;SYBR;CXCL9;Unkn;LM33;76;328,825813379557;67,5;83,5;
;E02;SYBR;IL-10;Unkn;LM33;76;219,886884148587;70;79,5;
;E03;SYBR;IL-12;Unkn;LM33;None;None;None;None;
;E04;SYBR;IL-6;Unkn;LM33;75;465,590991182782;67,5;80,5;
;E05;SYBR;IFN-y;Unkn;LM33;77,5;479,512752325116;67,5;88;
;E06;SYBR;STAT6;Unkn;LM33;81;426,317997337105;73,5;93,5;
;E07;SYBR;TGF-b;Unkn;LM33;82;447,338498430996;76;86,5;
;E08;SYBR;Ppia;Pos Ctrl;LM33;None;None;None;None;
;E09;SYBR;Ppip;Pos Ctrl;LM33;None;None;None;None;
;E10;SYBR;CDC42;Pos Ctrl;LM33;None;None;None;None;
;E11;SYBR;;Neg Ctrl;;None;None;None;None;
;F01;SYBR;CXCL9;Unkn;LM33;75;284,543761423937;67,5;82,5;
;F02;SYBR;IL-10;Unkn;LM33;76,5;249,127098076853;71,5;83;
;F03;SYBR;IL-12;Unkn;LM33;None;None;None;None;
;F04;SYBR;IL-6;Unkn;LM33;75;400,535670442539;67,5;83,5;
;F05;SYBR;IFN-y;Unkn;LM33;77;493,881678719631;67,5;86,5;
;F06;SYBR;STAT6;Unkn;LM33;81;416,853006965144;67,5;91;
;F07;SYBR;TGF-b;Unkn;LM33;81,5;449,303281171373;71;85,5;
;F08;SYBR;Ppia;Pos Ctrl;LM33;82;370,592434749289;75,5;89,5;
;F09;SYBR;Ppip;Pos Ctrl;LM33;82;269,618839000836;70,5;87;
;F10;SYBR;CDC42;Pos Ctrl;LM33;None;None;None;None;
;F11;SYBR;;Neg Ctrl;;None;None;None;None;
;G01;SYBR;CXCL9;Unkn;LM35;76;274,053350460891;67,5;84,5;
;G02;SYBR;IL-10;Unkn;LM35;77,5;340,034117895793;71,5;83,5;
;G03;SYBR;IL-12;Unkn;LM35;78,5;301,010055708309;67,5;87,5;
;G04;SYBR;IL-6;Unkn;LM35;75,5;396,485709920949;67,5;83;
;G05;SYBR;IFN-y;Unkn;LM35;78,5;431,79013204029;67,5;88;
;G06;SYBR;STAT6;Unkn;LM35;81,5;362,576350139916;67,5;87;
;G07;SYBR;TGF-b;Unkn;LM35;82;440,555732304458;73,5;86,5;
;G08;SYBR;Ppia;Pos Ctrl;LM35;81,5;380,750607690274;74,5;91,5;
