;;1;2;3;4;5;6;7;8;9;10;11;12
A;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Pos Ctrl;Pos Ctrl;Pos Ctrl;Neg Ctrl;
A;Sample;LM28;LM28;LM28;LM28;LM28;LM28;LM28;LM28;LM28;LM28;;
A;Peak 1;None;None;None;73;78;82;82,5;82,5;82,5;None;None;
A;Peak 2;None;None;None;None;None;None;None;None;None;None;None;
B;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Pos Ctrl;Pos Ctrl;Pos Ctrl;Neg Ctrl;
B;Sample;LM28;LM28;LM28;LM28;LM28;LM28;LM28;LM28;LM28;LM28;;
B;Peak 1;None;None;None;73;77,5;81,5;81;82;82;None;None;
B;Peak 2;None;None;None;None;None;None;None;None;None;None;None;
C;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Pos Ctrl;Pos Ctrl;Pos Ctrl;Neg Ctrl;
C;Sample;LM30;LM30;LM30;LM30;LM30;LM30;LM30;LM30;LM30;LM30;;
C;Peak 1;None;None;None;73,5;79;80,5;82;81,5;None;None;None;
C;Peak 2;None;None;None;None;None;None;None;None;None;None;None;
D;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Pos Ctrl;Pos Ctrl;Pos Ctrl;Neg Ctrl;
D;Sample;LM30;LM30;LM30;LM30;LM30;LM30;LM30;LM30;LM30;LM30;;
D;Peak 1;None;None;None;74,5;79;81,5;81,5;81;None;None;None;
D;Peak 2;None;None;None;None;None;None;None;None;None;None;None;
E;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Pos Ctrl;Pos Ctrl;Pos Ctrl;Neg Ctrl;
E;Sample;LM33;LM33;LM33;LM33;LM33;LM33;LM33;LM33;LM33;LM33;;
E;Peak 1;76;76;None;75;77,5;81;82;None;None;None;None;
E;Peak 2;None;None;None;None;None;None;None;None;None;None;None;
F;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Pos Ctrl;Pos Ctrl;Pos Ctrl;Neg Ctrl;
F;Sample;LM33;LM33;LM33;LM33;LM33;LM33;LM33;LM33;LM33;LM33;;
F;Peak 1;75;76,5;None;75;77;81;81,5;82;82;None;None;
F;Peak 2;None;None;None;None;None;None;None;None;None;None;None;
G;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Pos Ctrl;Pos Ctrl;Pos Ctrl;Neg Ctrl;
G;Sample;LM35;LM35;LM35;LM35;LM35;LM35;LM35;LM35;LM35;LM35;;
G;Peak 1;76;77,5;78,5;75,5;78,5;81,5;82;81,5;82;79,5;None;
G;Peak 2;None;None;None;None;None;None;None;None;None;None;None;
H;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Pos Ctrl;Pos Ctrl;Pos Ctrl;Neg Ctrl;
H;Sample;LM35;LM35;LM35;LM35;LM35;LM35;LM35;LM35;LM35;LM35;;
H;Peak 1;77;78,5;79,5;75;78,5;81;82;81,5;82;79;None;
H;Peak 2;None;None;None;None;None;None;None;None;None;None;None;
