;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A01;SYBR;CXCL9;Unkn;LM28;;n. def.;0;0;n. def.;n. def.;0;0;95;
;A02;SYBR;IL-10;Unkn;LM28;;n. def.;0;0;n. def.;n. def.;0;0;95;
;A03;SYBR;IL-12;Unkn;LM28;;n. def.;0;0;n. def.;n. def.;0;0;95;
;A04;SYBR;IL-6;Unkn;LM28;;n. def.;0;0;n. def.;n. def.;0;0;95;
;A05;SYBR;IFN-y;Unkn;LM28;;n. def.;0;0;n. def.;n. def.;0;0;95;
;A06;SYBR;STAT6;Unkn;LM28;;n. def.;0;0;n. def.;n. def.;0;0;95;
;A07;SYBR;TGF-b;Unkn;LM28;;n. def.;0;0;n. def.;n. def.;0;0;95;
;A08;SYBR;Ppia;Pos Ctrl;LM28;;n. def.;0;0;n. def.;n. def.;0;0;95;
;A09;SYBR;Ppip;Pos Ctrl;LM28;;n. def.;0;0;n. def.;n. def.;0;0;95;
;A10;SYBR;CDC42;Pos Ctrl;LM28;;n. def.;0;0;n. def.;n. def.;0;0;95;
;A11;SYBR;;Neg Ctrl;;;n. def.;0;0;n. def.;n. def.;0;0;95;
;B01;SYBR;CXCL9;Unkn;LM28;;n. def.;0;0;n. def.;n. def.;0;0;95;
;B02;SYBR;IL-10;Unkn;LM28;;n. def.;0;0;n. def.;n. def.;0;0;95;
;B03;SYBR;IL-12;Unkn;LM28;;n. def.;0;0;n. def.;n. def.;0;0;95;
;B04;SYBR;IL-6;Unkn;LM28;;n. def.;0;0;n. def.;n. def.;0;0;95;
;B05;SYBR;IFN-y;Unkn;LM28;;n. def.;0;0;n. def.;n. def.;0;0;95;
;B06;SYBR;STAT6;Unkn;LM28;;n. def.;0;0;n. def.;n. def.;0;0;95;
;B07;SYBR;TGF-b;Unkn;LM28;;n. def.;0;0;n. def.;n. def.;0;0;95;
;B08;SYBR;Ppia;Pos Ctrl;LM28;;n. def.;0;0;n. def.;n. def.;0;0;95;
;B09;SYBR;Ppip;Pos Ctrl;LM28;;n. def.;0;0;n. def.;n. def.;0;0;95;
;B10;SYBR;CDC42;Pos Ctrl;LM28;;n. def.;0;0;n. def.;n. def.;0;0;95;
;B11;SYBR;;Neg Ctrl;;;23,9584724314927;23,9584724314927;0;n. def.;n. def.;n. def.;0;95;
;C01;SYBR;CXCL9;Unkn;LM30;;n. def.;0;0;n. def.;n. def.;0;0;95;
;C02;SYBR;IL-10;Unkn;LM30;;n. def.;0;0;n. def.;n. def.;0;0;95;
;C03;SYBR;IL-12;Unkn;LM30;;n. def.;0;0;n. def.;n. def.;0;0;95;
;C04;SYBR;IL-6;Unkn;LM30;;n. def.;0;0;n. def.;n. def.;0;0;95;
;C05;SYBR;IFN-y;Unkn;LM30;;n. def.;0;0;n. def.;n. def.;0;0;95;
;C06;SYBR;STAT6;Unkn;LM30;;n. def.;0;0;n. def.;n. def.;0;0;95;
;C07;SYBR;TGF-b;Unkn;LM30;;n. def.;0;0;n. def.;n. def.;0;0;95;
;C08;SYBR;Ppia;Pos Ctrl;LM30;;n. def.;0;0;n. def.;n. def.;0;0;95;
;C09;SYBR;Ppip;Pos Ctrl;LM30;;n. def.;0;0;n. def.;n. def.;0;0;95;
;C10;SYBR;CDC42;Pos Ctrl;LM30;;n. def.;0;0;n. def.;n. def.;0;0;95;
;C11;SYBR;;Neg Ctrl;;;n. def.;0;0;n. def.;n. def.;0;0;95;
;D01;SYBR;CXCL9;Unkn;LM30;;n. def.;0;0;n. def.;n. def.;0;0;95;
;D02;SYBR;IL-10;Unkn;LM30;;n. def.;0;0;n. def.;n. def.;0;0;95;
;D03;SYBR;IL-12;Unkn;LM30;;n. def.;0;0;n. def.;n. def.;0;0;95;
;D04;SYBR;IL-6;Unkn;LM30;;n. def.;0;0;n. def.;n. def.;0;0;95;
;D05;SYBR;IFN-y;Unkn;LM30;;n. def.;0;0;n. def.;n. def.;0;0;95;
;D06;SYBR;STAT6;Unkn;LM30;;n. def.;0;0;n. def.;n. def.;0;0;95;
;D07;SYBR;TGF-b;Unkn;LM30;;n. def.;0;0;n. def.;n. def.;0;0;95;
;D08;SYBR;Ppia;Pos Ctrl;LM30;;n. def.;0;0;n. def.;n. def.;0;0;95;
;D09;SYBR;Ppip;Pos Ctrl;LM30;;n. def.;0;0;n. def.;n. def.;0;0;95;
;D10;SYBR;CDC42;Pos Ctrl;LM30;;n. def.;0;0;n. def.;n. def.;0;0;95;
;D11;SYBR;;Neg Ctrl;;;n. def.;0;0;n. def.;n. def.;0;0;95;
;E01;SYBR;CXCL9;Unkn;LM33;;n. def.;0;0;n. def.;n. def.;0;0;95;
;E02;SYBR;IL-10;Unkn;LM33;;n. def.;0;0;n. def.;n. def.;0;0;95;
;E03;SYBR;IL-12;Unkn;LM33;;n. def.;0;0;n. def.;n. def.;0;0;95;
;E04;SYBR;IL-6;Unkn;LM33;;n. def.;0;0;n. def.;n. def.;0;0;95;
;E05;SYBR;IFN-y;Unkn;LM33;;n. def.;0;0;n. def.;n. def.;0;0;95;
;E06;SYBR;STAT6;Unkn;LM33;;n. def.;0;0;n. def.;n. def.;0;0;95;
;E07;SYBR;TGF-b;Unkn;LM33;;n. def.;0;0;n. def.;n. def.;0;0;95;
;E08;SYBR;Ppia;Pos Ctrl;LM33;;n. def.;0;0;n. def.;n. def.;0;0;95;
;E09;SYBR;Ppip;Pos Ctrl;LM33;;n. def.;0;0;n. def.;n. def.;0;0;95;
;E10;SYBR;CDC42;Pos Ctrl;LM33;;n. def.;0;0;n. def.;n. def.;0;0;95;
;E11;SYBR;;Neg Ctrl;;;n. def.;0;0;n. def.;n. def.;0;0;95;
;F01;SYBR;CXCL9;Unkn;LM33;;n. def.;0;0;n. def.;n. def.;0;0;95;
;F02;SYBR;IL-10;Unkn;LM33;;n. def.;0;0;n. def.;n. def.;0;0;95;
;F03;SYBR;IL-12;Unkn;LM33;;n. def.;0;0;n. def.;n. def.;0;0;95;
;F04;SYBR;IL-6;Unkn;LM33;;n. def.;0;0;n. def.;n. def.;0;0;95;
;F05;SYBR;IFN-y;Unkn;LM33;;n. def.;0;0;n. def.;n. def.;0;0;95;
;F06;SYBR;STAT6;Unkn;LM33;;n. def.;0;0;n. def.;n. def.;0;0;95;
;F07;SYBR;TGF-b;Unkn;LM33;;n. def.;0;0;n. def.;n. def.;0;0;95;
;F08;SYBR;Ppia;Pos Ctrl;LM33;;n. def.;0;0;n. def.;n. def.;0;0;95;
;F09;SYBR;Ppip;Pos Ctrl;LM33;;n. def.;0;0;n. def.;n. def.;0;0;95;
;F10;SYBR;CDC42;Pos Ctrl;LM33;;n. def.;0;0;n. def.;n. def.;0;0;95;
;F11;SYBR;;Neg Ctrl;;;n. def.;0;0;n. def.;n. def.;0;0;95;
;G01;SYBR;CXCL9;Unkn;LM35;;n. def.;0;0;n. def.;n. def.;0;0;95;
;G02;SYBR;IL-10;Unkn;LM35;;n. def.;0;0;n. def.;n. def.;0;0;95;
;G03;SYBR;IL-12;Unkn;LM35;;n. def.;0;0;n. def.;n. def.;0;0;95;
;G04;SYBR;IL-6;Unkn;LM35;;n. def.;0;0;n. def.;n. def.;0;0;95;
;G05;SYBR;IFN-y;Unkn;LM35;;n. def.;0;0;n. def.;n. def.;0;0;95;
;G06;SYBR;STAT6;Unkn;LM35;;n. def.;0;0;n. def.;n. def.;0;0;95;
;G07;SYBR;TGF-b;Unkn;LM35;;n. def.;0;0;n. def.;n. def.;0;0;95;
;G08;SYBR;Ppia;Pos Ctrl;LM35;;n. def.;0;0;n. def.;n. def.;0;0;95;
;G09;SYBR;Ppip;Pos Ctrl;LM35;;n. def.;0;0;n. def.;n. def.;0;0;95;
;G10;SYBR;CDC42;Pos Ctrl;LM35;;n. def.;0;0;n. def.;n. def.;0;0;95;
;G11;SYBR;;Neg Ctrl;;;n. def.;0;0;n. def.;n. def.;0;0;95;
;H01;SYBR;CXCL9;Unkn;LM35;;n. def.;0;0;n. def.;n. def.;0;0;95;
;H02;SYBR;IL-10;Unkn;LM35;;n. def.;0;0;n. def.;n. def.;0;0;95;
;H03;SYBR;IL-12;Unkn;LM35;;n. def.;0;0;n. def.;n. def.;0;0;95;
;H04;SYBR;IL-6;Unkn;LM35;;n. def.;0;0;n. def.;n. def.;0;0;95;
;H05;SYBR;IFN-y;Unkn;LM35;;n. def.;0;0;n. def.;n. def.;0;0;95;
;H06;SYBR;STAT6;Unkn;LM35;;n. def.;0;0;n. def.;n. def.;0;0;95;
;H07;SYBR;TGF-b;Unkn;LM35;;n. def.;0;0;n. def.;n. def.;0;0;95;
;H08;SYBR;Ppia;Pos Ctrl;LM35;;n. def.;0;0;n. def.;n. def.;0;0;95;
;H09;SYBR;Ppip;Pos Ctrl;LM35;;n. def.;0;0;n. def.;n. def.;0;0;95;
;H10;SYBR;CDC42;Pos Ctrl;LM35;;n. def.;0;0;n. def.;n. def.;0;0;95;
;H11;SYBR;;Neg Ctrl;;;n. def.;0;0;n. def.;n. def.;0;0;95;
