;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;SYBR;CXCL9;Unkn;LM36;27,7096273342634;n. def.
;A02;SYBR;IL-10;Unkn;LM36;36,5497037363443;n. def.
;A03;SYBR;IL-12;Unkn;LM36;27,3721714674425;n. def.
;A04;SYBR;IL-6;Unkn;LM36;24,6534975270061;n. def.
;A05;SYBR;IFN-y;Unkn;LM36;24,701437915511;n. def.
;A06;SYBR;STAT6;Unkn;LM36;25,4540666755893;n. def.
;A07;SYBR;TGF-b;Unkn;LM36;27,0701113957339;n. def.
;A08;SYBR;Ppia;Pos Ctrl;LM36;19,2713655989695;n. def.
;A09;SYBR;Ppip;Pos Ctrl;LM36;21,5398390335652;n. def.
;A10;SYBR;CDC42;Pos Ctrl;LM36;n. def.;n. def.
;A11;SYBR;;Neg Ctrl;;n. def.;n. def.
;B01;SYBR;CXCL9;Unkn;LM36;27,6546829516916;n. def.
;B02;SYBR;IL-10;Unkn;LM36;39,5550105086702;n. def.
;B03;SYBR;IL-12;Unkn;LM36;30,1768215463992;n. def.
;B04;SYBR;IL-6;Unkn;LM36;25,2790670793593;n. def.
;B05;SYBR;IFN-y;Unkn;LM36;24,6222077759126;n. def.
;B06;SYBR;STAT6;Unkn;LM36;25,2653096315321;n. def.
;B07;SYBR;TGF-b;Unkn;LM36;26,0740006851677;n. def.
;B08;SYBR;Ppia;Pos Ctrl;LM36;19,092469100757;n. def.
;B09;SYBR;Ppip;Pos Ctrl;LM36;21,0882517960789;n. def.
;B10;SYBR;CDC42;Pos Ctrl;LM36;24,2489388566243;n. def.
;B11;SYBR;;Neg Ctrl;;n. def.;n. def.
;C01;SYBR;CXCL9;Unkn;LM37;30,1959665589666;n. def.
;C02;SYBR;IL-10;Unkn;LM37;n. def.;n. def.
;C03;SYBR;IL-12;Unkn;LM37;37,4019366209904;n. def.
;C04;SYBR;IL-6;Unkn;LM37;30,7088093090106;n. def.
;C05;SYBR;IFN-y;Unkn;LM37;33,9308616121901;n. def.
;C06;SYBR;STAT6;Unkn;LM37;33,9208142045984;n. def.
;C07;SYBR;TGF-b;Unkn;LM37;n. def.;n. def.
;C08;SYBR;Ppia;Pos Ctrl;LM37;23,4559959321672;n. def.
;C09;SYBR;Ppip;Pos Ctrl;LM37;24,2526272721327;n. def.
;C10;SYBR;CDC42;Pos Ctrl;LM37;28,2695695090987;n. def.
;C11;SYBR;;Neg Ctrl;;n. def.;n. def.
;D01;SYBR;CXCL9;Unkn;LM37;30,4160327958596;n. def.
;D02;SYBR;IL-10;Unkn;LM37;34,215449774151;n. def.
;D03;SYBR;IL-12;Unkn;LM37;35,2111942639801;n. def.
;D04;SYBR;IL-6;Unkn;LM37;30,1777595725222;n. def.
;D05;SYBR;IFN-y;Unkn;LM37;31,7278190449634;n. def.
;D06;SYBR;STAT6;Unkn;LM37;32,5144052575927;n. def.
;D07;SYBR;TGF-b;Unkn;LM37;31,6811371429379;n. def.
;D08;SYBR;Ppia;Pos Ctrl;LM37;23,2432523445428;n. def.
;D09;SYBR;Ppip;Pos Ctrl;LM37;24,2232360354738;n. def.
;D10;SYBR;CDC42;Pos Ctrl;LM37;28,8423138452896;n. def.
;D11;SYBR;;Neg Ctrl;;n. def.;n. def.
;E01;SYBR;CXCL9;Unkn;LM38;35,7814981977346;n. def.
;E02;SYBR;IL-10;Unkn;LM38;34,2318603837418;n. def.
;E03;SYBR;IL-12;Unkn;LM38;29,1221561169631;n. def.
;E04;SYBR;IL-6;Unkn;LM38;26,1049089812031;n. def.
;E05;SYBR;IFN-y;Unkn;LM38;25,0432485785076;n. def.
;E06;SYBR;STAT6;Unkn;LM38;24,9743016391024;n. def.
;E07;SYBR;TGF-b;Unkn;LM38;27,5625957548358;n. def.
;E08;SYBR;Ppia;Pos Ctrl;LM38;19,3015843011789;n. def.
;E09;SYBR;Ppip;Pos Ctrl;LM38;21,9309263549462;n. def.
;E10;SYBR;CDC42;Pos Ctrl;LM38;23,9630595036577;n. def.
;E11;SYBR;;Neg Ctrl;;n. def.;n. def.
;F01;SYBR;CXCL9;Unkn;LM38;27,1998948694561;n. def.
;F02;SYBR;IL-10;Unkn;LM38;32,8403740174545;n. def.
;F03;SYBR;IL-12;Unkn;LM38;27,1856507051502;n. def.
;F04;SYBR;IL-6;Unkn;LM38;25,653022810422;n. def.
;F05;SYBR;IFN-y;Unkn;LM38;25,575237626483;n. def.
;F06;SYBR;STAT6;Unkn;LM38;24,9557391771325;n. def.
;F07;SYBR;TGF-b;Unkn;LM38;30,3076534053936;n. def.
;F08;SYBR;Ppia;Pos Ctrl;LM38;19,4160577962055;n. def.
;F09;SYBR;Ppip;Pos Ctrl;LM38;21,7774283982839;n. def.
;F10;SYBR;CDC42;Pos Ctrl;LM38;24,3549708621842;n. def.
;F11;SYBR;;Neg Ctrl;;n. def.;n. def.
;G01;SYBR;CXCL9;Unkn;LM39;22,4119125501141;n. def.
;G02;SYBR;IL-10;Unkn;LM39;27,1972626544903;n. def.
;G03;SYBR;IL-12;Unkn;LM39;30,0882086318339;n. def.
;G04;SYBR;IL-6;Unkn;LM39;28,7011317467172;n. def.
;G05;SYBR;IFN-y;Unkn;LM39;22,8865810148356;n. def.
;G06;SYBR;STAT6;Unkn;LM39;26,151823842313;n. def.
;G07;SYBR;TGF-b;Unkn;LM39;23,6661517476595;n. def.
;G08;SYBR;Ppia;Pos Ctrl;LM39;21,789386339569;n. def.
;G09;SYBR;Ppip;Pos Ctrl;LM39;18,0361803676103;n. def.
;G10;SYBR;CDC42;Pos Ctrl;LM39;25,0824507817738;n. def.
;G11;SYBR;;Neg Ctrl;;n. def.;n. def.
;H01;SYBR;CXCL9;Unkn;LM39;21,5030674991176;n. def.
;H02;SYBR;IL-10;Unkn;LM39;26,2090556612298;n. def.
;H03;SYBR;IL-12;Unkn;LM39;29,4869029849203;n. def.
;H04;SYBR;IL-6;Unkn;LM39;28,4894256748554;n. def.
;H05;SYBR;IFN-y;Unkn;LM39;23,3695727101804;n. def.
;H06;SYBR;STAT6;Unkn;LM39;26,7167798484908;n. def.
;H07;SYBR;TGF-b;Unkn;LM39;24,418976620375;n. def.
;H08;SYBR;Ppia;Pos Ctrl;LM39;16,3729257844192;n. def.
;H09;SYBR;Ppip;Pos Ctrl;LM39;18,5672306755266;n. def.
;H10;SYBR;CDC42;Pos Ctrl;LM39;25,9015315163286;n. def.
;H11;SYBR;;Neg Ctrl;;n. def.;n. def.
