;Temperature;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11
;65;4162,39179280707;4170,31337592806;4121,11568604069;3413,71672827992;4447,72541398414;3749,04043001203;3723,36906776159;3612,79800285645;3542,02941114722;3403,2436256776;2324,34566742845;4438,96524254763;4377,91424078606;4227,43693855246;3466,26326135492;4560,21168534622;3878,5377202893;3886,91941693832;3741,81356390465;3572,68702245566;3473,53801679111;2261,18566931043;4609,1270122005;3988,58714087064;4380,12386862755;3580,22659081383;2758,04291805577;4169,9361775979;4122,18252038023;3829,9010381607;3595,88857996377;3462,97756935882;2826,89483849705;4517,19777017849;3725,69808471616;4177,48012519117;3579,08705926745;5067,02597528796;4226,50580729045;4026,81756674468;3874,64244567586;3586,6311592666;3521,23760705789;2288,89083003388;4607,45504034993;4681,07770530591;4756,82192943061;3906,08400679574;5300,22495838067;4454,92412785735;4404,223234957;4408,9331344022;4060,77104663712;3954,57688652967;3292,87061584961;4676,49369889609;4634,95673653976;4668,75610403971;3660,77292442677;5117,58198158919;4233,42992662253;4328,18090211392;4233,82701198098;3802,22524250814;3752,70114008596;2735,5146473746;4645,39819741183;3548,18128906999;4500,99626882125;3753,40798689236;4658,21758805263;4197,57797913414;4063,75833133785;4054,7610962733;3871,21429308027;3718,19110726177;2306,81891300359;4359,54041314453;3323,46118031276;4320,12940323041;3683,21193472372;4359,64656255048;3898,87126057673;4149,81001774338;4021,57095785602;3896,71639099285;3849,18260981084;2923,39305260786
;65,5;4164,75335125577;4162,55970084511;4121,89001789299;3410,26454083325;4448,0445143175;3743,2498959916;3715,3616880071;3605,77909864525;3537,21575030838;3395,6762431421;2327,33044281385;4434,20051478876;4356,42117410663;4225,54646666103;3466,60750957241;4558,51709512104;3882,47779194231;3892,63366833266;3745,05259942659;3570,45283431903;3469,57804668884;2260,54786635928;4591,83707210315;3963,55717677431;4362,48183678107;3583,04501943349;2751,28867447015;4166,2646604231;4129,85146103866;3835,66476173219;3597,52018273991;3459,21491360534;2824,38811471988;4500,8410323572;3705,20070582038;4156,02381465826;3583,40821239357;5049,02078523962;4218,24838278152;4033,56230741222;3884,42502668931;3590,25914852029;3521,81339871139;2290,57240212056;4586,45726856284;4648,70720077878;4730,3988664002;3901,97979213802;5279,56551275131;4440,94832687619;4406,2227837825;4420,65733089299;4067,53736971211;3958,33319911648;3295,36800686898;4663,65473553285;4603,44097765836;4646,02770795087;3662,38403941815;5102,66101043615;4227,67742384822;4336,76720773784;4242,60234028299;3806,35150505279;3756,17800771203;2743,40623247467;4628,34931225712;3527,52498299358;4485,51734331317;3753,65117305334;4649,37188590574;4195,39438198584;4071,62247655874;4062,71689185158;3875,5711616301;3721,32737889389;2308,13948916147;4351,21357568116;3310,52600448448;4316,40158852629;3681,56088223302;4361,83501731572;3905,45817797889;4145,77899871497;4018,47468376473;3888,34165923643;3842,68636382986;2926,97407331681
;66;4167,11490970448;4154,80602576215;4122,66434974529;3406,81235338658;4448,36361465086;3737,45936197118;3707,35430825262;3598,76019443404;3532,40208946955;3388,1088606066;2330,31521819925;4429,4357870299;4334,9281074272;4223,65599476959;3466,95175778989;4556,82250489585;3886,41786359531;3898,347919727;3748,29163494852;3568,21864618239;3465,61807658656;2259,91006340814;4574,54713200581;3938,52721267798;4344,83980493458;3585,86344805316;2744,53443088454;4162,59314324831;4137,52040169709;3841,42848530369;3599,15178551605;3455,45225785186;2821,88139094272;4484,48429453591;3684,70332692461;4134,56750412536;3587,72936551969;5031,01559519127;4209,99095827259;4040,30704807975;3894,20760770275;3593,88713777399;3522,38919036488;2292,25397420723;4565,45949677575;4616,33669625166;4703,97580336979;3897,87557748031;5258,90606712194;4426,97252589503;4408,22233260799;4432,38152738377;4074,30369278711;3962,08951170329;3297,86539788836;4650,8157721696;4571,92521877696;4623,29931186203;3663,99515440953;5087,74003928312;4221,9249210739;4345,35351336176;4251,37766858501;3810,47776759745;3759,6548753381;2751,29781757474;4611,30042710241;3506,86867691718;4470,03841780509;3753,89435921433;4640,52618375886;4193,21078483754;4079,48662177964;4070,67268742987;3879,92803017992;3724,46365052602;2309,46006531934;4342,88673821779;3297,5908286562;4312,67377382216;3679,90982974232;4364,02347208096;3912,04509538106;4141,74797968656;4015,37840967344;3879,96692748001;3836,19011784889;2930,55509402577
;66,5;4169,47646815318;4147,05235067919;4123,4386815976;3403,36016593991;4448,68271498422;3731,66882795076;3699,34692849813;3591,74129022284;3527,58842863072;3380,5414780711;2333,29999358465;4424,67105927103;4313,43504074777;4221,76552287816;3467,29600600738;4555,12791467067;3890,35793524832;3904,06217112134;3751,53067047046;3565,98445804575;3461,65810648429;2259,27226045699;4557,25719190846;3913,49724858165;4327,1977730881;3588,68187667282;2737,78018729892;4158,92162607351;4145,18934235551;3847,19220887519;3600,78338829219;3451,68960209838;2819,37466716555;4468,12755671462;3664,20594802884;4113,11119359245;3592,05051864581;5013,01040514292;4201,73353376367;4047,05178874728;3903,99018871619;3597,51512702769;3522,96498201837;2293,9355462939;4544,46172498867;4583,96619172454;4677,55274033938;3893,7713628226;5238,24662149258;4412,99672491387;4410,22188143349;4444,10572387456;4081,0700158621;3965,84582429011;3300,36278890774;4637,97680880636;4540,40945989556;4600,57091577319;3665,60626940091;5072,81906813008;4216,17241829959;4353,93981898569;4260,15299688702;3814,60403014211;3763,13174296418;2759,18940267481;4594,2515419477;3486,21237084077;4454,55949229702;3754,13754537531;4631,68048161197;4191,02718768923;4087,35076700054;4078,62848300816;3884,28489872975;3727,59992215814;2310,78064147721;4334,55990075443;3284,65565282792;4308,94595911804;3678,25877725161;4366,21192684621;3918,63201278322;4137,71696065816;4012,28213558215;3871,59219572359;3829,69387186791;2934,13611473473
;67;4171,83802660189;4139,29867559623;4124,2130134499;3399,90797849324;4449,00181531758;3725,87829393034;3691,33954874365;3584,72238601164;3522,77476779188;3372,9740955356;2336,28476897005;4419,90633151216;4291,94197406833;4219,87505098673;3467,64025422486;4553,43332444549;3894,29800690132;3909,77642251568;3754,76970599239;3563,75026990912;3457,69813638202;2258,63445750585;4539,96725181112;3888,46728448532;4309,55574124161;3591,50030529249;2731,0259437133;4155,25010889872;4152,85828301394;3852,95593244669;3602,41499106833;3447,92694634489;2816,86794338839;4451,77081889333;3643,70856913307;4091,65488305955;3596,37167177193;4995,00521509458;4193,47610925474;4053,79652941481;3913,77276972964;3601,14311628139;3523,54077367186;2295,61711838058;4523,46395320158;4551,59568719741;4651,12967730896;3889,66714816488;5217,58717586322;4399,02092393271;4412,22143025899;4455,82992036535;4087,83633893709;3969,60213687692;3302,86017992711;4625,13784544312;4508,89370101416;4577,84251968435;3667,21738439229;5057,89809697705;4210,41991552528;4362,52612460961;4268,92832518903;3818,73029268676;3766,60861059025;2767,08098777488;4577,20265679299;3465,55606476437;4439,08056678894;3754,3807315363;4622,83477946508;4188,84359054093;4095,21491222143;4086,58427858644;3888,64176727957;3730,73619379027;2312,10121763509;4326,23306329106;3271,72047699964;4305,21814441392;3676,60772476091;4368,40038161145;3925,21893018538;4133,68594162975;4009,18586149086;3863,21746396717;3823,19762588694;2937,71713544368
;67,5;4174,19958505054;4131,54500051329;4124,98734530217;3396,45579104653;4449,32091565102;3720,08775990994;3683,33216898917;3577,70348180044;3517,96110695304;3365,4067130001;2339,26954435549;4415,14160375329;4270,4489073889;4217,98457909527;3467,98450244238;4551,73873422034;3898,23807855428;3915,49067391007;3758,0087415143;3561,51608177248;3453,73816627974;2257,9966545547;4522,67731171382;3863,43732038899;4291,91370939508;3594,31873391213;2724,27170012769;4151,57859172389;4160,52722367239;3858,71965601816;3604,04659384448;3444,16429059144;2814,36121961117;4435,41408107212;3623,21119023734;4070,19857252659;3600,69282489802;4977,00002504628;4185,21868474582;4060,54127008228;3923,55535074303;3604,7711055351;3524,1165653254;2297,29869046727;4502,46618141446;4519,22518267024;4624,70661427858;3885,56293350714;5196,92773023376;4385,04512295148;4414,22097908446;4467,55411685615;4094,60266201206;3973,35844946369;3305,35757094649;4612,29888207996;4477,37794213268;4555,11412359546;3668,82849938363;5042,97712582395;4204,66741275092;4371,11243023356;4277,70365349104;3822,85655523138;3770,08547821629;2774,97257287496;4560,15377163833;3444,89975868799;4423,60164128077;3754,62391769727;4613,9890773182;4186,65999339261;4103,07905744235;4094,54007416473;3892,99863582932;3733,87246542242;2313,42179379297;4317,90622582777;3258,78530117132;4301,49032970971;3674,95667227025;4370,58883637661;3931,80584758756;4129,65492260126;4006,08958739966;3854,84273221079;3816,70137990602;2941,29815615263
;68;4176,56114349924;4123,79132543033;4125,76167715447;3393,00360359986;4449,64001598438;3714,29722588952;3675,32478923468;3570,68457758923;3513,1474461142;3357,8393304646;2342,25431974089;4410,37687599443;4248,95584070947;4216,09410720383;3468,32875065987;4550,04414399516;3902,17815020729;3921,20492530441;3761,24777703623;3559,28189363584;3449,77819617746;2257,35885160356;4505,38737161648;3838,40735629266;4274,2716775486;3597,13716253179;2717,51745654208;4147,90707454909;4168,19616433082;3864,48337958966;3605,67819662062;3440,40163483795;2811,85449583401;4419,05734325083;3602,71381134157;4048,74226199368;3605,01397802414;4958,99483499794;4176,96126023689;4067,28601074981;3933,33793175648;3608,3990947888;3524,69235697889;2298,98026255394;4481,46840962737;4486,85467814311;4598,28355124816;3881,45871884943;5176,26828460439;4371,06932197032;4416,22052790996;4479,27831334693;4101,36898508705;3977,11476205051;3307,85496196586;4599,45991871671;4445,86218325128;4532,38572750662;3670,43961437501;5028,05615467092;4198,91490997661;4379,69873585749;4286,47898179305;3826,98281777604;3773,56234584237;2782,86415797503;4543,10488648362;3424,24345261159;4408,1227157727;3754,86710385825;4605,14337517131;4184,47639624431;4110,94320266324;4102,49586974302;3897,35550437914;3737,00873705454;2314,74236995084;4309,57938836441;3245,85012534304;4297,76251500559;3673,30561977954;4372,77729114185;3938,39276498973;4125,62390357286;4002,99331330837;3846,46800045437;3810,20513392505;2944,87917686159
;68,5;4172,11957710519;4108,59665436414;4124,24595976186;3389,18673786036;4449,22171335812;3708,35089042342;3667,50792631926;3563,31879773741;3508,30486862051;3349,88147857068;2344,54065736564;4397,27164066281;4221,95070342416;4207,75316662023;3467,80560584893;4540,68158519321;3902,0828994716;3926,51078751772;3764,84733931534;3557,51239233811;3445,89189732291;2256,63571626028;4480,91639628508;3810,71371966345;4249,52810265786;3596,98511241268;2709,60740202932;4137,83399493314;4172,67561258599;3870,15341122306;3607,7372011383;3436,67006245495;2809,02248840252;4395,22744136826;3576,58908847953;4022,08702534548;3607,3698574038;4933,49913702734;4162,6522438981;4070,25547782763;3942,06159636914;3612,57181002233;3525,05126334729;2300,93607254586;4454,29218054318;4450,51946587501;4566,36312449552;3871,54663309487;5149,35096756028;4351,85092309239;4411,64482290909;4483,05618218275;4106,62326672798;3977,85794937467;3307,04867121804;4578,42255700232;4410,30804477221;4504,88783877537;3670,22496726461;5004,98098429817;4187,42758292332;4385,40820526669;4294,20007135025;3831,70752695882;3776,76025785012;2789,07894604803;4518,16016148715;3401,19137448365;4386,33224713508;3752,12552412371;4587,07507561926;4175,10325823535;4115,99733787646;4108,63159660423;3900,96238220432;3739,40340665017;2315,80709619069;4294,54258996036;3230,06278115819;4287,1868097398;3671,66032838518;4370,02474969022;3943,68807068384;4121,0291924865;3999,87436275762;3837,73278947992;3803,7356938731;2948,58284363267
;69;4161,03381125829;4086,74881887889;4119,20447031294;3384,86095535273;4448,08454263715;3701,99512050377;3659,2016289377;3555,90774356241;3503,33121607973;3341,38047158859;2345,69384034518;4377,38214715119;4190,79919812325;4193,30062412352;3466,08142522785;4524,70635024492;3897,01397652171;3930,63085804564;3768,88369766209;3556,05500935514;3441,26457234193;2256,33673075743;4451,57540065716;3781,63851943033;4219,50448800983;3593,00934119321;2701,09106758438;4122,45775082701;4173,19195490715;3874,9908445138;3609,58934943729;3432,61112603117;2806,43151545293;4367,39915974324;3545,69592743873;3991,49021559546;3606,61624415044;4903,73183655178;4144,43539489015;4068,07494460544;3947,83898123791;3616,92819638682;3525,78549118624;2302,38976298967;4423,03438805371;4412,30374447576;4531,01062635352;3856,40930279875;5118,45681352851;4328,97463279658;4400,06806296373;4480,71518354782;4108,61704004291;3974,79537449946;3302,58026097696;4550,86203067521;4372,89865107274;4474,34102322473;3667,05820048925;4976,22682880727;4170,89917138582;4386,80089689367;4299,40696110171;3836,00539946373;3778,67816918902;2792,34377297982;4487,50969362107;3377,21243989834;4359,66808637942;3746,05503761584;4561,79411940892;4159,83063743804;4116,87680472465;4111,94105340043;3903,19717927407;3740,51546816973;2316,17238843396;4273,50100594311;3211,62436209834;4270,95526416555;3669,16772180622;4361,59324299459;3947,22234060524;4116,29285934744;3996,93125112164;3828,80545840753;3797,66836221465;2952,80551366492
;69,5;4144,21958814047;4060,13828760008;4109,80817581105;3379,98629530192;4445,37991035014;3695,0746038165;3650,95061401858;3548,70193279055;3498,25969177657;3332,46837997253;2345,76123205581;4352,5142547347;4158,20292619022;4174,09600113119;3462,20981254735;4503,52537267895;3886,96089318824;3932,60250042765;3772,69525076242;3554,75290895;3436,19040104966;2255,78089918816;4419,1959471462;3752,13544705688;4185,33459333456;3584,76620645133;2692,68477160758;4103,36152575816;4168,25462519858;3878,14454688908;3610,70620423901;3428,86802877749;2803,30945806379;4337,31663893979;3510,15384972974;3958,48132487474;3601,72260137872;4870,94348043733;4123,16641633087;4060,70076860862;3949,70481314637;3620,65354709677;3526,20335128096;2303,75925386366;4389,07655555626;4372,77276796837;4493,97441616245;3837,08513614242;5085,98535365019;4304,34681818008;4382,56860743123;4472,42578629936;4106,53136971331;3966,21175452151;3293,9813329545;4519,2757419005;4334,11976399729;4442,4474097167;3660,28566190968;4944,60056300274;4150,61603275792;4383,01571720718;4300,45385058505;3838,72586915704;3778,49505470333;2792,45491817306;4453,27813118959;3352,6140220079;4330,00443263564;3735,72086915546;4532,14527191843;4139,78064318695;4112,89051940919;4111,33895718291;3902,47460293542;3739,54805660247;2316,60716270918;4248,56944084994;3191,17962406902;4249,55531974291;3665,79823964154;4346,85433372469;3947,67868050956;4110,97919150682;3994,2744473234;3820,39077298178;3791,68838333272;2956,528183299
