;;1;2;3;4;5;6;7;8;9;10;11;12
A;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Pos Ctrl;Pos Ctrl;Pos Ctrl;Neg Ctrl;
A;Sample;LM36;LM36;LM36;LM36;LM36;LM36;LM36;LM36;LM36;LM36;;
A;Peak 1;78;78,5;79;75,5;79,5;82;83;83;None;None;None;
A;Peak 2;None;None;None;None;None;None;None;None;None;None;None;
B;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Pos Ctrl;Pos Ctrl;Pos Ctrl;Neg Ctrl;
B;Sample;LM36;LM36;LM36;LM36;LM36;LM36;LM36;LM36;LM36;LM36;;
B;Peak 1;78;78,5;79;75;79;81,5;82,5;82,5;82,5;None;None;
B;Peak 2;None;None;None;None;None;None;None;None;None;None;None;
C;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Pos Ctrl;Pos Ctrl;Pos Ctrl;Neg Ctrl;
C;Sample;LM37;LM37;LM37;LM37;LM37;LM37;LM37;LM37;LM37;LM37;;
C;Peak 1;77,5;78,5;78,5;75;79;81,5;82,5;82,5;82,5;None;None;
C;Peak 2;None;None;None;None;None;None;None;None;None;None;None;
D;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Pos Ctrl;Pos Ctrl;Pos Ctrl;Neg Ctrl;
D;Sample;LM37;LM37;LM37;LM37;LM37;LM37;LM37;LM37;LM37;LM37;;
D;Peak 1;78;78,5;79;75;79;81,5;82,5;82,5;82,5;79,5;None;
D;Peak 2;None;None;None;None;None;None;None;None;None;None;None;
E;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Pos Ctrl;Pos Ctrl;Pos Ctrl;Neg Ctrl;
E;Sample;LM38;LM38;LM38;LM38;LM38;LM38;LM38;LM38;LM38;LM38;;
E;Peak 1;77,5;78,5;78,5;75;80,5;81,5;82,5;82,5;82,5;79,5;None;
E;Peak 2;None;None;None;None;None;None;None;None;None;None;None;
F;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Pos Ctrl;Pos Ctrl;Pos Ctrl;Neg Ctrl;
F;Sample;LM38;LM38;LM38;LM38;LM38;LM38;LM38;LM38;LM38;LM38;;
F;Peak 1;77,5;78,5;78,5;75;80,5;81,5;82,5;82,5;82,5;79,5;None;
F;Peak 2;None;None;None;None;None;None;None;None;None;None;None;
G;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Pos Ctrl;Pos Ctrl;Pos Ctrl;Neg Ctrl;
G;Sample;LM39;LM39;LM39;LM39;LM39;LM39;LM39;LM39;LM39;LM39;;
G;Peak 1;77,5;78,5;79;75;79;81,5;82,5;82,5;82,5;80;None;
G;Peak 2;None;None;None;None;None;None;None;None;None;None;None;
H;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Pos Ctrl;Pos Ctrl;Pos Ctrl;Neg Ctrl;
H;Sample;LM39;LM39;LM39;LM39;LM39;LM39;LM39;LM39;LM39;LM39;;
H;Peak 1;77,5;78,5;79;75;78,5;81,5;82,5;83;83;80;None;
H;Peak 2;None;None;None;None;None;None;None;None;None;None;None;
