"","dpi.diss","inf.strain","EH_ID","dpi_of_perc","perc_of_dpi1"
"LM0075.Day2_.p","7dip","Eflab","LM0075",2,97.5
"LM0094.Day2_.p","7dip","Efwild","LM0094",2,94.9554896142433
"LM0029.Day2_.p","7dip","EI64","LM0029",2,98.2456140350877
"LM0085.Day2_.p","7dip","Uninf","LM0085",2,96.7914438502674
"LM0079.Day2_.p","7dip","Eflab","LM0079",2,99.7118155619597
"LM0024.Day2_.p","7dip","Efwild","LM0024",2,100.733496332518
"LM0084.Day2_.p","7dip","EI64","LM0084",2,92.7374301675978
"LM0042.Day2_.p","7dip","Uninf","LM0042",2,101.5
"LM0059.Day2_.p","7dip","Eflab","LM0059",2,97.1649484536083
"LM0046.Day2_.p","7dip","Efwild","LM0046",2,100.248756218905
"LM0043.Day2_.p","7dip","EI64","LM0043",2,98.0049875311721
"LM0065.Day2_.p","7dip","Uninf","LM0065",2,99.7578692493947
"LM0033.Day2_.p","9dpi","Eflab","LM0033",2,99.5833333333333
"LM0045.Day2_.p","9dpi","Efwild","LM0045",2,99.75
"LM0056.Day2_.p","9dpi","EI64","LM0056",2,98.7951807228916
"LM0091.Day2_.p","9dpi","Uninf","LM0091",2,99.4366197183098
"LM0073.Day2_.p","9dpi","Eflab","LM0073",2,99.3506493506494
"LM0028.Day2_.p","9dpi","Efwild","LM0028",2,98.314606741573
"LM0035.Day2_.p","9dpi","EI64","LM0035",2,99.7198879551821
"LM0023.Day2_.p","9dpi","Uninf","LM0023",2,100.62893081761
"LM0080.Day2_.p","9dpi","Eflab","LM0080",2,99.23273657289
"LM0030.Day2_.p","9dpi","Efwild","LM0030",2,100
"LM0066.Day2_.p","9dpi","EI64","LM0066",2,96.7261904761905
"LM0089.Day2_.p","9dpi","Uninf","LM0089",2,100
"LM0021.Day2_.p","11dpi","Eflab","LM0021",2,97.2222222222222
"LM0048.Day2_.p","11dpi","Efwild","LM0048",2,100.564971751412
"LM0072.Day2_.p","11dpi","EI64","LM0072",2,94.6107784431138
"LM0032.Day2_.p","11dpi","Uninf","LM0032",2,101.764705882353
"LM0025.Day2_.p","11dpi","Eflab","LM0025",2,99.7619047619048
"LM0027.Day2_.p","11dpi","Efwild","LM0027",2,99.2753623188406
