EH_ID,labels,OPG,experiment,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,dilution
LM0096,HI,0,E2,NA,NA,NA,NA,NA,NA
LM0096,PS,0,E2,NA,NA,NA,NA,NA,NA
LM0096,CP,0,E2,NA,NA,NA,NA,NA,NA
LM0096,UV,0,E2,NA,NA,NA,NA,NA,NA
LM0096,FG,0,E2,NA,NA,NA,NA,NA,NA
LM0096,AE,0,E2,NA,NA,NA,NA,NA,NA
LM0096,VZ,0,E2,NA,NA,NA,NA,NA,NA
LM0096,PQ,34965.034965035,E2,NA,NA,NA,NA,NA,NA
LM0096,BJ,1114583.33333333,E2,NA,NA,NA,NA,NA,NA
LM0096,CU,125000,E2,NA,NA,NA,NA,NA,NA
LM0097,IK,0,E2,NA,NA,NA,NA,NA,NA
LM0097,JX,0,E2,NA,NA,NA,NA,NA,NA
LM0097,SV,0,E2,NA,NA,NA,NA,NA,NA
LM0097,BU,0,E2,NA,NA,NA,NA,NA,NA
LM0097,FN,0,E2,NA,NA,NA,NA,NA,NA
LM0097,IM,0,E2,NA,NA,NA,NA,NA,NA
LM0097,AS,0,E2,NA,NA,NA,NA,NA,NA
LM0097,DS,1189166.66666667,E2,NA,NA,NA,NA,NA,NA
LM0097,AP,846878.98089172,E2,NA,NA,NA,NA,NA,NA
LM0097,HS,918367.346938776,E2,NA,NA,NA,NA,NA,NA
LM0097,EI,216535.433070866,E2,NA,NA,NA,NA,NA,NA
LM0097,CJ,28409.0909090909,E2,NA,NA,NA,NA,NA,NA
LM0098,JR,0,E2,NA,NA,NA,NA,NA,NA
LM0098,CG,0,E2,NA,NA,NA,NA,NA,NA
LM0098,PU,804687.5,E2,NA,NA,NA,NA,NA,NA
LM0098,NT,0,E2,NA,NA,NA,NA,NA,NA
LM0098,CZ,0,E2,NA,NA,NA,NA,NA,NA
LM0098,JY,0,E2,NA,NA,NA,NA,NA,NA
LM0098,UW,0,E2,NA,NA,NA,NA,NA,NA
LM0098,AF,0,E2,NA,NA,NA,NA,NA,NA
LM0098,GM,28571.4285714286,E2,NA,NA,NA,NA,NA,NA
LM0098,QY,1875000,E2,NA,NA,NA,NA,NA,NA
LM0098,IR,1215909.09090909,E2,NA,NA,NA,NA,NA,NA
LM0099,KR,0,E2,NA,NA,NA,NA,NA,NA
LM0099,GJ,0,E2,NA,NA,NA,NA,NA,NA
LM0099,NX,0,E2,NA,NA,NA,NA,NA,NA
LM0099,IW,0,E2,NA,NA,NA,NA,NA,NA
LM0099,XZ,0,E2,NA,NA,NA,NA,NA,NA
LM0099,BF,0,E2,NA,NA,NA,NA,NA,NA
LM0099,VY,0,E2,NA,NA,NA,NA,NA,NA
LM0099,BM,1770833.33333333,E2,NA,NA,NA,NA,NA,NA
LM0099,BZ,2002777.77777778,E2,NA,NA,NA,NA,NA,NA
LM0099,LU,385365.853658537,E2,NA,NA,NA,NA,NA,NA
LM0099,SX,43774.3190661479,E2,NA,NA,NA,NA,NA,NA
LM0099,GY,8536.58536585366,E2,NA,NA,NA,NA,NA,NA
LM0100,LS,0,E2,NA,NA,NA,NA,NA,NA
LM0100,DQ,0,E2,NA,NA,NA,NA,NA,NA
LM0100,HK,0,E2,NA,NA,NA,NA,NA,NA
LM0100,UX,0,E2,NA,NA,NA,NA,NA,NA
LM0100,JK,0,E2,NA,NA,NA,NA,NA,NA
LM0100,BG,94339.6226415094,E2,NA,NA,NA,NA,NA,NA
LM0100,LR,3045833.33333333,E2,NA,NA,NA,NA,NA,NA
LM0101,TX,0,E2,NA,NA,NA,NA,NA,NA
