EH_ID,dpi,weight,relative_weight,labels,feces_weight,weightloss,weight_dpi0
LM0096,0,17.45,100,HI,1.55,,17.45
LM0096,1,17.74,101.661891117479,PS,1.06,,17.45
LM0096,2,17.3,99.1404011461318,CP,2.19,,17.45
LM0096,3,17.28,99.025787965616,UV,1.21,,17.45
LM0096,4,16.7,95.702005730659,FG,1.83,,17.45
LM0096,5,17.25,98.8538681948424,AE,1.59,,17.45
LM0096,6,16.5,94.5558739255014,VZ,1.34,,17.45
LM0096,7,16.49,94.4985673352435,PQ,1.43,,17.45
LM0096,8,14.52,83.2091690544413,BJ,0.24,,17.45
LM0096,9,13.49,77.3065902578797,CU,0.06,,17.45
LM0097,0,17.61,100,IK,2.9,,17.61
LM0097,1,17.61,100,JX,0.83,,17.61
LM0097,10,17.46,99.1482112436116,SV,2.36,,17.61
LM0097,11,17.45,99.091425326519,BU,1.06,,17.61
LM0097,2,16.94,96.1953435547984,FN,1.37,,17.61
LM0097,3,17.17,97.5014196479273,IM,1.29,,17.61
LM0097,4,17.37,98.6371379897786,AS,2.35,,17.61
LM0097,5,17.05,96.8199886428166,DS,1.92,,17.61
LM0097,6,16.34,92.7881885292448,AP,1.57,,17.61
LM0097,7,16.32,92.6746166950596,HS,1.96,,17.61
LM0097,8,17.5,99.3753549119818,EI,1.27,,17.61
LM0097,9,16.85,95.6842703009654,CJ,1.76,,17.61
LM0098,0,18.62,100,JR,2.96,,18.62
LM0098,1,17.81,95.6498388829216,CG,1.75,,18.62
LM0098,10,14.32,76.906552094522,PU,0.32,,18.62
LM0098,2,18.42,98.9258861439313,NT,1.52,,18.62
LM0098,3,18.19,97.6906552094522,CZ,1.84,,18.62
LM0098,4,17.45,93.7164339419978,JY,2.22,,18.62
LM0098,5,18.27,98.1203007518797,UW,1.55,,18.62
LM0098,6,17.13,91.9978517722879,AF,2.78,,18.62
LM0098,7,17.23,92.5349087003222,GM,2.1,,18.62
LM0098,8,15.69,84.2642320085929,QY,0.32,,18.62
LM0098,9,14.96,80.343716433942,IR,0.44,,18.62
LM0099,0,14.8,100,KR,1.08,,14.8
LM0099,1,14.71,99.3918918918919,GJ,1.82,,14.8
LM0099,10,15.85,107.094594594595,NX,1.67,,14.8
LM0099,11,14.62,98.7837837837838,IW,2.95,,14.8
LM0099,2,15.55,105.067567567568,XZ,1.43,,14.8
LM0099,3,15,101.351351351351,BF,1.8,,14.8
LM0099,4,14.23,96.1486486486487,VY,1.61,,14.8
LM0099,5,14.16,95.6756756756757,BM,1.08,,14.8
LM0099,6,14.55,98.3108108108108,BZ,0.9,,14.8
LM0099,7,14.22,96.0810810810811,LU,2.05,,14.8
LM0099,8,15.14,102.297297297297,SX,2.57,,14.8
LM0099,9,15.59,105.337837837838,GY,2.05,,14.8
LM0100,0,16.7,100,LS,1.87,,16.7
LM0100,1,16.55,99.1017964071856,DQ,1.33,,16.7
LM0100,2,17.08,102.275449101796,HK,1.27,,16.7
LM0100,3,16.3,97.6047904191617,UX,1.04,,16.7
